id,last_name,first_name,value,team,position,opponent,minutes,points,threes,rebounds,assists,steals,blocks,turnovers,twos,free throws,free_throws_missed,field goals,field_goals_missed,double doubles,triple doubles,injury
6013,Coffey,Amir,22.72,LAC,F,@ TOR,34.00,13.84,2.01,3.17,1.43,0.89,0.23,1.00,2.79,2.23,0.32,4.80,5.45,0.02,0.000,Starting,
5425,LeVert,Caris,22.60,CLE,G,DAL,23.00,10.06,1.39,3.02,3.89,0.92,0.54,1.40,2.05,1.79,0.62,3.44,4.62,0.01,0.000,Playing,
6067,Clarke,Brandon,22.57,MEM,F,@ MIL,24.00,9.13,0.14,6.45,1.35,1.02,0.79,0.84,3.95,0.81,0.41,4.09,3.02,0.05,0.000,,
6747,Dick,Gradey,22.50,TOR,G,LAC,28.00,13.30,1.93,3.41,1.86,0.84,0.11,1.48,2.77,1.97,0.28,4.70,6.52,0.02,0.000,,
6776,Council IV,Ricky,22.22,PHI,G,BOS,25.00,12.50,1.15,4.25,1.62,0.67,0.19,0.71,2.92,3.21,0.86,4.07,5.43,0.02,0.000,,
6113,Porter Jr.,Kevin,21.15,LAC,G,@ TOR,22.00,10.78,0.84,3.43,2.87,1.07,0.19,2.36,3.50,1.26,0.59,4.34,5.56,0.01,0.000,,
6345,Hauser,Sam,20.68,BOS,F,@ PHI,26.00,9.87,2.78,4.23,1.40,0.77,0.36,0.49,0.69,0.15,0.01,3.47,4.36,0.01,0.000,,
6930,Kelley,Kylor,20.51,DAL,C,@ CLE,25.00,9.15,0.01,4.82,0.74,0.44,1.90,0.97,3.75,1.62,0.76,3.76,4.52,0.01,0.000,Starting,
3709,Hardaway Jr.,Tim,19.97,DET,G,CHI,31.00,11.80,2.13,2.87,1.75,0.56,0.07,0.76,1.68,2.05,0.42,3.81,5.67,0.01,0.000,,
6565,Pippen Jr.,Scotty,19.93,MEM,G,@ MIL,17.00,8.16,0.87,2.87,4.42,0.79,0.28,2.08,2.17,1.21,0.52,3.04,3.36,0.01,0.000,,
6519,Hardy,Jaden,19.71,DAL,G,@ CLE,20.00,12.70,2.08,2.29,1.85,0.52,0.13,1.96,2.53,1.40,0.39,4.61,6.33,0.01,0.000,,
3370,Jackson,Reggie,19.58,PHI,G,BOS,24.00,9.46,1.79,2.36,3.56,0.62,0.17,1.31,1.68,0.73,0.12,3.47,5.58,0.01,0.000,,
6124,Jerome,Ty,19.42,CLE,G,DAL,18.00,9.69,1.28,2.22,3.30,0.88,0.07,1.09,2.38,1.09,0.16,3.66,4.04,0.01,0.000,,
6181,Merrill,Sam,19.40,CLE,G,DAL,24.00,9.27,2.53,2.89,2.63,0.60,0.17,0.48,0.50,0.68,0.05,3.03,5.21,0.00,0.000,,
6583,Green,AJ,17.72,MIL,G,MEM,24.00,9.14,2.58,2.71,1.86,0.60,0.11,0.63,0.45,0.50,0.07,3.03,3.97,0.00,0.000,,
5685,Brown,Bruce,17.42,TOR,G,LAC,20.00,8.71,0.57,3.63,1.67,0.76,0.19,1.05,2.80,1.40,0.32,3.37,3.60,0.01,0.000,,
5412,Prince,Taurean,17.41,MIL,F,MEM,24.00,7.20,1.48,3.79,2.03,0.88,0.23,1.08,1.13,0.50,0.13,2.61,3.66,0.01,0.000,Probable,
5719,Trent,Gary,17.31,MIL,G,MEM,24.00,9.62,2.01,2.44,1.05,1.13,0.06,0.65,1.40,0.79,0.12,3.41,4.81,0.00,0.000,Probable,
6170,Stewart,Isaiah,16.97,DET,C,CHI,18.00,5.64,0.22,5.26,1.60,0.27,1.02,0.69,2.19,0.60,0.16,2.41,2.06,0.00,0.000,,
6952,Walter,Ja'Kobe,16.78,TOR,G,LAC,23.00,8.71,1.10,2.89,1.62,0.76,0.21,0.93,1.93,1.55,0.61,3.03,4.87,0.00,0.000,,
2615,Lowry,Kyle,15.87,PHI,G,BOS,24.00,5.36,1.11,2.37,3.28,0.96,0.34,1.06,0.58,0.87,0.17,1.69,2.93,0.00,0.000,,
6513,Agbaji,Ochai,15.84,TOR,G,LAC,24.00,7.83,1.09,2.84,1.28,0.73,0.48,0.85,2.11,0.34,0.14,3.20,3.20,0.00,0.000,,
3918,Exum,Dante,15.75,DAL,G,@ CLE,21.00,6.60,0.88,3.01,2.75,0.52,0.20,1.24,1.61,0.74,0.18,2.49,2.84,0.00,0.000,Starting,
2730,Horford,Al,14.81,BOS,C,@ PHI,19.00,5.08,1.07,3.81,1.58,0.40,0.78,0.60,0.82,0.23,0.04,1.89,2.39,0.00,0.000,,
6938,Holland,Ron,14.74,DET,F,CHI,17.00,7.99,0.69,3.26,0.96,0.49,0.16,0.84,2.40,1.12,0.32,3.09,3.34,0.01,0.000,,
6311,Edwards,Kessler,13.56,DAL,F,@ CLE,20.00,4.88,0.84,3.67,1.19,0.65,0.45,0.63,1.00,0.36,0.12,1.84,2.70,0.00,0.000,,
5235,Niang,Georges,13.27,CLE,F,DAL,15.00,6.39,1.33,3.24,1.11,0.29,0.13,0.68,1.03,0.34,0.07,2.36,2.65,0.00,0.000,,
6769,Sasser,Marcus,12.99,DET,G,CHI,13.00,6.40,0.92,1.27,2.45,0.51,0.12,0.79,1.55,0.54,0.07,2.47,2.91,0.00,0.000,,
5510,Kornet,Luke,12.87,BOS,C,@ PHI,13.00,4.02,0.00,4.01,1.10,0.28,0.90,0.34,1.58,0.86,0.20,1.58,0.82,0.00,0.000,,
6765,Phillips,Julian,12.65,CHI,F,@ DET,18.00,6.62,1.10,2.48,0.65,0.52,0.32,0.56,1.14,1.04,0.45,2.24,3.18,0.00,0.000,,
6791,Miller,Jordan,12.05,LAC,F,@ TOR,14.00,6.89,0.51,2.03,0.90,0.52,0.17,0.73,2.13,1.10,0.33,2.64,2.94,0.00,0.000,,
6773,Jackson Jr.,Andre,11.74,MIL,G,MEM,16.00,3.78,0.56,3.28,1.64,0.59,0.23,1.04,0.92,0.26,0.16,1.48,1.91,0.00,0.000,,
6748,Jackson,G.G.,11.52,MEM,F,@ MIL,14.00,6.11,0.88,2.60,0.65,0.30,0.27,0.80,1.27,0.93,0.28,2.15,2.95,0.00,0.000,,
5006,Connaughton,Pat,11.02,MIL,G,MEM,13.00,4.61,0.82,2.34,1.46,0.34,0.22,0.48,0.79,0.57,0.19,1.61,2.26,0.00,0.000,,
6718,Fontecchio,Simone,10.69,DET,F,CHI,14.00,5.30,0.93,2.41,0.83,0.32,0.15,0.54,0.98,0.55,0.13,1.91,2.54,0.00,0.000,,
6976,Bona,Adem,10.62,PHI,F,BOS,15.00,3.70,0.00,3.55,0.50,0.30,0.80,0.94,1.43,0.84,0.44,1.43,1.07,0.00,0.000,,
6490,Williams,Brandon,10.31,DAL,G,@ CLE,11.00,5.71,0.47,1.28,1.52,0.32,0.14,0.88,1.65,1.00,0.43,2.12,3.39,0.00,0.000,Active,
6015,Mann,Terance,10.15,LAC,G,@ TOR,15.00,4.80,0.53,1.98,1.07,0.46,0.17,0.51,1.32,0.57,0.16,1.85,2.03,0.00,0.000,,
6525,LaRavia,Jake,9.96,MEM,F,@ MIL,12.00,3.98,0.43,2.48,1.22,0.41,0.20,0.77,0.94,0.81,0.24,1.37,1.64,0.00,0.000,,
6572,Robinson,Orlando,9.88,TOR,C,LAC,12.00,3.22,0.14,3.36,0.93,0.28,0.41,0.77,1.04,0.72,0.22,1.18,1.38,0.00,0.000,,
2810,Batum,Nicolas,9.56,LAC,F,@ TOR,15.00,2.89,0.69,2.47,1.17,0.51,0.34,0.44,0.32,0.18,0.06,1.01,1.48,0.00,0.000,,
6293,Hyland,Bones,9.41,LAC,G,@ TOR,10.00,4.87,0.87,1.10,1.37,0.41,0.13,0.81,0.84,0.58,0.11,1.71,2.77,0.00,0.000,,
6286,Springer,Jaden,8.16,BOS,G,@ PHI,10.00,3.18,0.22,1.54,0.88,0.70,0.27,0.64,0.94,0.64,0.13,1.16,1.38,0.00,0.000,,
