"nba_id","Team","Player","Experience","DPM","DPM Improvement","O-DPM","D-DPM","Box DPM","Box O-DPM","Box D-DPM","FGA/100","FG2%","FG3A/100","FG3%","FG3ARate%","RimFGA/100","RimFG%","FTA/100","FT%","FTARate%","USG%","REB/100","AST/100","AST%","BLK/100","BLK%","STL/100","STL%","TOV/100"
1626181,"Los Angeles Clippers","Norman Powell","Vet",0.45,1.76,1.37,-0.92,1.26,2.28,-1.02,23.381,0.51,11.181,0.398,0.47,4.713,0.642,5.555,0.813,0.251,0.251,4.814,3.526,0.115,0.399,0.005,1.431,0.014,2.663
1629312,"Miami Heat","Haywood Highsmith","Vet",0.43,1.02,-1.08,1.51,0.97,-0.55,1.52,10.902,0.588,6.285,0.354,0.575,2.671,0.684,1.152,0.666,0.119,0.114,7.038,2.698,0.072,1.112,0.013,2.063,0.021,1.338
101108,"San Antonio Spurs","Chris Paul","Vet",0.43,-1.96,-0.26,0.69,0.98,0.08,0.9,13.469,0.519,8.286,0.364,0.593,0.677,0.653,1.681,0.844,0.11,0.146,6.618,13.808,0.406,0.452,0.005,2.348,0.024,3.258
1630577,"San Antonio Spurs","Julian Champagnie","Vet",0.42,2.88,0.08,0.34,0.51,0.26,0.25,15.779,0.536,10.959,0.376,0.663,3.39,0.681,2.594,0.834,0.163,0.161,7.566,2.823,0.08,1.022,0.011,1.459,0.015,1.525
1629655,"Dallas Mavericks","Daniel Gafford","Vet",0.41,0.62,0.18,0.23,1.3,1.07,0.23,15.164,0.683,0.604,0.129,0.031,11.964,0.782,6.527,0.655,0.448,0.183,14.824,2.889,0.084,3.107,0.036,1.413,0.014,2.257
1628418,"Miami Heat","Thomas Bryant","Vet",0.4,1.99,-0.19,0.59,1.71,0.45,1.26,15.51,0.624,6.779,0.322,0.47,6.159,0.75,4.729,0.808,0.274,0.173,14.887,2.098,0.057,2.495,0.029,1.038,0.01,1.873
1630583,"Memphis Grizzlies","Santi Aldama","Vet",0.39,1.44,-0.12,0.5,1.32,0.46,0.86,16.772,0.576,7.326,0.338,0.43,5.386,0.716,2.714,0.729,0.173,0.168,12.436,4.887,0.153,1.307,0.014,1.511,0.015,2.308
1627736,"Detroit Pistons","Malik Beasley","Vet",0.34,2.26,0.65,-0.31,0.01,1.21,-1.2,20.999,0.513,14.523,0.376,0.692,1.846,0.652,1.935,0.767,0.087,0.204,5.356,3.378,0.103,0.264,0.003,1.379,0.014,1.837
1626204,"Atlanta Hawks","Larry Nance Jr.","Vet",0.3,-2.11,-0.78,1.08,2.03,0.83,1.2,14.172,0.604,6.659,0.347,0.469,4.473,0.734,2.084,0.731,0.18,0.149,11.484,4.533,0.144,0.91,0.01,2.423,0.024,2.018
1629021,"Orlando Magic","Moritz Wagner","Vet",0.27,0.57,-0.45,0.71,0.35,0.43,-0.08,20.513,0.642,5.906,0.338,0.275,12.196,0.735,7.838,0.756,0.396,0.251,12.977,3.948,0.132,0.994,0.011,1.828,0.018,3.925
203083,"Philadelphia 76ers","Andre Drummond","Vet",0.26,-0.27,-1.2,1.46,0.65,-0.96,1.61,14.988,0.571,0.606,0.141,0.03,11.85,0.64,6.418,0.554,0.444,0.189,22.223,1.739,0.046,1.717,0.019,2.734,0.028,3.515
203897,"Chicago Bulls","Zach LaVine","Vet",0.26,-0.95,1.62,-1.37,1.11,2.22,-1.11,22.844,0.537,11.349,0.379,0.499,5.885,0.668,4.628,0.825,0.22,0.259,5.978,6.13,0.181,0.339,0.004,1.238,0.012,3.425
1628989,"Sacramento Kings","Kevin Huerter","Vet",0.25,-0.31,0.28,-0.03,0.59,0.54,0.05,16.652,0.57,11.246,0.371,0.659,2.793,0.721,1.31,0.738,0.093,0.164,6.653,4.035,0.111,0.836,0.009,1.688,0.016,1.567
1627732,"Brooklyn Nets","Ben Simmons","Vet",0.24,-0.01,-1.36,1.6,1.01,-0.81,1.82,8.545,0.594,0.568,0.142,0.032,5.136,0.711,1.958,0.526,0.24,0.116,13.036,11.948,0.339,1.275,0.014,2.123,0.02,4.467
203468,"New Orleans Pelicans","CJ McCollum","Vet",0.23,-0.26,0.67,-0.44,-0.29,0.94,-1.23,24.897,0.5,11.395,0.378,0.437,3.989,0.628,3.223,0.754,0.126,0.252,5.822,6.214,0.205,0.732,0.008,1.515,0.015,2.793
1630200,"San Antonio Spurs","Tre Jones","Vet",0.22,0.48,-0.02,0.24,-0.49,0.1,-0.59,12.275,0.536,4.541,0.343,0.372,4.782,0.672,2.661,0.795,0.231,0.138,6.658,9.628,0.276,0.398,0.004,1.982,0.02,2.609
1630540,"New York Knicks","Miles McBride","Vet",0.21,0.67,0.62,-0.41,0.74,1.04,-0.3,15.955,0.514,9.826,0.377,0.602,2.78,0.638,1.684,0.822,0.099,0.163,4.638,4.956,0.146,0.392,0.005,1.885,0.018,1.748
1630193,"Toronto Raptors","Immanuel Quickley","Vet",0.19,-1.47,0.81,-0.62,0.47,1.42,-0.95,25.094,0.472,11.003,0.359,0.453,4.166,0.642,6.55,0.802,0.269,0.269,6.484,9.782,0.32,0.348,0.004,1.589,0.015,3.295
1641717,"Oklahoma City Thunder","Cason Wallace","Sophomore",0.19,2.79,-0.97,1.16,0.26,-0.93,1.19,11.966,0.554,6.833,0.365,0.539,3.15,0.68,0.605,0.781,0.081,0.119,6.158,3.754,0.106,1.181,0.013,2.662,0.027,1.398
1629012,"Utah Jazz","Collin Sexton","Vet",0.17,1.35,2.07,-1.9,-0.57,1.44,-2.01,21.75,0.527,7.77,0.384,0.349,4.819,0.672,6.271,0.841,0.317,0.24,4.743,6.873,0.21,0.358,0.004,1.429,0.014,3.54
1628415,"Houston Rockets","Dillon Brooks","Vet",0.17,0.2,-0.18,0.35,-2.08,-1.2,-0.88,16.716,0.481,8.249,0.356,0.473,3.379,0.63,2.351,0.813,0.15,0.162,5.572,2.98,0.086,0.466,0.005,1.356,0.014,1.635
1630551,"Washington Wizards","Justin Champagnie","Vet",0.17,1.53,-0.23,0.39,0.51,-0.12,0.63,14.822,0.571,6.314,0.345,0.417,5.644,0.697,2.871,0.751,0.18,0.155,9.918,2.905,0.088,1.191,0.012,2.007,0.021,1.934
1629162,"Sacramento Kings","Jordan McLaughlin","Vet",0.16,0.14,-0.48,0.63,0.28,-0.36,0.64,13.024,0.495,7.686,0.353,0.597,2.557,0.613,2.643,0.68,0.211,0.14,5.695,6.714,0.206,0.387,0.004,2.598,0.026,2.273
1629651,"Brooklyn Nets","Nicolas Claxton","Vet",0.15,-1.9,-0.92,1.07,0.59,-0.93,1.52,13.848,0.641,0.741,0.229,0.034,8.253,0.767,4.602,0.541,0.324,0.169,16.141,4.207,0.124,2.86,0.033,1.376,0.014,2.46
203952,"Golden State Warriors","Andrew Wiggins","Vet",0.15,-1.63,-0.03,0.18,-0.49,0.19,-0.68,20.289,0.511,8.524,0.361,0.408,4.873,0.671,5.829,0.734,0.279,0.226,7.239,3.517,0.107,1.124,0.012,1.464,0.014,2.243
1629111,"Houston Rockets","Jock Landale","Vet",0.14,0.72,-1.38,1.52,-0.77,-1.57,0.8,14.17,0.548,2.729,0.289,0.111,6.509,0.659,5.193,0.653,0.333,0.166,12.49,4.117,0.125,1.831,0.02,1.231,0.012,2.56
1628420,"Phoenix Suns","Monte Morris","Vet",0.13,0.27,0.12,0.01,0.68,0.56,0.12,17.377,0.515,8.6,0.37,0.498,2.037,0.685,2.634,0.799,0.137,0.169,5.726,6.986,0.204,0.74,0.008,1.617,0.016,1.803
1629646,"San Antonio Spurs","Charles Bassey","Vet",0.13,1.22,-0.99,1.11,0.36,-1.05,1.41,13.91,0.619,0.473,0.196,0.029,10.327,0.704,4.773,0.609,0.37,0.162,16.854,3.002,0.088,4.508,0.049,1.684,0.017,3.141
1629659,"Chicago Bulls","Talen Horton-Tucker","Vet",0.12,0.96,0.48,-0.36,0.04,0.44,-0.4,19.728,0.541,9.093,0.327,0.467,7.036,0.617,5.198,0.754,0.274,0.21,6.512,6.303,0.171,0.868,0.01,1.813,0.018,3.113
1630171,"Cleveland Cavaliers","Isaac Okoro","Vet",0.12,-0.3,-0.61,0.73,-0.29,-0.77,0.48,10.751,0.554,6.634,0.362,0.587,3.831,0.65,1.668,0.684,0.211,0.114,5.418,3.4,0.097,0.915,0.01,1.719,0.017,1.464
1626220,"Phoenix Suns","Royce O'Neale","Vet",0.12,0.8,-0.45,0.57,-0.5,-0.43,-0.07,15.332,0.49,10.951,0.368,0.678,2.591,0.627,0.974,0.747,0.084,0.154,10.243,4.124,0.12,0.935,0.01,1.568,0.016,1.773
1628978,"Minnesota Timberwolves","Donte DiVincenzo","Vet",0.11,-0.21,-0.12,0.23,0.69,0.36,0.33,16.492,0.518,12.638,0.37,0.756,2.76,0.6,1.297,0.759,0.097,0.174,5.994,6.088,0.181,0.666,0.007,2.405,0.024,2.786
1627741,"Golden State Warriors","Buddy Hield","Vet",0.07,-0.18,-0.11,0.18,1.04,1.33,-0.29,20.488,0.519,13.77,0.397,0.688,2.99,0.646,1.211,0.853,0.068,0.2,6.426,3.394,0.099,0.73,0.008,1.696,0.017,2.058
1627827,"Brooklyn Nets","Dorian Finney-Smith","Vet",0.06,-0.13,-0.78,0.84,-0.23,-1.22,0.99,12.852,0.536,9.149,0.361,0.693,3.141,0.668,1.4,0.693,0.11,0.135,7.729,3.101,0.083,0.858,0.01,1.59,0.016,1.57
1630559,"Los Angeles Lakers","Austin Reaves","Vet",0.06,-0.51,1.24,-1.18,0.49,1.78,-1.29,19.176,0.554,10.925,0.356,0.555,3.442,0.75,4.865,0.802,0.288,0.211,5.539,6.924,0.213,0.481,0.005,1.324,0.013,2.99
203078,"Phoenix Suns","Bradley Beal","Vet",0.06,-1.75,0.77,-0.71,-0.14,0.53,-0.67,19.96,0.531,7.638,0.38,0.361,4.565,0.715,3.562,0.806,0.161,0.223,6.168,5.697,0.178,0.883,0.01,1.536,0.015,3.343
