first_name,last_name,position,position_alt,injury_status,game_date,slate,team,opp,spread,over_under,implied_team_score,salary,L5_dvp_rank,L5_fppg_avg,L10_fppg_avg,szn_fppg_avg,ppg_projection,value_projection,ppg_actual,value_actual
Brook,Lopez,C,,,2024-12-21,,MIL,WAS,-11.5,227.5,119.5,5500,28,17.5,22.6,26.4,25.0,4.55
Malcolm,Brogdon,PG,SG,,2024-12-21,,WAS,MIL,+11.5,227.5,108,5300,22,31.6,25.9,25.9,25.0,4.72
Julian,Champagnie,SG,SF,,2024-12-21,,SA,POR,-6.5,227.5,117,5200,30,27.7,27.4,24.9,25.0,4.81
Jrue,Holiday,PG,,,2024-12-21,,BOS,CHI,-9.5,240.5,125,5100,28,28.3,26.5,25.8,24.3,4.75
Collin,Sexton,PG,SG,,2024-12-21,,UTA,BKN,+2.5,220.5,109,5000,9,25.6,26.6,26.1,24.0,4.80
Caris,LeVert,PG,SG,,2024-12-21,,CLE,PHI,-12.5,217.5,115,5100,3,29.8,25.2,25.4,24.0,4.71
Herbert,Jones,SF,PF,,2024-12-21,,NO,NY,+8.5,224.5,108,5100,18,29.3,24.5,24.5,24.0,4.71
Naji,Marshall,SF,PF,,2024-12-21,,DAL,LAC,-4.5,221.5,113,5100,28,22.6,23.6,21.3,23.8,4.66
Zach,Edey,C,,,2024-12-21,,MEM,ATL,-2.5,240.5,121.5,4700,7,28.0,29.6,25.0,23.5,5.00
Grayson,Allen,SG,,,2024-12-21,,PHO,DET,-6.5,225.5,116,5000,8,24.1,24.8,20.6,23.5,4.70
Carlton,Carrington,PG,SG,,2024-12-21,,WAS,MIL,+11.5,227.5,108,5200,22,21.5,19.7,22.6,23.3,4.47
Toumani,Camara,SG,SF,,2024-12-21,,POR,SA,+6.5,227.5,110.5,5000,11,22.2,23.0,22.8,23.3,4.65
Max,Strus,SG,SF,,2024-12-21,,CLE,PHI,-12.5,217.5,115,5000,10,24.2,22.3,,23.0,4.60
Spencer,Dinwiddie,PG,,,2024-12-21,,DAL,LAC,-4.5,221.5,113,4700,1,22.3,27.4,17.8,23.0,4.89
Stephon,Castle,PG,SG,,2024-12-21,,SA,POR,-6.5,227.5,117,4800,7,24.3,24.9,22.6,23.0,4.79
Dorian,Finney-Smith,PF,,,2024-12-21,,BKN,UTA,-2.5,220.5,111.5,4900,6,22.5,22.1,22.6,22.8,4.64
Jonas,Valanciunas,C,,,2024-12-21,,WAS,MIL,+11.5,227.5,108,4700,10,27.7,25.7,26.5,22.8,4.84
Moritz,Wagner,C,,,2024-12-21,,ORL,MIA,-2.5,208.5,105.5,4600,12,26.6,27.5,24.0,22.8,4.95
Al,Horford,PF,C,,2024-12-21,,BOS,CHI,-9.5,240.5,125,4800,26,20.6,22.0,22.9,22.3,4.64
Kevin,Porter Jr.,PG,,,2024-12-21,,LAC,DAL,+4.5,221.5,108.5,4600,4,29.5,25.7,20.3,22.3,4.84
Mike,Conley,PG,,,2024-12-21,,MIN,GSW,-4.5,215.5,110,4800,14,22.8,22.2,22.8,22.3,4.64
Wendell,Carter Jr.,PF,C,,2024-12-21,,ORL,MIA,-2.5,208.5,105.5,4800,4,23.6,22.2,23.7,22.3,4.64
Guerschon,Yabusele,PF,C,,2024-12-21,,PHI,CLE,+12.5,217.5,102.5,4800,24,15.4,21.4,20.8,22.0,4.58
Brandon,Boston Jr.,PG,SF,,2024-12-21,,NO,NY,+8.5,224.5,108,4700,11,22.3,22.1,24.9,22.0,4.68
Bogdan,Bogdanovic,SG,SF,,2024-12-21,,ATL,MEM,+2.5,240.5,119,4600,14,23.5,23.7,21.8,21.8,4.73
Naz,Reid,PF,C,,2024-12-21,,MIN,GSW,-4.5,215.5,110,4600,15,21.7,22.8,24.1,21.8,4.73
Donovan,Clingan,C,,,2024-12-21,,POR,SA,+6.5,227.5,110.5,4500,18,21.6,24.6,19.4,21.8,4.83
Quentin,Grimes,SG,SF,,2024-12-21,,DAL,LAC,-4.5,221.5,113,4500,23,17.4,23.3,17.6,21.5,4.78
Buddy,Hield,SG,,,2024-12-21,,GSW,MIN,+4.5,215.5,105.5,4700,1,22.4,19.9,23.8,21.5,4.57
Terry,Rozier,PG,SG,,2024-12-21,,MIA,ORL,+2.5,208.5,103,4700,18,21.9,20.1,23.4,21.5,4.57
Robert,Williams,PF,C,,2024-12-21,,POR,SA,+6.5,227.5,110.5,4700,13,15.9,20.1,21.4,21.5,4.57
Jaden,McDaniels,SF,,,2024-12-21,,MIN,GSW,-4.5,215.5,110,4500,6,29.7,22.7,22.7,21.3,4.72
Ausar,Thompson,SF,PF,,2024-12-21,,DET,PHO,+6.5,225.5,109.5,4700,9,20.2,18.8,18.1,21.3,4.52
Keldon,Johnson,SF,PF,,2024-12-21,,SA,POR,-6.5,227.5,117,4400,5,25.5,24.5,24.1,21.3,4.83
Anthony,Black,PG,SG,,2024-12-21,,ORL,MIA,-2.5,208.5,105.5,4700,10,21.2,17.6,20.4,21.0,4.47
Scoot,Henderson,PG,,,2024-12-21,,POR,SA,+6.5,227.5,110.5,4500,21,20.1,22.0,22.8,21.0,4.67
Shake,Milton,PG,SG,,2024-12-21,,BKN,UTA,-2.5,220.5,111.5,4500,26,18.6,20.1,12.9,20.8,4.61
