Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
35,4555744017,Zhalp28 (6/20),0,329.5,C Jonas Valanciunas F Jaren Jackson Jr. G Jalen Green PF Santi Aldama PG Scotty Pippen Jr. SF Trey Murphy III SG Marcus Smart UTIL Anthony Davis,,Devin Vassell,G,4.58%,19.5
36,4555246737,JonTalley77 (14/20),0,329,C Jonas Valanciunas F Amen Thompson G Scotty Pippen Jr. PF Santi Aldama PG Dejounte Murray SF Justin Champagnie SG Marcus Smart UTIL Anthony Davis,,Julian Champagnie,SF,4.44%,22
36,4555757905,waitandsee4 (2/20),0,329,C Jonas Valanciunas F Amen Thompson G Dejounte Murray PF Santi Aldama PG Scotty Pippen Jr. SF Justin Champagnie SG Marcus Smart UTIL Anthony Davis,,Jay Huff,C,4.41%,23.25
38,4555724438,cloudllc (8/12),0,328.75,C Victor Wembanyama F Amen Thompson G Kevin Porter Jr. PF Jonathan Kuminga PG Scotty Pippen Jr. SF Justin Champagnie SG Norman Powell UTIL Anthony Davis,,Stephen Curry,G,4.40%,50
38,4555813002,TheHyperCritic (7/7),0,328.75,C Domantas Sabonis F Amen Thompson G D'Angelo Russell PF Brandon Clarke PG Scotty Pippen Jr. SF Justin Champagnie SG Carlton Carrington UTIL Anthony Davis,,Jerami Grant,F,3.65%,11.5
40,4555460331,Threejay914,0,328.25,C Jonas Valanciunas F Jaren Jackson Jr. G Trey Murphy III PF Santi Aldama PG Scotty Pippen Jr. SF Justin Champagnie SG Malik Monk UTIL Anthony Davis,,Jalen Green,SG,3.51%,40.5
41,4553138559,BlueDevilsFan41 (3/3),0,328,C Jonas Valanciunas F Jabari Smith Jr. G Stephen Curry PF Jonathan Kuminga PG Dejounte Murray SF Justin Champagnie SG Anthony Edwards UTIL Kevin Porter Jr.,,Walker Kessler,C,3.31%,35.5
41,4555124991,KMasonbx (9/20),0,328,C Jonas Valanciunas F Trey Murphy III G Dejounte Murray PF Santi Aldama PG Chris Paul SF Justin Champagnie SG Marcus Smart UTIL Anthony Davis,,Chris Paul,G,3.23%,33.75
43,4555246741,JonTalley77 (18/20),0,327.75,C Anthony Davis F Jonathan Kuminga G Scotty Pippen Jr. PF Santi Aldama PG Dejounte Murray SF Justin Champagnie SG Marcus Smart UTIL De'Aaron Fox,,Naz Reid,C,3.11%,24
44,4553611398,Jakkoe (7/20),0,327.5,C Jonas Valanciunas F Amen Thompson G Scotty Pippen Jr. PF Jaren Jackson Jr. PG Jared Butler SF Justin Champagnie SG Anthony Edwards UTIL Anthony Davis,,Stephon Castle,PG,2.95%,35.25
44,4555757912,waitandsee4 (9/20),0,327.5,C Jonas Valanciunas F Amen Thompson G Trey Murphy III PF Santi Aldama PG Scotty Pippen Jr. SF Justin Champagnie SG Marcus Smart UTIL Anthony Davis,,LeBron James,PF,2.57%,0
46,4555743616,jrost (5/5),0,327.25,C Jonas Valanciunas F Jabari Smith Jr. G Dejounte Murray PF Santi Aldama PG De'Aaron Fox SF Justin Champagnie SG Anthony Edwards UTIL Scotty Pippen Jr.,,Yves Missi,C,2.41%,43
47,4555573841,madskillz2 (1/2),0,327,C Victor Wembanyama F Dillon Brooks G Scotty Pippen Jr. PF Rui Hachimura PG Kevin Porter Jr. SF Justin Champagnie SG Malik Monk UTIL Anthony Davis,,Deni Avdija,PF,2.37%,21.5
48,4554292201,B_Mcafee90 (10/10),0,326.5,C Victor Wembanyama F Norman Powell G Scotty Pippen Jr. PF Santi Aldama PG Jared Butler SF Justin Champagnie SG Jalen Green UTIL Anthony Davis,,Jabari Smith Jr.,C,2.29%,35
48,4555577281,drterb (11/20),0,326.5,C Jonas Valanciunas F Rui Hachimura G Stephen Curry PF Jaren Jackson Jr. PG Scotty Pippen Jr. SF Justin Champagnie SG Marcus Smart UTIL Anthony Davis,,Jeremy Sochan,F,2.17%,22.75
48,4555785108,Regalboy1987 (1/20),0,326.5,C Jonas Valanciunas F Trey Murphy III G Dejounte Murray PF Jaren Jackson Jr. PG Scotty Pippen Jr. SF Justin Champagnie SG Stephon Castle UTIL Victor Wembanyama,,D'Angelo Russell,G,2.14%,60.25
48,4555785158,Regalboy1987 (2/20),0,326.5,C Jonas Valanciunas F Trey Murphy III G Dejounte Murray PF Jaren Jackson Jr. PG Scotty Pippen Jr. SF Justin Champagnie SG Stephon Castle UTIL Victor Wembanyama,,Max Christie,F,1.95%,14
