Entry ID,Contest Name,Contest ID,Entry Fee,PG,SG,SF,PF,C,G,F,UTIL,,Instructions
4581075916,NBA $60K Four Point Play [20 Entry Max],172231700,$4,Jalen Suggs (37149019) (LOCKED),Tyler Herro (37149015) (LOCKED),Amen Thompson (37149123),Santi Aldama (37149175),Nikola Vucevic (37148998) (LOCKED),Gary Trent Jr. (37149295),Talen Horton-Tucker (37149413) (LOCKED),Bobby Portis (37149053),,1. Column A lists all of your contest entries for this draftgroup
4581075917,NBA $60K Four Point Play [20 Entry Max],172231700,$4,Shai Gilgeous-Alexander (37148951) (LOCKED),Duncan Robinson (37149292) (LOCKED),Dalen Terry (37149533) (LOCKED),Santi Aldama (37149175),Bobby Portis (37149053),Fred VanVleet (37149062),Chris Boucher (37149350),Trae Young (37148966) (LOCKED),,2. Your current lineup is listed next to each entry (blank for reservations)
4581075918,NBA $60K Four Point Play [20 Entry Max],172231700,$4,Jordan Poole (37149025) (LOCKED),Amen Thompson (37149123),Cam Whitmore (37149376),Jonathan Mogbo (37149248),Bam Adebayo (37149003) (LOCKED),Trae Young (37148966) (LOCKED),Bobby Portis (37149053),Dalen Terry (37149533) (LOCKED),,3. You can change the lineup for an entry by entering the IDs of the players in the row next to that entry
4581075919,NBA $60K Four Point Play [20 Entry Max],172231700,$4,Trae Young (37148966) (LOCKED),Jordan Poole (37149025) (LOCKED),Zach LaVine (37149044) (LOCKED),Jonathan Isaac (37149438) (LOCKED),Myles Turner (37149102) (LOCKED),Amen Thompson (37149123),Jamison Battle (37149693),Bobby Portis (37149053),,4. Use data from the Name+ID column or the ID column; you cannot use just the player's name
4581075920,NBA $60K Four Point Play [20 Entry Max],172231700,$4,Andrew Nembhard (37149188) (LOCKED),Jordan Hawkins (37149259),Amen Thompson (37149123),Jake LaRavia (37149316),Clint Capela (37149169) (LOCKED),Trae Young (37148966) (LOCKED),Bobby Portis (37149053),Alperen Sengun (37148990),,5. For faster processing only include entries you are changing in the file you upload
4581075921,NBA $60K Four Point Play [20 Entry Max],172231700,$4,Trae Young (37148966) (LOCKED),Duncan Robinson (37149292) (LOCKED),Dalen Terry (37149533) (LOCKED),Jalen Johnson (37148974) (LOCKED),Mark Williams (37149209) (LOCKED),Amen Thompson (37149123),De'Andre Hunter (37149119) (LOCKED),Bobby Portis (37149053),,
,,,,,,,,,,,,,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
,,,,,,,,,,,,,SG/SF,Cam Thomas (37149065),Cam Thomas,37149065,SG/SF/F/G/UTIL,6700,BKN@MIL 12/26/2024 08:00PM ET,BKN,35.34
,,,,,,,,,,,,,SG/SF,Trey Murphy III (37149080),Trey Murphy III,37149080,SG/SF/F/G/UTIL,6600,HOU@NOP 12/26/2024 08:00PM ET,NOP,32.88
,,,,,,,,,,,,,C,Goga Bitadze (37149090) (LOCKED),Goga Bitadze,37149090,C/UTIL,6500,In Progress,ORL,27.10
,,,,,,,,,,,,,SG/SF,Khris Middleton (37149085),Khris Middleton,37149085,SG/SF/F/G/UTIL,6500,BKN@MIL 12/26/2024 08:00PM ET,MIL,27.29
,,,,,,,,,,,,,PG/SG,Ayo Dosunmu (37149098) (LOCKED),Ayo Dosunmu,37149098,PG/SG/G/UTIL,6400,In Progress,CHI,27.42
,,,,,,,,,,,,,PF,Kyle Kuzma (37149092) (LOCKED),Kyle Kuzma,37149092,PF/F/UTIL,6400,In Progress,WAS,26.60
,,,,,,,,,,,,,PG,Immanuel Quickley (37149095),Immanuel Quickley,37149095,PG/G/UTIL,6400,TOR@MEM 12/26/2024 08:00PM ET,TOR,25.5
,,,,,,,,,,,,,SF,Bilal Coulibaly (37149107) (LOCKED),Bilal Coulibaly,37149107,SF/F/UTIL,6300,In Progress,WAS,29.57
,,,,,,,,,,,,,C,Myles Turner (37149102) (LOCKED),Myles Turner,37149102,C/UTIL,6300,In Progress,IND,32.46
,,,,,,,,,,,,,SG,Jalen Green (37149104),Jalen Green,37149104,SG/G/UTIL,6300,HOU@NOP 12/26/2024 08:00PM ET,HOU,31.34
,,,,,,,,,,,,,PG/SG,Coby White (37149115) (LOCKED),Coby White,37149115,PG/SG/G/UTIL,6200,In Progress,CHI,31.27
,,,,,,,,,,,,,SF/PF,De'Andre Hunter (37149119) (LOCKED),De'Andre Hunter,37149119,SF/PF/F/UTIL,6100,In Progress,ATL,29.21
,,,,,,,,,,,,,SG/SF,Bennedict Mathurin (37149110) (LOCKED),Bennedict Mathurin,37149110,SG/SF/F/G/UTIL,6100,In Progress,IND,29.2
,,,,,,,,,,,,,SG/SF,Amen Thompson (37149123),Amen Thompson,37149123,SG/SF/F/G/UTIL,6000,HOU@NOP 12/26/2024 08:00PM ET,HOU,27.66
,,,,,,,,,,,,,C,Yves Missi (37149128),Yves Missi,37149128,C/UTIL,5900,HOU@NOP 12/26/2024 08:00PM ET,NOP,25.87
,,,,,,,,,,,,,PG,Ben Simmons (37149130),Ben Simmons,37149130,PG/G/UTIL,5900,BKN@MIL 12/26/2024 08:00PM ET,BKN,24.34
,,,,,,,,,,,,,SG,Gradey Dick (37149140),Gradey Dick,37149140,SG/G/UTIL,5800,TOR@MEM 12/26/2024 08:00PM ET,TOR,28.4
,,,,,,,,,,,,,PF/C,Jabari Smith Jr. (37149133),Jabari Smith Jr.,37149133,PF/C/F/UTIL,5800,HOU@NOP 12/26/2024 08:00PM ET,HOU,25.90
,,,,,,,,,,,,,PG,Jose Alvarado (37149137),Jose Alvarado,37149137,PG/G/UTIL,5700,HOU@NOP 12/26/2024 08:00PM ET,NOP,24.23
,,,,,,,,,,,,,C,Brook Lopez (37149143),Brook Lopez,37149143,C/UTIL,5700,BKN@MIL 12/26/2024 08:00PM ET,MIL,26.16
,,,,,,,,,,,,,C,Nic Claxton (37149145),Nic Claxton,37149145,C/UTIL,5600,BKN@MIL 12/26/2024 08:00PM ET,BKN,25.38
,,,,,,,,,,,,,C,Jonas Valanciunas (37149147) (LOCKED),Jonas Valanciunas,37149147,C/UTIL,5500,In Progress,WAS,26.73
,,,,,,,,,,,,,SF/PF,Herbert Jones (37149149),Herbert Jones,37149149,SF/PF/F/UTIL,5500,HOU@NOP 12/26/2024 08:00PM ET,NOP,24.96
,,,,,,,,,,,,,PF/C,Alexandre Sarr (37149153) (LOCKED),Alexandre Sarr,37149153,PF/C/F/UTIL,5400,In Progress,WAS,27.49
,,,,,,,,,,,,,PG/SG,Malcolm Brogdon (37149161) (LOCKED),Malcolm Brogdon,37149161,PG/SG/G/UTIL,5300,In Progress,WAS,25.15
,,,,,,,,,,,,,PF/C,Wendell Carter Jr. (37149157) (LOCKED),Wendell Carter Jr.,37149157,PF/C/F/UTIL,5300,In Progress,ORL,23.29
,,,,,,,,,,,,,C,Clint Capela (37149169) (LOCKED),Clint Capela,37149169,C/UTIL,5200,In Progress,ATL,26.39
,,,,,,,,,,,,,SF/PF,Justin Champagnie (37149165) (LOCKED),Justin Champagnie,37149165,SF/PF/F/UTIL,5200,In Progress,WAS,24.08
,,,,,,,,,,,,,PG/SG,Carlton Carrington (37149171) (LOCKED),Carlton Carrington,37149171,PG/SG/G/UTIL,5200,In Progress,WAS,22.13
,,,,,,,,,,,,,SG/SF,Ziaire Williams (37149183),Ziaire Williams,37149183,SG/SF/F/G/UTIL,5200,BKN@MIL 12/26/2024 08:00PM ET,BKN,18.43
,,,,,,,,,,,,,SG/SF,Cody Martin (37149178) (LOCKED),Cody Martin,37149178,SG/SF/F/G/UTIL,5100,In Progress,CHA,21.91
,,,,,,,,,,,,,PF,Santi Aldama (37149175),Santi Aldama,37149175,PF/F/UTIL,5100,TOR@MEM 12/26/2024 08:00PM ET,MEM,30.88
,,,,,,,,,,,,,C,Zach Edey (37149192),Zach Edey,37149192,C/UTIL,5100,TOR@MEM 12/26/2024 08:00PM ET,MEM,24.74
,,,,,,,,,,,,,PG/SG,Andrew Nembhard (37149188) (LOCKED),Andrew Nembhard,37149188,PG/SG/G/UTIL,5100,In Progress,IND,20.97
,,,,,,,,,,,,,PF/C,Larry Nance Jr. (37149199) (LOCKED),Larry Nance Jr.,37149199,PF/C/F/UTIL,5000,In Progress,ATL,21.25
,,,,,,,,,,,,,PG,T.J. McConnell (37149206) (LOCKED),T.J. McConnell,37149206,PG/G/UTIL,5000,In Progress,IND,23.72
,,,,,,,,,,,,,SG/SF,Dillon Brooks (37149194),Dillon Brooks,37149194,SG/SF/F/G/UTIL,5000,HOU@NOP 12/26/2024 08:00PM ET,HOU,23.56
,,,,,,,,,,,,,SF,Saddiq Bey (37149203) (LOCKED),Saddiq Bey,37149203,SF/F/UTIL,4900,In Progress,WAS,0
,,,,,,,,,,,,,C,Mark Williams (37149209) (LOCKED),Mark Williams,37149209,C/UTIL,4900,In Progress,CHA,22.64
,,,,,,,,,,,,,PG/SG,Terry Rozier (37149211) (LOCKED),Terry Rozier,37149211,PG/SG/G/UTIL,4900,In Progress,MIA,23.64
,,,,,,,,,,,,,PF,Dorian Finney-Smith (37149215),Dorian Finney-Smith,37149215,PF/F/UTIL,4900,BKN@MIL 12/26/2024 08:00PM ET,BKN,22.63
,,,,,,,,,,,,,SG/SF,Bogdan Bogdanovic (37149220) (LOCKED),Bogdan Bogdanovic,37149220,SG/SF/F/G/UTIL,4800,In Progress,ATL,21
,,,,,,,,,,,,,C,Kelly Olynyk (37149218),Kelly Olynyk,37149218,C/UTIL,4800,TOR@MEM 12/26/2024 08:00PM ET,TOR,18.89
,,,,,,,,,,,,,PG,Scotty Pippen Jr. (37149229),Scotty Pippen Jr.,37149229,PG/G/UTIL,4800,TOR@MEM 12/26/2024 08:00PM ET,MEM,25.33
,,,,,,,,,,,,,SF/PF,Tari Eason (37149225),Tari Eason,37149225,SF/PF/F/UTIL,4800,HOU@NOP 12/26/2024 08:00PM ET,HOU,26.70
,,,,,,,,,,,,,C,Nick Richards (37149235) (LOCKED),Nick Richards,37149235,C/UTIL,4700,In Progress,CHA,26.59
,,,,,,,,,,,,,PF,Ochai Agbaji (37149232),Ochai Agbaji,37149232,PF/F/UTIL,4700,TOR@MEM 12/26/2024 08:00PM ET,TOR,22.81
,,,,,,,,,,,,,PG,Anthony Black (37149237) (LOCKED),Anthony Black,37149237,PG/G/UTIL,4700,In Progress,ORL,20.10
,,,,,,,,,,,,,PF/C,Obi Toppin (37149240) (LOCKED),Obi Toppin,37149240,PF/C/F/UTIL,4600,In Progress,IND,21.23
,,,,,,,,,,,,,PG/SG,Cole Anthony (37149244) (LOCKED),Cole Anthony,37149244,PG/SG/G/UTIL,4600,In Progress,ORL,13.36
,,,,,,,,,,,,,SF/PF,Josh Green (37149255) (LOCKED),Josh Green,37149255,SF/PF/F/UTIL,4500,In Progress,CHA,15.49
,,,,,,,,,,,,,PF/C,Jonathan Mogbo (37149248),Jonathan Mogbo,37149248,PF/C/F/UTIL,4500,TOR@MEM 12/26/2024 08:00PM ET,TOR,16.14
,,,,,,,,,,,,,PG,Ryan Rollins (37149252),Ryan Rollins,37149252,PG/G/UTIL,4500,BKN@MIL 12/26/2024 08:00PM ET,MIL,10.16
,,,,,,,,,,,,,SG/SF,Bruce Brown (37149275),Bruce Brown,37149275,SG/SF/F/G/UTIL,4400,TOR@MEM 12/26/2024 08:00PM ET,TOR,0
,,,,,,,,,,,,,SG/SF,Luguentz Dort (37149280) (LOCKED),Luguentz Dort,37149280,SG/SF/F/G/UTIL,4400,In Progress,OKC,22.61
,,,,,,,,,,,,,PG/SG,Jordan Hawkins (37149259),Jordan Hawkins,37149259,PG/SG/G/UTIL,4400,HOU@NOP 12/26/2024 08:00PM ET,NOP,21.04
,,,,,,,,,,,,,PF/C,Noah Clowney (37149263),Noah Clowney,37149263,PF/C/F/UTIL,4400,BKN@MIL 12/26/2024 08:00PM ET,BKN,16.11
,,,,,,,,,,,,,SF,Jalen Wilson (37149272),Jalen Wilson,37149272,SF/F/UTIL,4400,BKN@MIL 12/26/2024 08:00PM ET,BKN,17.31
,,,,,,,,,,,,,C,Onyeka Okongwu (37149285) (LOCKED),Onyeka Okongwu,37149285,C/UTIL,4300,In Progress,ATL,24.52
,,,,,,,,,,,,,SG/SF,Ja'Kobe Walter (37149311),Ja'Kobe Walter,37149311,SG/SF/F/G/UTIL,4300,TOR@MEM 12/26/2024 08:00PM ET,TOR,16.88
,,,,,,,,,,,,,PG/SG,Cason Wallace (37149304) (LOCKED),Cason Wallace,37149304,PG/SG/G/UTIL,4300,In Progress,OKC,19.40
,,,,,,,,,,,,,SG/SF,Kentavious Caldwell-Pope (37149267) (LOCKED),Kentavious Caldwell-Pope,37149267,SG/SF/F/G/UTIL,4300,In Progress,ORL,18.97
,,,,,,,,,,,,,SG,Duncan Robinson (37149292) (LOCKED),Duncan Robinson,37149292,SG/G/UTIL,4300,In Progress,MIA,19.95
,,,,,,,,,,,,,SF/PF,Tristan da Silva (37149300) (LOCKED),Tristan da Silva,37149300,SF/PF/F/UTIL,4300,In Progress,ORL,16.15
,,,,,,,,,,,,,PF,Trendon Watford (37149308),Trendon Watford,37149308,PF/F/UTIL,4300,BKN@MIL 12/26/2024 08:00PM ET,BKN,15.79
,,,,,,,,,,,,,SF/PF,Jake LaRavia (37149316),Jake LaRavia,37149316,SF/PF/F/UTIL,4200,TOR@MEM 12/26/2024 08:00PM ET,MEM,22.38
,,,,,,,,,,,,,C,Bruno Fernando (37149327),Bruno Fernando,37149327,C/UTIL,4200,TOR@MEM 12/26/2024 08:00PM ET,TOR,10.41
,,,,,,,,,,,,,PG,Dru Smith (37149324) (LOCKED),Dru Smith,37149324,PG/G/UTIL,4200,In Progress,MIA,15.79
,,,,,,,,,,,,,PG/SF,Brandon Boston Jr. (37149287),Brandon Boston Jr.,37149287,PG/SF/F/G/UTIL,4200,HOU@NOP 12/26/2024 08:00PM ET,NOP,23.82
