Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
35,4561286219,Rjburba (18/20),0,308.75,C Jarrett Allen F Matas Buzelis G Ja Morant PF Julius Randle PG Darius Garland SF Justin Champagnie SG Jordan Poole UTIL Jalen Smith,,Jonas Valanciunas,C,6.26%,14.5
37,4561242531,giantsquid (7/20),0,308.5,C Ivica Zubac F Pascal Siakam G Caris LeVert PF Justin Champagnie PG Donovan Mitchell SF Bilal Coulibaly SG Jordan Poole UTIL Jalen Smith,,Julius Randle,PF,6.00%,32.75
37,4561399920,topeka9225 (10/10),0,308.5,C Jarrett Allen F Desmond Bane G Ja Morant PF Alexandre Sarr PG James Harden SF Justin Champagnie SG Caris LeVert UTIL Jalen Smith,,Matas Buzelis,F,5.56%,22.25
39,4561329975,jmorris9855 (14/19),0,308,C Jalen Smith F Bilal Coulibaly G Vasilije Micic PF Santi Aldama PG Ja Morant SF Brandon Miller SG Ayo Dosunmu UTIL Josh Giddey,,Nicolas Batum,F,5.53%,13.75
39,4561530654,esmitty11 (10/20),0,308,C Jarrett Allen F Brandon Miller G Josh Giddey PF Cameron Johnson PG Jordan Poole SF Bilal Coulibaly SG Caris LeVert UTIL Jalen Smith,,Desmond Bane,SG,5.30%,45
41,4561045924,DoubleX2Dave (10/20),0,307.75,C Anthony Davis F Jaden McDaniels G Josh Giddey PF Brandon Clarke PG Jordan Poole SF Justin Champagnie SG Donovan Mitchell UTIL Jalen Smith,,Santi Aldama,PF,4.88%,29
42,4561508997,ocdobv (6/20),0,307.25,C Jarrett Allen F Desmond Bane G Josh Giddey PF Alexandre Sarr PG Dennis Schroder SF Justin Champagnie SG Donovan Mitchell UTIL Jalen Smith,,Andrew Nembhard,SG,4.83%,20
43,4561515482,DayByDay (10/20),0,307,C Jarrett Allen F Brandon Miller G Donovan Mitchell PF Justin Champagnie PG Jordan Poole SF Bilal Coulibaly SG Caris LeVert UTIL Jalen Smith,,Paul George,PF,4.78%,32.25
44,4560997614,apforadori (2/10),0,306.5,C Jarrett Allen F Norman Powell G Darius Garland PF Miles Bridges PG Josh Giddey SF Justin Champagnie SG Donovan Mitchell UTIL Jalen Smith,,Nic Claxton,C,4.55%,21.25
44,4561116058,moanzoner (5/20),0,306.5,C Jarrett Allen F Miles Bridges G Kevin Porter Jr. PF Justin Champagnie PG Ja Morant SF Brandon Miller SG Jordan Poole UTIL Jalen Smith,,Nickeil Alexander-Walker,SF,4.34%,10.25
44,4561136802,westonselman (3/20),0,306.5,C Jarrett Allen F Norman Powell G Josh Giddey PF Miles Bridges PG Darius Garland SF Justin Champagnie SG Donovan Mitchell UTIL Jalen Smith,,Mike Conley,G,4.23%,17.5
44,4561281893,Dr_Two_Inch (17/20),0,306.5,C Jarrett Allen F Justin Champagnie G James Harden PF Alexandre Sarr PG Darius Garland SF Bilal Coulibaly SG Jordan Poole UTIL Jalen Smith,,Georges Niang,PF,4.21%,18.75
44,4561403812,sundevilboozer (18/20),0,306.5,C Jarrett Allen F Norman Powell G Darius Garland PF Miles Bridges PG Josh Giddey SF Justin Champagnie SG Donovan Mitchell UTIL Jalen Smith,,Michael Porter Jr.,PF,3.78%,31.75
44,4561441357,rd7242 (9/20),0,306.5,C Jarrett Allen F Norman Powell G Josh Giddey PF Miles Bridges PG Darius Garland SF Justin Champagnie SG Donovan Mitchell UTIL Jalen Smith,,Tyrese Maxey,PG,3.51%,31.25
44,4561496830,seth37iso (10/20),0,306.5,C Jarrett Allen F Justin Champagnie G James Harden PF Alexandre Sarr PG Darius Garland SF Bilal Coulibaly SG Jordan Poole UTIL Jalen Smith,,Carlton Carrington,SG,3.41%,16.75
44,4561553900,traw8909 (7/20),0,306.5,C Jarrett Allen F Norman Powell G Josh Giddey PF Miles Bridges PG Darius Garland SF Justin Champagnie SG Donovan Mitchell UTIL Jalen Smith,,Kelly Oubre Jr.,SG,3.15%,33.75
52,4561469207,blough1992 (18/20),0,306.25,C Jarrett Allen F Norman Powell G Josh Giddey PF Jaren Jackson Jr. PG Vasilije Micic SF Bilal Coulibaly SG Donovan Mitchell UTIL Jalen Smith,,Kris Dunn,G,3.05%,18.25
52,4561561956,MikePerez64 (15/20),0,306.25,C Anthony Davis F Justin Champagnie G Josh Giddey PF Alexandre Sarr PG Caris LeVert SF Bilal Coulibaly SG Anthony Edwards UTIL Jalen Smith,,Nick Richards,UTIL,2.82%,10.25
54,4561232676,sanch05 (6/20),0,305.5,C Jarrett Allen F Brandon Miller G Ja Morant PF Alexandre Sarr PG Caris LeVert SF Justin Champagnie SG Jordan Poole UTIL Jalen Smith,,Obi Toppin,F,2.68%,41.5
54,4561250481,ChokeHoldem1 (5/20),0,305.5,C Jarrett Allen F Brandon Miller G Ja Morant PF Alexandre Sarr PG Caris LeVert SF Justin Champagnie SG Jordan Poole UTIL Jalen Smith,,Jordan Miller,F,2.59%,2.5
54,4561289065,melonthumper (1/20),0,305.5,C Jalen Smith F Jaren Jackson Jr. G Vasilije Micic PF Justin Champagnie PG Ja Morant SF Bilal Coulibaly SG Donovan Mitchell UTIL Norman Powell,,Dennis Schroder,PG,2.47%,31.25
57,4560905813,walsean1 (10/20),0,305.25,C Jarrett Allen F Brandon Clarke G Ja Morant PF Miles Bridges PG Donovan Mitchell SF Jaden McDaniels SG Zach LaVine UTIL Jalen Smith,,Ayo Dosunmu,G,2.33%,35.25
57,4560974416,ccman1707 (19/20),0,305.25,C Jarrett Allen F Miles Bridges G Josh Giddey PF Naz Reid PG Ja Morant SF Justin Champagnie SG Jordan Poole UTIL Jalen Smith,,T.J. McConnell,G,2.31%,23
57,4561524699,Robes,0,305.25,C Jarrett Allen F Bilal Coulibaly G Ayo Dosunmu PF Santi Aldama PG Darius Garland SF Norman Powell SG Desmond Bane UTIL Kelly Oubre Jr.,,Dalton Knecht,SG,2.28%,18.25
60,4560954102,roddog06 (11/20),0,305,C Jalen Smith F Aaron Gordon G Ja Morant PF Justin Champagnie PG Tyrese Haliburton SF Zach LaVine SG Sam Merrill UTIL Jaren Jackson Jr.,,Austin Reaves,SG,2.20%,34
61,4561538457,tayweid13 (11/20),0,304.5,C Jarrett Allen F Brandon Clarke G Coby White PF Pascal Siakam PG Tyrese Haliburton SF Justin Champagnie SG Jordan Poole UTIL Jalen Smith,,Ty Jerome,PG,2.13%,9
62,4560938180,moklovin (6/20),0,304,C Jarrett Allen F Norman Powell G Kevin Porter Jr. PF Michael Porter Jr. PG Darius Garland SF Bilal Coulibaly SG Donovan Mitchell UTIL Jalen Smith,,Marcus Smart,SG,1.75%,10.75
62,4561002203,illwood (11/20),0,304,C Jarrett Allen F Zach LaVine G Josh Giddey PF Miles Bridges PG Darius Garland SF Justin Champagnie SG Jordan Poole UTIL Jalen Smith,,Amir Coffey,SF,1.63%,16.5
62,4561058862,jkisnum1 (2/2),0,304,C Jarrett Allen F Obi Toppin G Ayo Dosunmu PF Jaren Jackson Jr. PG Ja Morant SF Rui Hachimura SG Caris LeVert UTIL Santi Aldama,,Rudy Gobert,C,1.61%,36.75
62,4561062356,youdacao (16/20),0,304,C Jarrett Allen F Miles Bridges G Josh Giddey PF Justin Champagnie PG Darius Garland SF Zach LaVine SG Jordan Poole UTIL Jalen Smith,,Ivica Zubac,C,1.58%,37.75
62,4561073827,jacksman8 (2/4),0,304,C Jarrett Allen F Norman Powell G Josh Giddey PF Jaren Jackson Jr. PG Darius Garland SF Cameron Johnson SG Caris LeVert UTIL Jalen Smith,,Dorian Finney-Smith,PF,1.42%,37.25
62,4561095837,Jbjafarian (14/20),0,304,C Jarrett Allen F Jaden McDaniels G Ja Morant PF Justin Champagnie PG D'Angelo Russell SF Desmond Bane SG Anthony Edwards UTIL Jalen Smith,,Christian Braun,F,1.35%,17.25
62,4561249102,meyers2305 (8/20),0,304,C Jarrett Allen F Zach LaVine G Josh Giddey PF Miles Bridges PG Darius Garland SF Justin Champagnie SG Jordan Poole UTIL Jalen Smith,,Pascal Siakam,UTIL,1.34%,41.5
62,4561380621,lklk88088 (1/20),0,304,C Jalen Smith F Norman Powell G Ja Morant PF Alexandre Sarr PG Darius Garland SF Jaden McDaniels SG Caris LeVert UTIL James Harden,,Guerschon Yabusele,F,1.28%,4.25
62,4561469352,medwards147 (2/10),0,304,C Jarrett Allen F Miles Bridges G Josh Giddey PF Justin Champagnie PG Darius Garland SF Zach LaVine SG Jordan Poole UTIL Jalen Smith,,Tyrese Haliburton,PG,1.17%,60.25
71,4561156315,KMasonbx (10/20),0,303.75,C Jarrett Allen F Miles Bridges G Norman Powell PF Paul George PG Josh Giddey SF Jaden McDaniels SG Donovan Mitchell UTIL Jalen Smith,,Josh Green,F,1.08%,18.5
71,4561223788,JPME (1/20),0,303.75,C Jarrett Allen F Miles Bridges G Ja Morant PF Alexandre Sarr PG Vasilije Micic SF Bilal Coulibaly SG Anthony Edwards UTIL Jalen Smith,,Sam Merrill,SG,1.01%,23
71,4561286218,Rjburba (17/20),0,303.75,C Jarrett Allen F Miles Bridges G Vasilije Micic PF Pascal Siakam PG Ja Morant SF Justin Champagnie SG Jordan Poole UTIL Jalen Smith,,Max Christie,SF,0.88%,25.25
71,4561348412,donn94 (10/20),0,303.75,C Jarrett Allen F Miles Bridges G Norman Powell PF Paul George PG Josh Giddey SF Jaden McDaniels SG Donovan Mitchell UTIL Jalen Smith,,Jake LaRavia,SF,0.85%,10
75,4560985515,Markey07 (3/3),0,303.5,C Jalen Smith F Jaren Jackson Jr. G Norman Powell PF Cameron Johnson PG Darius Garland SF Justin Champagnie SG Desmond Bane UTIL Jarrett Allen,,Patrick Williams,UTIL,0.83%,7.5
75,4561099267,hoodmaster (7/15),0,303.5,C Jarrett Allen F Zach LaVine G Kevin Porter Jr. PF Michael Porter Jr. PG Ja Morant SF Desmond Bane SG Caris LeVert UTIL Jalen Smith,,Scotty Pippen Jr.,PG,0.76%,18.75
77,4561283126,thisteamsucks (10/20),0,303.25,C Jay Huff F Jaden McDaniels G Ja Morant PF Alexandre Sarr PG Tyrese Maxey SF Bilal Coulibaly SG Desmond Bane UTIL Jamal Murray,,Ben Simmons,UTIL,0.74%,20
78,4561168711,resleme130 (2/4),0,303,C Jalen Smith F Miles Bridges G Vasilije Micic PF Alexandre Sarr PG Ja Morant SF Bilal Coulibaly SG Caris LeVert UTIL Anthony Davis,,Isaiah Wong,G,0.74%,24.5
78,4561587719,Toinegotti,0,303,C Jarrett Allen F Brandon Clarke G Ja Morant PF Aaron Gordon PG Darius Garland SF Desmond Bane SG Coby White UTIL Jalen Smith,,Isaac Okoro,UTIL,0.71%,21.5
80,4561223790,JPME (3/20),0,302.75,C Jarrett Allen F Norman Powell G Vasilije Micic PF Alexandre Sarr PG Ja Morant SF Bilal Coulibaly SG Donovan Mitchell UTIL Jalen Smith,,Jamal Murray,G,0.69%,38.75
81,4561553907,traw8909 (14/20),0,302.25,C Jarrett Allen F Brandon Miller G Vasilije Micic PF Miles Bridges PG Josh Giddey SF Bilal Coulibaly SG Jordan Poole UTIL Jalen Smith,,Cody Martin,SF,0.68%,9.5
82,4560980910,LouisLepke (19/20),0,302,C Jarrett Allen F Julius Randle G Kevin Porter Jr. PF Jaren Jackson Jr. PG Josh Giddey SF Justin Champagnie SG Brandon Miller UTIL Jalen Smith,,Julian Strawther,G,0.67%,19.5
82,4561241984,dublaa88 (15/20),0,302,C Jalen Smith F Miles Bridges G Darius Garland PF Justin Champagnie PG Caris LeVert SF Brandon Miller SG Jordan Poole UTIL Josh Giddey,,Marvin Bagley III,UTIL,0.67%,6
84,4560950255,markt35 (12/20),0,301.75,C Jarrett Allen F Brandon Miller G Vasilije Micic PF Jaren Jackson Jr. PG Ja Morant SF Justin Champagnie SG Caris LeVert UTIL Jalen Smith,,DaQuan Jeffries,F,0.63%,0
84,4561099266,hoodmaster (6/15),0,301.75,C Jarrett Allen F Julius Randle G Ja Morant PF Matas Buzelis PG Darius Garland SF Desmond Bane SG Kris Dunn UTIL Jalen Smith,,Lonzo Ball,G,0.61%,28.75
84,4561177713,BaconBits88 (19/20),0,301.75,C Jarrett Allen F Bilal Coulibaly G Ja Morant PF Paul George PG Coby White SF Justin Champagnie SG Norman Powell UTIL Jalen Smith,,Jay Huff,UTIL,0.60%,12.5
84,4561418564,Justin0462 (13/20),0,301.75,C Pascal Siakam F Norman Powell G Tyrese Haliburton PF Dean Wade PG Donovan Mitchell SF Bilal Coulibaly SG Kelly Oubre Jr. UTIL Jalen Smith,,Bennedict Mathurin,F,0.58%,31.25
84,4561419947,srodriguez34 (10/20),0,301.75,C Jarrett Allen F Brandon Miller G Vasilije Micic PF Jaren Jackson Jr. PG Ja Morant SF Justin Champagnie SG Caris LeVert UTIL Jalen Smith,,Bones Hyland,UTIL,0.54%,20.5
84,4561496825,seth37iso (5/20),0,301.75,C Anthony Davis F Justin Champagnie G Kevin Porter Jr. PF Alexandre Sarr PG Donovan Mitchell SF Bilal Coulibaly SG Jordan Poole UTIL Jalen Smith,,Jared McCain,SG,0.52%,10.25
84,4561530651,esmitty11 (7/20),0,301.75,C Jarrett Allen F Desmond Bane G Jordan Poole PF Naz Reid PG Darius Garland SF Justin Champagnie SG Donovan Mitchell UTIL Jalen Smith,,Noah Clowney,PF,0.49%,22.5
91,4561000886,Thegoldcobra (18/20),0,301.5,C Jarrett Allen F Jaren Jackson Jr. G Darius Garland PF Miles Bridges PG Caris LeVert SF Norman Powell SG Jordan Poole UTIL Jalen Smith,,Jaylen Wells,G,0.45%,24.75
91,4561227471,Darone2_22,0,301.5,C Jarrett Allen F Norman Powell G Tyrese Haliburton PF Alexandre Sarr PG Tyrese Maxey SF Bilal Coulibaly SG Andrew Nembhard UTIL Jaden McDaniels,,Gabe Vincent,G,0.41%,15
93,4560988343,F0rsaken (19/20),0,301.25,C Jalen Smith F Desmond Bane G Coby White PF Jaren Jackson Jr. PG Josh Giddey SF Dean Wade SG Austin Reaves UTIL Ja Morant,,Shake Milton,PG,0.39%,25.5
93,4561223794,JPME (7/20),0,301.25,C Jarrett Allen F Norman Powell G Josh Giddey PF Jaren Jackson Jr. PG Vasilije Micic SF Bilal Coulibaly SG Brandon Miller UTIL Jalen Smith,,Myles Turner,UTIL,0.38%,19
93,4561482898,infam0u5p (4/15),0,301.25,C Jarrett Allen F Miles Bridges G Josh Giddey PF Justin Champagnie PG Donovan Mitchell SF Brandon Miller SG Caris LeVert UTIL Jalen Smith,,Keon Johnson,SG,0.37%,19
96,4560923237,korhashamo (5/20),0,301,C Anthony Davis F Miles Bridges G Vasilije Micic PF Alexandre Sarr PG Ja Morant SF Jaden McDaniels SG Austin Reaves UTIL Jalen Smith,,Jarace Walker,F,0.30%,5.5
97,4561289047,riddimbaucher (7/20),0,300.75,C Jarrett Allen F Brandon Miller G Vasilije Micic PF Miles Bridges PG Josh Giddey SF Jaden McDaniels SG Donovan Mitchell UTIL Jalen Smith,,Jalen Wilson,SF,0.28%,28
97,4561489773,infam0u5p (13/15),0,300.75,C Jarrett Allen F Brandon Miller G Vasilije Micic PF Cameron Johnson PG Ja Morant SF Bilal Coulibaly SG Caris LeVert UTIL Jalen Smith,,Tyrese Martin,SF,0.28%,0
97,4561507884,boundsb2323 (5/5),0,300.75,C Anthony Davis F Jaden McDaniels G Vasilije Micic PF Aaron Gordon PG Darius Garland SF Bilal Coulibaly SG Caris LeVert UTIL Jarrett Allen,,Mark Williams,UTIL,0.27%,31.25
100,4560942068,Navid841801 (6/20),0,300.5,C Jalen Smith F Desmond Bane G Ja Morant PF Cameron Johnson PG Dennis Schroder SF Justin Champagnie SG Caris LeVert UTIL Rudy Gobert,,Johnny Davis,SG,0.25%,24.25
100,4561192578,jcljr23 (2/7),0,300.5,C Jarrett Allen F Justin Champagnie G Jordan Poole PF Alexandre Sarr PG Darius Garland SF Bilal Coulibaly SG Donovan Mitchell UTIL Brandon Clarke,,KJ Martin,PF,0.24%,17.75
100,4561312149,papagates (8/20),0,300.5,C Jarrett Allen F Miles Bridges G Kevin Porter Jr. PF Jaren Jackson Jr. PG Darius Garland SF Cameron Johnson SG Jordan Poole UTIL Jalen Smith,,Cam Reddish,SF,0.23%,14.75
103,4560954413,bcalicore (10/20),0,300.25,C Jalen Smith F Miles Bridges G Josh Giddey PF Justin Champagnie PG Darius Garland SF Norman Powell SG Caris LeVert UTIL Anthony Davis,,Luke Kennard,F,0.21%,0
103,4561064974,patrickkuz (20/20),0,300.25,C Jalen Smith F Miles Bridges G Josh Giddey PF Justin Champagnie PG Darius Garland SF Norman Powell SG Caris LeVert UTIL Anthony Davis,,Peyton Watson,F,0.15%,24.75
103,4561429074,Jthayesjr (7/20),0,300.25,C Jalen Smith F Norman Powell G Josh Giddey PF Miles Bridges PG Darius Garland SF Justin Champagnie SG Caris LeVert UTIL Anthony Davis,,Ricky Council IV,F,0.14%,31.75
103,4561587103,Mancusco (8/10),0,300.25,C Jalen Smith F Norman Powell G Josh Giddey PF Miles Bridges PG Darius Garland SF Justin Champagnie SG Caris LeVert UTIL Anthony Davis,,John Konchar,SG,0.14%,0
107,4560949195,willoc729 (17/20),0,300,C Jarrett Allen F Zach LaVine G Ja Morant PF Miles Bridges PG Caris LeVert SF Justin Champagnie SG Jordan Poole UTIL Jalen Smith,,Trendon Watford,F,0.11%,0
107,4561145732,garnes222,0,300,C Jarrett Allen F Brandon Miller G Ja Morant PF Rui Hachimura PG Jordan Poole SF Justin Champagnie SG Caris LeVert UTIL Jalen Smith,,Quenton Jackson,SF,0.10%,2
107,4561286211,Rjburba (10/20),0,300,C Jarrett Allen F Brandon Miller G Ja Morant PF Rui Hachimura PG Caris LeVert SF Justin Champagnie SG Jordan Poole UTIL Jalen Smith,,Talen Horton-Tucker,SF,0.09%,10.5
107,4561312160,papagates (19/20),0,300,C Jarrett Allen F Miles Bridges G Josh Giddey PF Julius Randle PG Darius Garland SF Cameron Johnson SG Caris LeVert UTIL Jalen Smith,,Evan Mobley,C,0.09%,0
107,4561507173,wormburner1980 (6/20),0,300,C Jarrett Allen F Miles Bridges G Josh Giddey PF Julius Randle PG Darius Garland SF Cameron Johnson SG Caris LeVert UTIL Jalen Smith,,Andre Drummond,C,0.08%,19
112,4561232674,sanch05 (4/20),0,299.75,C Jarrett Allen F Naz Reid G Ja Morant PF Cameron Johnson PG Darius Garland SF Justin Champagnie SG Jordan Poole UTIL Jalen Smith,,Julian Phillips,PF,0.08%,12.25
112,4561286213,Rjburba (12/20),0,299.75,C Jarrett Allen F Naz Reid G Ja Morant PF Cameron Johnson PG Darius Garland SF Justin Champagnie SG Jordan Poole UTIL Jalen Smith,,Anthony Gill,PF,0.07%,0.75
112,4561402041,klambkins (2/20),0,299.75,C Jalen Smith F Bilal Coulibaly G Caris LeVert PF Naz Reid PG Darius Garland SF Justin Champagnie SG Donovan Mitchell UTIL Anthony Davis,,Kyle Lowry,UTIL,0.06%,0
