Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
37,4567466734,spankthat (19/20),0,322.5,C Andre Drummond F Jonathan Mogbo G Josh Giddey PF Ausar Thompson PG Tyrese Maxey SF RJ Barrett SG Kelly Oubre Jr. UTIL Gradey Dick,,Patrick Williams,F,6.22%,18.5
38,4566676668,westonselman (3/20),46.75,322.25,C Andre Drummond F Talen Horton-Tucker G Kevin Porter Jr. PF Paul George PG Cade Cunningham SF Jimmy Butler SG Lonzo Ball UTIL Jakob Poeltl,,Caris LeVert,G,6.06%,36.75
38,4567631307,guru919,0,322.25,C Jalen Duren F Simone Fontecchio G Malik Beasley PF Jaime Jaquez Jr. PG Cade Cunningham SF Jimmy Butler SG Jaden Ivey UTIL RJ Barrett,,Keon Ellis,SG,5.95%,9.75
40,4566796076,JonTalley77 (12/20),0,322,C Andre Drummond F Matas Buzelis G Cade Cunningham PF Jonathan Mogbo PG Dru Smith SF Jimmy Butler SG Coby White UTIL RJ Barrett,,Lonzo Ball,SG,5.85%,29.5
41,4566690432,thugologist (20/20),45.83,320.5,C Jonathan Mogbo F Amir Coffey G Coby White PF RJ Barrett PG Cade Cunningham SF Jimmy Butler SG Lonzo Ball UTIL Caris LeVert,,Julian Strawther,SG,5.53%,12
42,4566965707,mikecav99,0,320.25,C Nikola Vucevic F Ausar Thompson G Kelly Oubre Jr. PF KJ Martin PG LaMelo Ball SF Jimmy Butler SG Caris LeVert UTIL Mark Williams,,Lauri Markkanen,SF,4.98%,1.5
43,4567156339,LushyLeanPocket,46.75,319.25,C Nikola Vucevic F Ausar Thompson G Kevin Porter Jr. PF Jonathan Mogbo PG Cade Cunningham SF Jimmy Butler SG Gradey Dick UTIL Andre Drummond,,Walker Kessler,UTIL,4.93%,0
44,4567516080,JSNYC175 (3/4),34,318.75,C Andre Drummond F Aaron Gordon G Josh Giddey PF RJ Barrett PG Dru Smith SF Jimmy Butler SG Coby White UTIL Ben Simmons,,Cameron Johnson,SF,4.53%,32.75
45,4567359515,unclehans (9/15),0,318.5,C Mark Williams F Talen Horton-Tucker G Caris LeVert PF Jimmy Butler PG Coby White SF RJ Barrett SG Kelly Oubre Jr. UTIL Jakob Poeltl,,Evan Mobley,F,4.47%,31.75
46,4566303715,walsean1 (18/20),34,318.25,C Jonathan Mogbo F Aaron Gordon G Ben Simmons PF Jimmy Butler PG Josh Giddey SF Paul George SG Kelly Oubre Jr. UTIL Coby White,,Kris Dunn,UTIL,4.29%,8.25
47,4567455475,Deandre58 (7/10),0,317.75,C Jonathan Mogbo F RJ Barrett G Gradey Dick PF Miles Bridges PG Josh Giddey SF Jimmy Butler SG Duncan Robinson UTIL Coby White,,Dorian Finney-Smith,PF,4.16%,17
