Player,Position,Team,Cash%,Win%,Top1%,Sim. Own%,Proj. Own%,Avg. Return
collin gillespie,PG/G/UTIL,PHX,8.76%,0.0%,0.04%,0.02%,0.03%,$-3.26
jett howard,PF/SF/F/UTIL,ORL,8.87%,0.0%,0.08%,0.07%,0.03%,$-3.28
tyty washington jr.,PG/G/UTIL,PHX,11.66%,0.0%,0.03%,0.03%,0.03%,$-3.28
taylor hendricks,SF/F/UTIL,UTA,9.87%,0.0%,0.05%,0.05%,0.03%,$-3.29
neemias queta,C/UTIL,BOS,7.72%,0.0%,0.06%,0.02%,0.03%,$-3.31
dariq whitehead,SG/G/UTIL,BKN,8.8%,0.0%,0.01%,0.02%,0.03%,$-3.31
luke kornet,C/UTIL,BOS,9.08%,0.0%,0.12%,0.03%,0.1%,$-3.32
johnny davis,SF/SG/G/F/UTIL,WAS,9.46%,0.0%,0.07%,0.08%,0.03%,$-3.33
tristan vukcevic,C/UTIL,WAS,8.73%,0.0%,0.05%,0.07%,0.03%,$-3.34
vasilije micic,PG/G/UTIL,CHA,8.53%,0.0%,0.06%,0.07%,0.1%,$-3.34
gary harris,SF/SG/G/F/UTIL,ORL,8.64%,0.0%,0.06%,0.05%,0.03%,$-3.36
marvin bagley iii,C/UTIL,WAS,9.12%,0.0%,0.07%,0.03%,0.03%,$-3.38
jordan walsh,SF/SG/G/F/UTIL,BOS,8.61%,0.0%,0.03%,0.05%,0.03%,$-3.39
jalen bridges,SF/F/UTIL,PHX,7.19%,0.0%,0.02%,0.02%,0.03%,$-3.41
jamal cain,SF/F/UTIL,NOP,8.2%,0.0%,0.04%,0.05%,0.03%,$-3.42
moussa diabate,C/UTIL,CHA,9.0%,0.0%,0.04%,0.03%,0.03%,$-3.43
antonio reeves,SF/SG/G/F/UTIL,NOP,8.38%,0.0%,0.04%,0.03%,0.03%,$-3.46
nikola topic,PG/G/UTIL,OKC,5.86%,0.0%,0.05%,0.02%,0.03%,$-3.47
jaden springer,SF/SG/G/F/UTIL,BOS,8.09%,0.0%,0.03%,0.03%,0.03%,$-3.49
ty jerome,PG/G/UTIL,CLE,7.67%,0.0%,0.05%,0.03%,0.03%,$-3.49
daquan jeffries,PF/F/UTIL,CHA,7.56%,0.0%,0.03%,0.03%,0.03%,$-3.53
moritz wagner,C/UTIL,ORL,7.1%,0.0%,0.01%,0.05%,0.03%,$-3.53
richaun holmes,C/UTIL,WAS,5.21%,0.0%,0.04%,0.02%,0.03%,$-3.53
bojan bogdanovic,SF/F/UTIL,BKN,4.96%,0.0%,0.03%,0.02%,0.03%,$-3.55
xavier tillman,C/PF/F/UTIL,BOS,6.11%,0.0%,0.02%,0.05%,0.03%,$-3.58
