Player,Position,Team,UpdatedProjection,UpdatedStdDev,Cash%,Top1%,Sim. Own%,Proj. Own%,Avg. Return,Game Minutes Remaining
Oscar Tshiebwe,C/UTIL,UTA,9.61,5.88,0.01%,0.0%,0.17%,0.1%,$-3.96,48
Caleb Houstan,PF/SF/F/UTIL,ORL,12.353515625,2.4651871215413785,0.0%,0.0%,0.22%,0.1%,$-3.98,15
Jose Alvarado,PG/G/UTIL,NOP,9.810625,3.60872710466073,0.39%,0.0%,1.41%,1.16%,$-4.00,12
Nick Richards,C/UTIL,CHA,15.54,8.66,2.19%,0.0%,0.2%,0.5%,$-4.01,48
Lauri Markkanen,PF/SF/F/UTIL,UTA,0,0.0,0.01%,0.0%,0.62%,0.07%,$-4.02,48
Kyshawn George,PF/SF/F/UTIL,WAS,12.898993055555554,2.7182964385959,0.12%,0.0%,0.5%,0.46%,$-4.04,14
Josh Okogie,SF/F/UTIL,PHX,0,0.0,0.0%,0.0%,0.05%,0.03%,$-4.04,48
Cameron Johnson,PF/SF/F/UTIL,BKN,0,0.0,0.0%,0.0%,0.35%,0.06%,$-4.04,48
Javonte Green,PF/SF/F/UTIL,NOP,17.305625,1.8367495648080896,0.0%,0.0%,0.25%,0.1%,$-4.04,12
Joel Embiid,C/UTIL,PHI,0,0.0,0.0%,0.0%,0.4%,0.08%,$-4.04,15
Bol Bol,C/PF/F/UTIL,PHX,0,0.0,0.0%,0.0%,0.1%,0.03%,$-4.04,48
Vasilije Micic,PG/G/UTIL,CHA,7.02,4.31,0.0%,0.0%,0.05%,0.1%,$-4.04,48
D'Angelo Russell,PG/SG/G/UTIL,BKN,0,0.0,0.0%,0.0%,0.1%,0.05%,$-4.04,48
Ben Sheppard,SF/SG/G/F/UTIL,IND,18.603125,1.8228698451747791,0.0%,0.0%,0.05%,0.1%,$-4.04,12
Cam Thomas,SG/G/UTIL,BKN,0,0.0,0.0%,0.0%,0.13%,0.06%,$-4.14,48
Jalen Bridges,SF/F/UTIL,PHX,0,0.0,0.08%,0.0%,0.13%,0.03%,$-4.14,48
Patty Mills,PG/G/UTIL,UTA,10.92,5.7,0.32%,0.0%,0.08%,0.1%,$-4.20,48
Jeremiah Robinson-Earl,C/PF/F/UTIL,NOP,0,0.0,0.0%,0.0%,0.08%,0.03%,$-4.21,12
Jordan Clarkson,SG/G/UTIL,UTA,0,0.0,0.0%,0.0%,0.08%,0.05%,$-4.21,48
Keyonte George,PG/G/UTIL,UTA,0,0.0,0.0%,0.0%,0.08%,0.05%,$-4.21,48
Johnny Juzang,SF/SG/G/F/UTIL,UTA,0,0.0,0.0%,0.0%,0.08%,0.03%,$-4.21,48
Trevelin Queen,PG/SG/G/UTIL,ORL,13.890625,2.8708508250861615,0.0%,0.0%,0.08%,0.1%,$-4.21,15
Taylor Hendricks,SF/F/UTIL,UTA,0,0.0,0.0%,0.0%,0.08%,0.03%,$-4.21,48
Jarace Walker,PF/SF/F/UTIL,IND,24.64875,2.5584949857402357,0.0%,0.0%,0.03%,0.1%,$-4.49,12
Damion Lee,SG/G/UTIL,PHX,0,0.0,0.0%,0.0%,0.03%,0.03%,$-4.49,48
Jared McCain,PG/G/UTIL,PHI,0,0.0,0.0%,0.0%,0.03%,0.03%,$-4.49,15
Grant Williams,C/UTIL,CHA,0,0.0,0.0%,0.0%,0.03%,0.03%,$-4.49,48
TyTy Washington Jr.,PG/G/UTIL,PHX,0,0.0,0.0%,0.0%,0.03%,0.03%,$-4.49,48
Sam Merrill,SG/G/UTIL,CLE,11.770624999999999,0.9854600939650454,0.0%,0.0%,0.03%,0.1%,$-4.49,12
Moussa Diabate,C/UTIL,CHA,0,0.0,0.0%,0.0%,0.03%,0.03%,$-4.49,48
Adem Bona,C/UTIL,PHI,3.3935546875,3.6405716984788286,0.0%,0.0%,0.03%,0.1%,$-4.49,15
