PG,SG,SF,PF,C,G,F,UTIL,Proj,Ceiling,Salary,Cash %,Top 1%,ROI%,Wins,Own Sum,Avg Return,Stack1,Stack2,Lineup,Dupes,User,Index,Entry ID
Shai Gilgeous-Alexander (37302935),Andrew Nembhard (37303179),Ricky Council IV (37303632),Noah Clowney (37303133),Jarrett Allen (37303060),Bradley Beal (37303062),Kevin Durant (37302953),Svi Mykhailiuk (37303337),242.22235677083336,268.0802173697518,49700,0.00%,0,-100.0%,0,136.85,$-4.0,PHX 2,OKC 1,user22,1,marvalshot,5806,4606391396_22
Darius Garland (37303029),Max Strus (37303260),Ricky Council IV (37303632),Pascal Siakam (37303036),Nic Claxton (37303078),LaMelo Ball (37302944),Jalen Williams (37302986),Kyle Filipowski (37303285),226.11506510416666,249.29455317288048,49700,0.00%,0,-100.0%,0,147.82,$-4.0,CLE 2,PHI 1,user26,1,marvalshot,5729,4606391393_26
Devin Booker (37302957),Cole Anthony (37303107),Tyrese Martin (37303145),Ricky Council IV (37303632),Isaiah Hartenstein (37303039),Keon Johnson (37303113),Pascal Siakam (37303036),Jarrett Allen (37303060),270.0677430555555,292.9983330325841,49600,0.00%,0,-100.0%,0,138.4,$-4.0,BKN 2,PHX 1,user19,1,marvalshot,5852,4606391397_19
Shai Gilgeous-Alexander (37302935),Cason Wallace (37303281),Paul George (37303009),Jalen Williams (37302986),Jarrett Allen (37303060),Kelly Oubre Jr. (37303089),Svi Mykhailiuk (37303337),Oso Ighodaro (37303393),263.93474392361117,284.2945521205281,49800,0.00%,0,-100.0%,0,152.17,$-4.0,OKC 3,PHI 2,user3,1,marvalshot,5884,4606391399_3
LaMelo Ball (37302944),Cole Anthony (37303107),Ziaire Williams (37303157),Ricky Council IV (37303632),Isaiah Hartenstein (37303039),Tyus Jones (37303150),Pascal Siakam (37303036),Jarrett Allen (37303060),256.4777430555555,279.0712345231132,49400,0.00%,0,-100.0%,0,126.85999999999999,$-4.0,CHA 1,ORL 1,user49,1,marvalshot,5882,4606391397_49
Shai Gilgeous-Alexander (37302935),Cason Wallace (37303281),Paul George (37303009),Jalen Williams (37302986),Jarrett Allen (37303060),Kelly Oubre Jr. (37303089),Nick Smith Jr. (37303407),Cody Williams (37303327),256.12474392361116,274.6087448383278,49800,0.00%,0,-100.0%,0,132.56,$-4.0,OKC 3,PHI 2,user30,1,marvalshot,5910,4606391399_30
Darius Garland (37303029),Cason Wallace (37303281),Ricky Council IV (37303632),Evan Mobley (37302989),Isaiah Hartenstein (37303039),Devin Booker (37302957),Tosan Evbuomwan (37303360),Miles Bridges (37303026),245.25194010416666,267.6771986293913,49900,0.00%,0,-100.0%,0,134.86,$-4.0,CLE 2,OKC 2,user10,1,marvalshot,5663,4606391392_10
Darius Garland (37303029),Max Strus (37303260),Ricky Council IV (37303632),Pascal Siakam (37303036),Nic Claxton (37303078),Devin Booker (37302957),Jalen Williams (37302986),Day'Ron Sharpe (37303214),224.8350651041667,249.28457976453666,49800,0.00%,0,-100.0%,0,79.78,$-4.0,CLE 2,BKN 2,user25,1,marvalshot,5728,4606391393_25
Cason Wallace (37303281),Cole Anthony (37303107),Ricky Council IV (37303632),Jalen Williams (37302986),Kristaps Porzingis (37303041),Shai Gilgeous-Alexander (37302935),Oso Ighodaro (37303393),Darius Garland (37303029),273.8897048611111,292.93063735613885,49300,0.00%,0,-100.0%,0,178.92000000000002,$-4.0,OKC 3,ORL 1,user8,1,marvalshot,5776,4606391395_8
Darius Garland (37303029),Cason Wallace (37303281),Ricky Council IV (37303632),Evan Mobley (37302989),Isaiah Hartenstein (37303039),Collin Sexton (37303043),Micah Potter (37303452),Devin Booker (37302957),258.8219401041667,284.01342120241014,49000,0.00%,0,-100.0%,0,162.62,$-4.0,CLE 2,OKC 2,user1,1,marvalshot,5650,4606391392_1
LaMelo Ball (37302944),Cole Anthony (37303107),Royce O'Neale (37303153),Ricky Council IV (37303632),Isaiah Hartenstein (37303039),Tyrese Martin (37303145),Pascal Siakam (37303036),Jarrett Allen (37303060),256.90774305555556,279.0412483517034,49400,0.00%,0,-100.0%,0,128.95,$-4.0,CHA 1,ORL 1,user46,1,marvalshot,5879,4606391397_46
Darius Garland (37303029),Cason Wallace (37303281),Ricky Council IV (37303632),Evan Mobley (37302989),Isaiah Hartenstein (37303039),Brandon Miller (37302997),Brice Sensabaugh (37303235),Collin Sexton (37303043),250.07194010416663,274.4381938154608,49100,0.00%,0,-100.0%,0,182.61,$-4.0,CLE 2,OKC 2,user43,1,marvalshot,5696,4606391392_43
Shai Gilgeous-Alexander (37302935),Andrew Nembhard (37303179),Ricky Council IV (37303632),Jalen Wilson (37303210),Jarrett Allen (37303060),Bradley Beal (37303062),Kevin Durant (37302953),Brice Sensabaugh (37303235),241.64235677083335,267.56134121762636,49600,0.00%,0,-100.0%,0,162.74,$-4.0,PHX 2,OKC 1,user48,1,marvalshot,5832,4606391396_48
Darius Garland (37303029),Max Strus (37303260),Ricky Council IV (37303632),Pascal Siakam (37303036),Noah Clowney (37303133),Tyrese Martin (37303145),Jalen Williams (37302986),Kevin Durant (37302953),226.83506510416666,249.1111703994746,49600,0.00%,0,-100.0%,0,84.47,$-4.0,CLE 2,BKN 2,user32,1,marvalshot,5735,4606391393_32
Collin Sexton (37303043),Cole Anthony (37303107),Brice Sensabaugh (37303235),Ricky Council IV (37303632),Isaiah Hartenstein (37303039),Brandon Miller (37302997),Pascal Siakam (37303036),Jarrett Allen (37303060),268.0877430555555,292.88807282543166,49100,0.00%,0,-100.0%,0,177.04,$-4.0,UTA 2,ORL 1,user33,1,marvalshot,5866,4606391397_33
Devin Booker (37302957),Cole Anthony (37303107),Jalen Wilson (37303210),Ricky Council IV (37303632),Isaiah Hartenstein (37303039),Keon Johnson (37303113),Pascal Siakam (37303036),Jarrett Allen (37303060),261.4577430555555,283.7238778053185,49000,0.00%,0,-100.0%,0,132.81,$-4.0,BKN 2,PHX 1,user39,1,marvalshot,5872,4606391397_39
Shai Gilgeous-Alexander (37302935),Andrew Nembhard (37303179),Ricky Council IV (37303632),Kevin Durant (37302953),Jarrett Allen (37303060),Collin Sexton (37303043),Ziaire Williams (37303157),Svi Mykhailiuk (37303337),250.28235677083333,278.92322363538716,49900,0.00%,0,-100.0%,0,141.35,$-4.0,UTA 2,OKC 1,user9,1,marvalshot,5793,4606391396_9
Shai Gilgeous-Alexander (37302935),Cason Wallace (37303281),Paul George (37303009),Jalen Williams (37302986),Jarrett Allen (37303060),Kelly Oubre Jr. (37303089),Micah Potter (37303452),Oscar Tshiebwe (37303456),255.74474392361117,274.4327986595982,49100,0.00%,0,-100.0%,0,153.75,$-4.0,OKC 3,PHI 2,user46,1,marvalshot,5926,4606391399_46
Darius Garland (37303029),Cason Wallace (37303281),Ricky Council IV (37303632),Evan Mobley (37302989),Isaiah Hartenstein (37303039),Tyus Jones (37303150),Ziaire Williams (37303157),Kevin Durant (37302953),244.38194010416663,267.39042375527146,49100,0.00%,0,-100.0%,0,135.37,$-4.0,CLE 2,OKC 2,user31,1,marvalshot,5684,4606391392_31
Darius Garland (37303029),Max Strus (37303260),Ricky Council IV (37303632),Pascal Siakam (37303036),Kevin Durant (37302953),Svi Mykhailiuk (37303337),Jalen Williams (37302986),Nic Claxton (37303078),224.76506510416664,248.7483586045941,49200,0.00%,0,-100.0%,0,94.19,$-4.0,CLE 2,PHI 1,user10,1,marvalshot,5712,4606391393_10
Cason Wallace (37303281),Cole Anthony (37303107),Ricky Council IV (37303632),Jalen Williams (37302986),Kristaps Porzingis (37303041),Shai Gilgeous-Alexander (37302935),Cody Williams (37303327),Darius Garland (37303029),274.1597048611111,292.7611459418501,49700,0.01%,0,-100.0%,0,178.07999999999998,$-4.0,OKC 3,ORL 1,user5,1,marvalshot,5773,4606391395_5
Shai Gilgeous-Alexander (37302935),Cason Wallace (37303281),Paul George (37303009),Jalen Williams (37302986),Jarrett Allen (37303060),Kelly Oubre Jr. (37303089),Kyle Filipowski (37303285),Oscar Tshiebwe (37303456),263.33474392361114,283.2740866864819,49800,0.00%,0,-100.0%,0,207.89999999999998,$-4.0,OKC 3,PHI 2,user27,1,marvalshot,5907,4606391399_27
