PG,SG,SF,PF,C,G,F,UTIL,Fpts Proj,Field Fpts Proj,Ceiling,Salary,Win %,Top 10%,ROI%,Cash %,Own. Sum,Avg. Return,Stack1 Type,Stack2 Type,Lineup Type,Sim Dupes
Shai Gilgeous-Alexander (37302935),Kelly Oubre Jr. (37303089),Ricky Council IV (37303632),Kyle Filipowski (37303285),Myles Turner (37303072),Luguentz Dort (37303218),Kevin Durant (37302953),Jarrett Allen (37303060),284.15,270.04,375.56,49900,0.1%,4.28%,1.8%,51.98%,215.91000000000003,$7.22,OKC 2,PHI 2,generated,1
Darius Garland (37303029),Cason Wallace (37303281),Aaron Wiggins (37303377),Kyle Filipowski (37303285),Isaiah Hartenstein (37303039),Collin Sexton (37303043),Jaylen Brown (37302978),Devin Booker (37302957),277.69,268.15,368.71999999999997,50000,0.12%,4.15%,1.75%,43.8%,213.1,$7.0,OKC 3,UTA 2,generated,1
Cole Anthony (37303107),Max Strus (37303260),Lauri Markkanen (37303014),Jalen Williams (37302986),Jonas Valanciunas (37303111),Paul George (37303009),Kyle Filipowski (37303285),Jarrett Allen (37303060),271.83,262.82,368.05,49700,0.15%,3.66%,1.72%,37.1%,170.76,$6.86,CLE 2,UTA 2,generated,1
Shai Gilgeous-Alexander (37302935),Max Strus (37303260),Ricky Council IV (37303632),Kyle Filipowski (37303285),Isaiah Hartenstein (37303039),Cole Anthony (37303107),Lauri Markkanen (37303014),Darius Garland (37303029),284.56,272.64,384.19,49600,0.07%,4.41%,1.68%,52.94%,268.23,$6.73,OKC 2,CLE 2,generated,1
Shai Gilgeous-Alexander (37302935),Cole Anthony (37303107),Ricky Council IV (37303632),Evan Mobley (37302989),Isaiah Hartenstein (37303039),Grayson Allen (37303185),Kyle Filipowski (37303285),Jarrett Allen (37303060),283.03000000000003,274.56,384.4,49900,0.1%,3.95%,1.67%,50.54%,266.54999999999995,$6.67,OKC 2,CLE 2,generated,1
Shai Gilgeous-Alexander (37302935),Kelly Oubre Jr. (37303089),Ricky Council IV (37303632),Lauri Markkanen (37303014),Jarrett Allen (37303060),Cason Wallace (37303281),Kyle Filipowski (37303285),Donovan Mitchell (37302974),282.51,267.02,375.62000000000006,50000,0.09%,4.04%,1.63%,49.53%,233.36,$6.53,OKC 2,PHI 2,generated,1
Shai Gilgeous-Alexander (37302935),Devin Booker (37302957),Aaron Wiggins (37303377),Lauri Markkanen (37303014),Jarrett Allen (37303060),T.J. McConnell (37303334),Bennedict Mathurin (37303098),Drew Eubanks (37303397),273.53,264.53000000000003,373.95,50000,0.14%,3.52%,1.62%,38.46%,154.54999999999998,$6.49,OKC 2,UTA 2,generated,1
Cason Wallace (37303281),Cole Anthony (37303107),Lauri Markkanen (37303014),Jalen Williams (37302986),Jarrett Allen (37303060),Collin Sexton (37303043),Kyle Filipowski (37303285),Mark Williams (37303083),273.3,264.14,368.85,49000,0.14%,3.68%,1.62%,38.41%,207.78,$6.48,UTA 3,OKC 2,generated,1
Cason Wallace (37303281),Cole Anthony (37303107),Lauri Markkanen (37303014),Ricky Council IV (37303632),Isaiah Hartenstein (37303039),Darius Garland (37303029),Kyle Filipowski (37303285),Shai Gilgeous-Alexander (37302935),285.19,272.99,383.95000000000005,49400,0.08%,4.22%,1.61%,53.88%,295.01,$6.43,OKC 3,UTA 2,generated,1
Cason Wallace (37303281),Isaiah Collier (37303246),Ricky Council IV (37303632),Evan Mobley (37302989),Isaiah Hartenstein (37303039),Collin Sexton (37303043),Jalen Williams (37302986),Lauri Markkanen (37303014),274.92,258.34000000000003,367.26,49600,0.13%,3.7%,1.59%,40.54%,166.74,$6.35,OKC 3,UTA 3,generated,1
Tyrese Haliburton (37302971),Cole Anthony (37303107),Ricky Council IV (37303632),Aaron Wiggins (37303377),Isaiah Hartenstein (37303039),Darius Garland (37303029),Jalen Williams (37302986),Mark Williams (37303083),273.38,269.5,369.65,49700,0.14%,3.43%,1.59%,38.61%,198.4,$6.37,OKC 3,IND 1,generated,1
Darius Garland (37303029),Keon Johnson (37303113),Paul George (37303009),Evan Mobley (37302989),Isaiah Hartenstein (37303039),Collin Sexton (37303043),Aaron Wiggins (37303377),Drew Eubanks (37303397),270.54,264.5,365.41999999999996,50000,0.14%,3.43%,1.58%,35.74%,136.14999999999998,$6.33,CLE 2,OKC 2,generated,1
Shai Gilgeous-Alexander (37302935),Kelly Oubre Jr. (37303089),Ricky Council IV (37303632),Jalen Williams (37302986),Myles Turner (37303072),Jared Butler (37303250),Brice Sensabaugh (37303235),Isaiah Hartenstein (37303039),277.22999999999996,263.31,373.31,49600,0.13%,3.34%,1.55%,42.32%,177.17000000000002,$6.2,OKC 3,PHI 2,generated,1
Cole Anthony (37303107),Devin Booker (37302957),Isaiah Joe (37303303),Evan Mobley (37302989),Jarrett Allen (37303060),Keon Johnson (37303113),Kyle Filipowski (37303285),Isaiah Hartenstein (37303039),277.6,271.34999999999997,372.75000000000006,50000,0.11%,3.65%,1.52%,43.34%,206.89999999999998,$6.09,OKC 2,CLE 2,generated,1
Andrew Nembhard (37303179),Kelly Oubre Jr. (37303089),Paul George (37303009),Jalen Williams (37302986),Isaiah Hartenstein (37303039),Devin Booker (37302957),Kyle Filipowski (37303285),Ricky Council IV (37303632),282.16,268.78,368.64,50000,0.08%,3.96%,1.52%,49.34%,208.51,$6.09,PHI 3,OKC 2,generated,1
Shai Gilgeous-Alexander (37302935),Max Strus (37303260),Ricky Council IV (37303632),Evan Mobley (37302989),Isaiah Hartenstein (37303039),Cole Anthony (37303107),Kyle Filipowski (37303285),Pascal Siakam (37303036),283.78000000000003,274.5,382.63000000000005,49900,0.07%,3.79%,1.52%,51.83%,268.41999999999996,$6.07,OKC 2,CLE 2,generated,1
