Name,Position,Team,Site,Projection,Price,Value,Ownership,+/-,Opponent,Team Total,Game Total,min,max,lock,exclude,Projections 👉,Points,3 pointers,Rebounds,Assists,Blocks,Steals,Turnovers,Minutes,Site ID,Slate ID
Mouhamed Gueye,PF,ATL,dk,4.2,3500,1.2,0,-13,DET,116.5,237.5,,,,,Proj 👉,0.4,0.1,0.4,0.1,0.1,0.1,0.0,4.0,1325101,37514886
Charles Bassey,C,SAS,dk,3.9,4000,1,0,-16,MEM,118.75,241,,,,,Proj 👉,0.4,0.0,0.4,0.0,0.1,0.0,0.1,3.0,1138669,37514807
John Konchar,SG/SF,MEM,dk,3.4,3200,1.1,0,-12,SAS,122.25,241,,,,,Proj 👉,0.3,0.1,0.5,0.1,0.1,0.1,0.1,4.0,852907,37514978
Aj Johnson,SG,MIL,dk,3.1,3000,1,0,-11,OKC,103.5,224.5,,,,,Proj 👉,0.1,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1502175,37515263
Justin Champagnie,SF/PF,WAS,dk,2.9,3000,1,0,-12,CHA,105.75,216,,,,,Proj 👉,0.8,0.1,0.4,0.1,0.1,0.1,0.1,3.0,1175260,37515323
Alex Ducas,SG,OKC,dk,2.5,3000,0.8,0,-12,MIL,121,224.5,,,,,Proj 👉,0.1,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1184616,37515115
Adam Flagler,PG,OKC,dk,2.5,3000,0.8,0,-12,MIL,121,224.5,,,,,Proj 👉,0.1,0.0,0.1,0.0,0.0,0.0,0.0,4.0,1136581,37515118
Jarace Walker,SF/PF,IND,dk,1.8,3000,0.6,0,-13,UTA,124.5,242,,,,,Proj 👉,0.4,0.1,0.2,0.1,0.0,0.1,0.1,2.0,1402709,37515039
Malaki Branham,PG/SG,SAS,dk,1.7,3000,0.6,0,-13,MEM,118.75,241,,,,,Proj 👉,0.3,0.0,0.1,0.1,0.0,0.0,0.1,2.0,1325163,37515280
Johnny Juzang,SG/SF,UTA,dk,1.6,3900,0.4,0,-17,IND,117.5,242,,,,,Proj 👉,0.4,0.1,0.2,0.1,0.0,0.0,0.0,2.0,1186159,37514842
Mason Jones,SG,SAC,dk,1.6,3000,0.5,0,-13,MIN,108.5,222,,,,,Proj 👉,0.0,0.0,0.1,0.2,0.0,0.0,0.0,3.0,1134017,37515213
Pj Hall,C,DEN,dk,1.4,3000,0.5,0,-13,NOP,126,242,,,,,Proj 👉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1232490,37515150
Josh Minott,SF,MIN,dk,0.9,3000,0.3,0,-14,SAC,113.5,222,,,,,Proj 👉,0.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1324299,37515074
Mitchell Robinson,C,NYK,dk,0.00,3800,0,0,-19,HOU,115.5,224,,,,,Proj 👉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1076265,37514847
Marcus Smart,SG,MEM,dk,0.00,3800,0,0,-19,SAS,122.25,241,,,,,Proj 👉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,697132,37514852
Jay Huff,C,MEM,dk,0.00,3000,0,0,-15,SAS,122.25,241,,,,,Proj 👉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,942843,37515066
Dario Saric,PF/C,DEN,dk,0.00,3000,0,0,-15,NOP,126,242,,,,,Proj 👉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,830641,37515156
Leonard Miller,PF/C,MIN,dk,0.00,3000,0,0,-15,SAC,113.5,222,,,,,Proj 👉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1376841,37515077
Spencer Jones,SG/SF,DEN,dk,0.00,3000,0,0,-15,NOP,126,242,,,,,Proj 👉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1176586,37515160
Svi Mykhailiuk,SG/SF,UTA,dk,0.00,4000,0,0,-20,IND,117.5,242,,,,,Proj 👉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,843265,37514814
Liam Robbins,C,MIL,dk,0.00,3000,0,0,-15,OKC,103.5,224.5,,,,,Proj 👉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1135193,37515271
Dejounte Murray,PG,NOP,dk,0.00,3000,0,0,-15,DEN,116,242,,,,,Proj 👉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,884168,37515036
Herbert Jones,C,NOP,dk,0.00,3000,0,0,-15,DEN,116,242,,,,,Proj 👉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1061638,37515306
Stanley Umude,SG,MIL,dk,0.00,3000,0,0,-15,OKC,103.5,224.5,,,,,Proj 👉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1066839,37515254
Alperen Sengun,C,HOU,dk,0.00,8900,0,0,-44,NYK,108.5,224,,,,,Proj 👉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1323508,37514427
Tyler Kolek,PG,NYK,dk,0.00,3000,0,0,-15,HOU,115.5,224,,,,,Proj 👉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1232325,37515097
Jack Mcveigh,SG,HOU,dk,0.00,3000,0,0,-15,NYK,108.5,224,,,,,Proj 👉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,882431,37515029
Alex Caruso,PG/SF,OKC,dk,0.00,3600,0,0,-18,MIL,121,224.5,,,,,Proj 👉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,697644,37514879
Giannis Antetokounmpo,PF/C,MIL,dk,0.00,11800,0,0,-59,OKC,103.5,224.5,,,,,Proj 👉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,739957,37514398
Wendell Moore Jr,SG/SF,DET,dk,0.00,3000,0,0,-15,ATL,121,237.5,,,,,Proj 👉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1174855,37515175
Kevin Huerter,SG/SF,SAC,dk,0.00,3000,0,0,-15,MIN,108.5,222,,,,,Proj 👉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,944785,37515204
Jae Crowder,PF/C,SAC,dk,0.00,3000,0,0,-15,MIN,108.5,222,,,,,Proj 👉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,552381,37515209
Josh Okogie,SF/PF,CHA,dk,0.00,5000,0,0,-25,WAS,110.25,216,,,,,Proj 👉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,941460,37514650
Anthony Gill,PF/C,WAS,dk,0.00,3000,0,0,-15,CHA,105.75,216,,,,,Proj 👉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,604290,37515330
Joe Ingles,PF,MIN,dk,0.00,3100,0,0,-15,SAC,113.5,222,,,,,Proj 👉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,553306,37515021
Taj Gibson,C,CHA,dk,0.00,3100,0,0,-15,WAS,110.25,216,,,,,Proj 👉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,330057,37515008
Tristan Vukcevic,C,WAS,dk,0.00,3000,0,0,-15,CHA,105.75,216,,,,,Proj 👉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1350809,37515339
Cam Spencer,PG,MEM,dk,0.00,3000,0,0,-15,SAS,122.25,241,,,,,Proj 👉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1177001,37515134
Cody Zeller,C,ATL,dk,0.00,3000,0,0,-15,DET,116.5,237.5,,,,,Proj 👉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,602028,37515318
Brandon Clarke,C,MEM,dk,0.00,3900,0,0,-19,SAS,122.25,241,,,,,Proj 👉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,892914,37514840
Clint Capela,C,ATL,dk,0.00,5100,0,0,-25,DET,116.5,237.5,,,,,Proj 👉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,830647,37514644
Taylor Hendricks,SF,UTA,dk,0.00,3000,0,0,-15,IND,117.5,242,,,,,Proj 👉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1405861,37515091
Daeqwon Plowden,SG/SF,ATL,dk,0.00,3000,0,0,-15,DET,116.5,237.5,,,,,Proj 👉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1063236,37515308
Quenton Jackson,PG/SG,IND,dk,0.00,3000,0,0,-15,UTA,124.5,242,,,,,Proj 👉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1195699,37515234
James Wiseman,C,IND,dk,0.00,3000,0,0,-15,UTA,124.5,242,,,,,Proj 👉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1175120,37515245
Yuki Kawamura,PG,MEM,dk,0.00,3000,0,0,-15,SAS,122.25,241,,,,,Proj 👉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1453977,37515131
