Contest ID,DK Name,Salary,Points Proj,Value,Own Actual,Contest Size,Games Played,Plus,Position,Team,Ceiling,Minutes,Feasibility,Weighted Feasibility,Tournament Feasibility,Team_Contest_Rank,Player_Pool_Size,Proj_Salary_Ratio,Normalized_Value,Log_Proj,Prev_Salary_Mean,Salary_Proj_Interaction,Value_Feasibility_Interaction,Proj_Feasibility_Interaction,Low_Minutes_Flag,Low_Minutes_Penalty,Team_Total_Points_Proj,Player_Points_Percentage,Value_Plus,Ceiling_Plus,Custom_Target,Rank,Preliminary_Predictions,Scaled_Predictions,Group_Rank,Dynamic_Shift,Predicted Ownership
13,Khris Middleton,5300,25.55,4.82,21.91,14863,3,-0.95,SG/SF,MIL,4.33,24.0,1.86312,1931.0,0.0001486617642129,3.0,104,0.0048207547169811325,1.035139943802063,3.279029747687948,7666.666666666667,135415.0,8.980238400000001,47.602716,0,0.0,1607.59,0.015893355892982665,4.350000000000001,3.3800000000000026,0.21924717514657097,12.0,0.14591102409373669,19.808767320517912,11.0,0.4515526042297367,19.068430446612666
13,Aaron Wiggins,3100,16.02,5.17,21.7,14863,3,0.52,SF/PF,OKC,1.72,19.0,1.457965,1238.0,0.0001177664413629,6.0,104,0.005167741935483871,1.1895814487182208,2.834389123145228,5266.666666666667,49662.0,7.5376790499999995,23.3565993,0,0.0,1935.54,0.008276759973960756,3.619999999999999,2.2399999999999984,0.21711658877694948,13.0,0.10820901095120772,14.690371294624194,18.0,0.4530185510278901,14.524926678348743
13,Joel Embiid,9500,42.15,4.44,21.55,14863,3,-5.35,C,PHI,14.58,31.0,2.29276,1750.0,8.399155142498364e-05,1.0,104,0.0044368421052631574,0.8674605956073772,3.764682417529437,5966.666666666667,400425.0,10.1798544,96.639834,0,0.0,1721.99,0.024477494062102565,4.149999999999999,9.229999999999997,0.21558315163591094,14.0,0.09510542239429065,12.911438288019976,22.0,0.45395777644206353,11.93333578346381
13,Darius Garland,7200,34.32,4.77,19.54,14863,3,-1.68,PG,CLE,5.47,32.0,2.45072,1932.0,9.472493710602914e-05,3.0,104,0.0047666666666666664,1.0130768716711829,3.564449375735759,6766.666666666667,247104.0,11.689934399999999,84.1087104,0,0.0,1920.61,0.017869322767245822,5.52,3.789999999999999,0.19549377768773513,15.0,0.09052814526955744,12.29003070015245,24.0,0.45445108426684727,12.220178718875525
13,Donovan Mitchell,8700,39.24,4.51,18.26,14863,3,-4.26,PG/SG,CLE,7.72,33.0,2.48589,4017.0,0.0002181958118273,1.0,104,0.004510344827586207,0.8983488965906085,3.6948615257914836,8733.333333333334,341388.0,11.211363899999998,97.54632360000001,0,0.0,1920.61,0.02043100889821463,4.440000000000005,3.460000000000001,0.1828160138537092,16.0,0.09643340089192876,13.091723617588118,21.0,0.4537168641484077,12.003964971446473
13,Luguentz Dort,4700,23.92,5.09,17.93,14863,3,0.42,SG/SF,OKC,1.42,32.0,2.4488,1713.0,0.0001103166700995,4.0,104,0.0050893617021276595,1.1542805333088133,3.2156706939192525,7166.666666666667,112424.00000000001,12.464391999999998,58.575296,0,0.0,1935.54,0.012358308275726673,5.120000000000001,1.8400000000000034,0.17940921350339867,17.0,0.13655307992629329,18.538340087465265,12.0,0.4517461249670834,17.128729610187623
13,Cody Martin,5200,26.0,5.0,17.08,14863,3,0.0,SF,CHA,2.0,31.0,2.399245,1369.0,0.0001094833347709,4.0,104,0.005,1.1145670034732298,3.295836866004329,6333.333333333333,135200.0,11.996225,62.38037,0,0.0,1615.24,0.01609667913127461,5.199999999999999,2.0,0.17090838850142334,18.0,0.12375716488688404,16.801176598667205,17.0,0.4527943878470857,15.309716935864904
13,Evan Mobley,7700,39.22,5.09,16.73,14863,3,0.72,PF/C,CLE,7.47,33.0,2.503215,2164.0,0.0001206597162253,2.0,104,0.005093506493506494,1.1542805333088133,3.6943643843445058,5966.666666666667,301994.0,12.74136435,98.1760923,0,0.0,1920.61,0.02042059553995866,8.419999999999998,8.189999999999998,0.1674194531190632,19.0,0.1359267279348786,18.453307027518363,13.0,0.45194537874101925,17.600009563389857
13,AJ Green,3600,17.97,4.99,16.3,14863,3,-0.03,PG/SG,MIL,0.82,28.0,2.16594,1673.0,0.0002410517559854,5.0,104,0.004991666666666666,1.110154389047054,2.9428587839469227,5533.333333333333,64691.99999999999,10.8080406,38.9219418,0,0.0,1607.59,0.011178223303205418,3.5699999999999985,0.7899999999999991,0.16323864123842569,20.0,0.12730765188989057,17.283187956985802,16.0,0.4525747947598443,14.884744924650112
13,Jalen Williams,8300,40.54,4.88,15.73,14863,3,-0.96,PF,OKC,7.88,34.0,2.54745,2263.0,0.0001147437557282,2.0,104,0.004884337349397591,1.0616156303591184,3.726656818447966,6566.666666666667,336482.0,12.431556,103.273623,0,0.0,1935.54,0.020945059259948128,7.339999999999996,6.920000000000002,0.15741359631817106,21.0,0.10077082972471696,13.68056958760071,20.0,0.4534799350168687,15.278800861561603
