Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
42,4640178064,jaynel07 (2/6),275.84,94.25,C LOCKED F Nick Smith Jr. G Max Strus PF Paolo Banchero PG Tyrese Haliburton SF Franz Wagner SG Derrick White UTIL Alexandre Sarr,,Obi Toppin,PF,2.14%,11
43,4639647602,FredMiller74 (1/2),283.12,93.75,C Jusuf Nurkic F Nick Smith Jr. G LOCKED PF Kyshawn George PG Jordan Poole SF Jayson Tatum SG LOCKED UTIL Al Horford,,Aaron Nesmith,SG,2.12%,6.75
44,4640216795,BleedORANGE (2/6),272.11,93,C Victor Wembanyama F LOCKED G Elfrid Payton PF Sam Hauser PG Derrick White SF Jayson Tatum SG Payton Pritchard UTIL Chris Paul,,RJ Barrett,SF,1.89%,10
45,4639920329,greezykeezy (16/20),300.66,92.5,C Kristaps Porzingis F Bennedict Mathurin G Jalen Brunson PF Kyshawn George PG Derrick White SF Jayson Tatum SG LOCKED UTIL LOCKED,,Mikal Bridges,SG,1.85%,3.5
46,4640109005,hokesfight24 (2/5),281.88,92.25,C Kristaps Porzingis F Devin Vassell G LOCKED PF Paolo Banchero PG Elfrid Payton SF Jayson Tatum SG LOCKED UTIL Jusuf Nurkic,,Precious Achiuwa,PF,1.85%,6.5
47,4640131077,jlee7337 (13/20),294.52,92,C Victor Wembanyama F Paul George G Jared Butler PF Obi Toppin PG Elfrid Payton SF Jayson Tatum SG Derrick White UTIL LOCKED,,Bilal Coulibaly,SF,1.84%,0.75
48,4640269766,AESolutions (1/3),293.66,91.5,C Thomas Bryant F LOCKED G RJ Barrett PF Al Horford PG Elfrid Payton SF Jayson Tatum SG Donovan Mitchell UTIL Kristaps Porzingis,,Darius Garland,PG,1.67%,2.75
49,4639721964,DrNickIsIn (17/20),295.57,91.25,C Thomas Bryant F LOCKED G Jared Butler PF Paolo Banchero PG Elfrid Payton SF Jayson Tatum SG Derrick White UTIL LOCKED,,Stephon Castle,UTIL,1.58%,4.75
50,4639830710,Guacamole22,310.11,91,C Kristaps Porzingis F Sam Hauser G Mikal Bridges PF Jayson Tatum PG Derrick White SF Quentin Grimes SG LOCKED UTIL Precious Achiuwa,,Chris Paul,G,1.36%,9.75
50,4640095313,araunah (3/3),306.15,91,C Victor Wembanyama F LOCKED G LOCKED PF Jayson Tatum PG LOCKED SF Sam Hauser SG Derrick White UTIL Kristaps Porzingis,,Ricky Council IV,F,1.33%,0
50,4640100562,RonaldPersaud,296.99,91,C Kristaps Porzingis F LOCKED G Gradey Dick PF Cameron Johnson PG Stephon Castle SF Jayson Tatum SG Derrick White UTIL Thomas Bryant,,Keon Johnson,G,1.30%,1.25
53,4640059541,j1samps (1/2),280.12,90.75,C Thomas Bryant F Jayson Tatum G Elfrid Payton PF Al Horford PG Jalen Brunson SF Nick Smith Jr. SG LOCKED UTIL Victor Wembanyama,,Andrew Nembhard,PG,1.18%,8.5
54,4639948828,PosweetJesus (2/2),286.75,90.25,C Victor Wembanyama F Mouhamed Gueye G Chris Paul PF Al Horford PG Derrick White SF Devin Vassell SG LOCKED UTIL Kristaps Porzingis,,Dyson Daniels,UTIL,1.16%,4.25
55,4640122603,drenaudc,297.11,90,C Jeremy Sochan F Al Horford G LOCKED PF Evan Mobley PG Derrick White SF Jayson Tatum SG Andrew Nembhard UTIL Precious Achiuwa,,Alexandre Sarr,C,1.16%,7.25
55,4640078103,Pootiemouth (5/8),289.12,90,C Kristaps Porzingis F RJ Barrett G Elfrid Payton PF Paolo Banchero PG LOCKED SF Nick Smith Jr. SG Derrick White UTIL Jared Butler,,Malcolm Brogdon,PG,1.15%,10.5
55,4639891094,hodgeisdaman2017 (1/4),283.73,90,C LOCKED F Devin Vassell G Stephon Castle PF Cameron Johnson PG Chris Paul SF Jayson Tatum SG Derrick White UTIL Anthony Black,,Jeremy Sochan,C,1.10%,0.75
