Player,Position,Team,Cash%,Win%,Top1%,Sim. Own%,Proj. Own%,Avg. Return
collin gillespie,PG/G/UTIL,PHX,15.64%,0.0%,0.18%,0.08%,0.1%,$-2.79
marvin bagley iii,C/UTIL,WAS,14.88%,0.0%,0.17%,0.11%,0.1%,$-2.8
marjon beauchamp,PG/SF/G/F/UTIL,MIL,13.82%,0.0%,0.26%,0.15%,0.1%,$-2.81
cam whitmore,PF/SF/F/UTIL,HOU,14.31%,0.0%,0.14%,0.14%,0.1%,$-2.85
josh minott,SF/F/UTIL,MIN,14.96%,0.0%,0.23%,0.08%,0.1%,$-2.85
liam robbins,C/UTIL,MIL,13.55%,0.0%,0.22%,0.06%,0.1%,$-2.86
stanley umude,SG/G/UTIL,MIL,13.69%,0.0%,0.19%,0.1%,0.1%,$-2.87
jeff green,C/PF/F/UTIL,HOU,14.67%,0.0%,0.18%,0.16%,0.1%,$-2.87
aj johnson,SG/G/UTIL,MIL,14.42%,0.0%,0.2%,0.11%,0.1%,$-2.88
chris livingston,PF/F/UTIL,MIL,14.52%,0.0%,0.23%,0.11%,0.1%,$-2.88
svi mykhailiuk,SF/SG/G/F/UTIL,UTA,14.58%,0.0%,0.18%,0.2%,0.1%,$-2.88
damion lee,SG/G/UTIL,PHX,14.97%,0.0%,0.14%,0.08%,0.1%,$-2.88
tyty washington jr.,PG/G/UTIL,PHX,13.99%,0.0%,0.2%,0.09%,0.1%,$-2.9
ryan rollins,PG/G/UTIL,MIL,14.56%,0.0%,0.16%,0.12%,0.1%,$-2.91
pelle larsson,SF/SG/G/F/UTIL,MIA,13.85%,0.0%,0.17%,0.19%,0.1%,$-2.92
justin champagnie,SF/F/UTIL,WAS,13.3%,0.0%,0.19%,0.11%,0.1%,$-2.92
jalen hood-schifino,PG/G/UTIL,LAL,14.28%,0.0%,0.18%,0.11%,0.1%,$-2.93
nate williams,PG/SF/G/F/UTIL,HOU,13.52%,0.0%,0.19%,0.15%,0.1%,$-2.93
adama sanogo,C/UTIL,CHI,14.55%,0.0%,0.19%,0.08%,0.1%,$-2.94
anthony gill,C/PF/F/UTIL,WAS,13.52%,0.0%,0.17%,0.16%,0.1%,$-2.94
oscar tshiebwe,C/UTIL,UTA,13.98%,0.0%,0.18%,0.11%,0.1%,$-2.96
n'faly dante,C/UTIL,HOU,13.02%,0.0%,0.17%,0.06%,0.1%,$-2.96
talen horton-tucker,PG/SF/G/F/UTIL,CHI,13.51%,0.0%,0.15%,0.14%,0.1%,$-2.97
luka garza,C/UTIL,MIN,13.1%,0.0%,0.23%,0.08%,0.1%,$-2.99
