id,last_name,first_name,value,team,position,opponent,minutes,points,threes,rebounds,assists,steals,blocks,turnovers,twos,free throws,free_throws_missed,field goals,field_goals_missed,double doubles,triple doubles,injury
5489,Hartenstein,Isaiah,38.21,OKC,C,MIA,31.00,11.83,0.11,12.96,3.99,0.82,1.28,1.66,4.95,1.60,0.82,5.06,3.36,0.49,0.010,,
5673,Bridges,Miles,38.04,CHA,F,@ ORL,32.00,21.25,2.20,6.72,3.88,0.68,0.48,2.04,5.37,3.91,0.67,7.57,9.13,0.11,0.002,,
6111,Washington,PJ,38.00,DAL,F,GSW,36.00,17.34,1.76,8.83,2.83,1.23,1.25,2.04,4.45,3.16,1.11,6.21,7.92,0.36,0.004,Questionable,
5698,Jackson Jr.,Jaren,37.87,MEM,C,@ LAC,33.00,20.81,1.82,6.04,2.40,1.57,1.53,2.73,5.72,3.91,1.04,7.54,8.39,0.11,0.001,,
5468,Allen,Jarrett,37.51,CLE,C,@ TOR,31.00,14.74,0.00,11.25,2.64,1.02,1.26,1.29,6.00,2.74,0.96,6.00,2.40,0.55,0.005,,
6112,Garland,Darius,37.45,CLE,G,@ TOR,32.00,21.29,2.81,2.69,6.45,1.30,0.14,2.66,4.55,3.76,0.60,7.36,8.47,0.11,0.001,,
6507,Duren,Jalen,37.44,DET,C,@ CHI,29.00,14.95,0.00,12.08,2.52,0.63,1.17,1.93,6.47,2.01,0.67,6.47,2.53,0.64,0.006,,
5967,Reid,Naz,37.25,MIN,C,MIL,35.00,18.51,3.04,7.28,2.63,1.15,1.11,1.63,3.88,1.63,0.52,6.92,7.88,0.31,0.003,,
3723,McCollum,C.J.,37.25,NOR,G,SAC,34.00,20.85,2.88,3.93,5.71,0.70,0.56,2.30,4.75,2.71,0.93,7.63,9.20,0.07,0.001,Playing,
3404,Vucevic,Nikola,36.34,CHI,C,DET,29.00,15.82,1.51,9.22,3.49,0.82,0.73,1.53,4.92,1.45,0.37,6.43,6.52,0.43,0.009,Playing,
6280,Green,Jalen,35.82,HOU,G,PHO,34.00,21.47,2.78,4.69,4.17,0.93,0.33,3.46,4.73,3.67,0.60,7.51,9.85,0.03,0.001,,
3729,Gobert,Rudy,35.53,MIN,C,MIL,36.00,12.83,0.00,11.71,1.96,0.83,1.69,1.31,5.03,2.77,1.46,5.03,2.97,0.49,0.000,,
6282,Giddey,Josh,35.45,CHI,G,DET,29.00,13.11,1.46,7.47,6.30,1.23,0.64,2.75,3.55,1.63,0.48,5.01,6.09,0.25,0.027,,
6523,Kessler,Walker,34.85,UTA,C,LAL,30.00,11.12,0.00,12.40,1.64,0.55,2.30,1.34,4.85,1.42,1.12,4.85,1.85,0.49,0.000,,
5465,Collins,John,34.80,UTA,F,LAL,31.00,17.27,1.39,8.20,2.59,0.64,0.99,2.23,5.05,3.00,0.57,6.44,5.75,0.36,0.004,,
6503,Daniels,Dyson,34.80,ATL,G,@ NYK,35.00,15.50,1.36,5.32,4.19,2.61,0.70,2.06,5.05,1.32,0.76,6.41,7.38,0.06,0.002,,
5044,Powell,Norman,34.67,LAC,G,MEM,34.00,22.46,2.86,3.85,2.52,1.38,0.24,2.17,5.00,3.88,0.82,7.86,8.42,0.02,0.000,,
5720,Simons,Anfernee,34.67,POR,G,@ DEN,34.00,20.12,3.39,2.72,5.93,0.73,0.07,2.30,4.08,1.79,0.19,7.47,9.48,0.07,0.001,,
6164,Bane,Desmond,34.64,MEM,G,@ LAC,33.00,17.24,1.86,5.16,5.29,1.33,0.38,2.90,4.77,2.12,0.32,6.63,6.52,0.07,0.005,,
5976,White,Coby,33.55,CHI,G,DET,32.00,20.31,3.22,3.30,4.36,0.95,0.15,2.56,3.50,3.65,0.47,6.72,8.86,0.03,0.001,,
5475,White,Derrick,33.18,BOS,G,SAS,34.00,16.52,3.58,4.59,4.03,0.87,1.01,1.44,2.12,1.54,0.29,5.70,7.12,0.03,0.001,,
3006,DeRozan,DeMar,33.15,SAC,G,@ NOR,34.00,20.65,0.92,3.74,3.42,1.01,0.39,1.20,7.10,3.69,0.59,8.02,7.83,0.02,0.000,,
5039,Oubre,Kelly,33.06,PHI,F,@ BKN,38.00,16.72,1.59,6.51,2.22,1.60,0.74,1.52,4.74,2.47,0.87,6.33,7.51,0.10,0.001,,
6514,Eason,Tari,33.05,HOU,F,PHO,29.00,13.76,1.22,8.13,1.62,2.07,1.03,1.14,4.11,1.88,0.70,5.33,5.71,0.30,0.000,Playing,
5717,Bridges,Mikal,32.95,NYK,F,ATL,37.00,20.47,2.67,3.23,3.19,1.12,0.46,1.73,5.65,1.16,0.35,8.32,7.55,0.02,0.000,,
6751,George,Keyonte,32.90,UTA,G,LAL,32.00,17.44,2.76,3.42,6.22,0.83,0.13,3.21,2.98,3.20,0.68,5.74,8.74,0.11,0.002,,
6940,Clingan,Donovan,32.77,POR,C,@ DEN,28.00,10.13,0.33,11.23,1.67,0.89,2.27,1.91,3.87,1.40,0.66,4.20,3.54,0.38,0.000,Starting,
6149,Okongwu,Onyeka,32.74,ATL,C,@ NYK,29.00,14.39,0.60,9.03,2.07,0.77,1.03,1.14,5.09,2.41,0.75,5.69,4.45,0.41,0.004,,
5473,Kuzma,Kyle,32.68,MIL,F,@ MIN,35.00,17.29,1.80,6.95,2.83,0.79,0.49,2.33,5.00,1.89,0.82,6.80,8.84,0.11,0.001,,
6163,Achiuwa,Precious,32.41,NYK,F,ATL,33.00,10.67,0.42,10.65,2.03,1.31,1.46,1.76,3.92,1.57,0.91,4.34,3.84,0.34,0.003,,
6526,Braun,Christian,32.24,DEN,G,POR,36.00,16.85,1.05,6.00,2.54,1.31,0.67,1.11,5.60,2.50,0.50,6.65,4.89,0.10,0.001,,
