Contest ID,DK Name,Salary,Points Proj,Value,Own Actual,Contest Size,Games Played,Plus,Position,Team,Ceiling,Minutes,Min Actual,Player
1,Maxi Kleber,3500,7.14739,2.042111429,0.06,17835,8,-10.35261,PF/C,DAL,0.274317655,18.9,17,Maxi Kleber
1,Ja'Kobe Walter,4100,11.80473333,2.879203252,0.06,17835,8,-8.695266667,SG,TOR,1.066918596,17,23,JaKobe Walter
1,Justin Champagnie,3000,8.000705,2.666901667,0.06,17835,8,-6.999295,SF/PF,WAS,0.901839438,14.2,29,Justin Champagnie
1,Jericho Sims,3300,2.313083333,0.700934343,0.06,17835,8,-14.18691667,PF/C,NYK,0.178025398,12.7,3,Jericho Sims
1,Malaki Branham,3000,0.98,0.326666667,0.05,17835,8,-14.02,SG/SF,SAS,0.097084122,19.8,2,Malaki Branham
1,Dalen Terry,3000,13.05403333,4.351344444,0.05,17835,8,-1.945966667,SF,CHI,1.100589672,12.3,28,Dalen Terry
1,Jakob Poeltl,7400,35.0613,4.738013514,0.04,17835,8,-1.9387,C,TOR,6.37635703,28.1,0,Jakob Poeltl
1,Seth Curry,3000,3.904056667,1.301352222,0.04,17835,8,-11.09594333,SG,CHA,0.276971117,13.6,18,Seth Curry
1,Mark Williams,4800,14.59283333,3.040173611,0.03,17835,8,-9.407166667,C,CHA,3.303193364,25.8,11,Mark Williams
1,Ajay Mitchell,3000,6.541416667,2.180472222,0.03,17835,8,-8.458583333,PG,OKC,0.540922418,16.8,19,Ajay Mitchell
1,Jamison Battle,3100,0.630223333,0.203297849,0.03,17835,8,-14.86977667,SF,TOR,0.047395171,13.2,13,Jamison Battle
1,Luke Kennard,3200,8.956666667,2.798958333,0.02,17835,8,-7.043333333,SG/SF,MEM,0.614148951,23.6,0,Luke Kennard
1,Precious Achiuwa,3900,12.27946667,3.148581197,0.02,17835,8,-7.220533333,C,NYK,1.354887384,22,12,Precious Achiuwa
1,Ryan Dunn,3400,13.92673333,4.096098039,0.02,17835,8,-3.073266667,PF,PHX,1.025697687,18.7,0,Ryan Dunn
1,Moussa Diabate,4500,5.328973333,1.184216296,0.02,17835,8,-17.17102667,C,CHA,0.575543731,15.7,16,Moussa Diabate
1,Cameron Payne,3600,16.56706667,4.601962963,0.01,17835,8,-1.432933333,PG/SG,NYK,1.779579774,16.9,0,Cameron Payne
1,Jamal Shead,3000,1.956083333,0.652027778,0.01,17835,8,-13.04391667,PG,TOR,0.175429153,14.4,12,Jamal Shead
1,Richaun Holmes,3000,6.57777,2.19259,0.01,17835,8,-8.42223,C,WAS,0.928340528,13.2,0,Richaun Holmes
1,Jevon Carter,3000,2.505875,0.835291667,0.01,17835,8,-12.494125,PG/SG,CHI,0.20956376,12.6,1,Jevon Carter
1,David Duke Jr.,3000,1.074085,0.358028333,0.01,17835,8,-13.925915,PG/SG,SAS,0.127956516,11.3,0,David Duke
1,Dillon Jones,3000,4.34,1.446666667,0.01,17835,8,-10.66,PF,OKC,0.412787631,10.8,0,Dillon Jones
1,Jaylon Tyson,4000,0.94486,0.236215,0.01,17835,8,-19.05514,SG/SF,CLE,0.084252022,10.4,0,Jaylon Tyson
1,Zeke Nnaji,3000,1.524276667,0.508092222,0.01,17835,8,-13.47572333,C,DEN,0.185765456,9.4,3,Zeke Nnaji
1,Hunter Tyson,3000,1.011056667,0.337018889,0.01,17835,8,-13.98894333,SF/PF,DEN,0.07382946,6.9,0,Hunter Tyson
2,Keldon Johnson,4500,26.5773,5.906066667,47.03,19406,7,4.0773,SF/PF,SAS,3.872913188,28.6,22,Keldon Johnson
2,Stephon Castle,4800,26.81246667,5.585930556,44.65,19406,7,2.812466667,SG,SAS,3.464923627,26,29,Stephon Castle
2,Tyrese Haliburton,8300,44.85196667,5.403851406,32.07,19406,7,3.351966667,PG,IND,6.631639843,32.9,38,Tyrese Haliburton
2,Jeremy Sochan,6100,32.88333333,5.390710383,31.59,19406,7,2.383333333,C,SAS,5.097939026,29.3,21,Jeremy Sochan
2,Obi Toppin,3600,18.86946667,5.241518519,28.22,19406,7,0.869466667,PF/C,IND,2.468603643,20.7,21,Obi Toppin
2,D'Angelo Russell,5400,31.4298,5.820333333,27.23,19406,7,4.4298,PG,LAL,3.796662718,31.6,21,DAngelo Russell
2,Anthony Davis,10200,53.32746667,5.228183007,25.8,19406,7,2.327466667,C,LAL,17.08001454,35.5,42,Anthony Davis
2,T.J. McConnell,4700,25.8207,5.493765957,25.1,19406,7,2.3207,PG,IND,5.490105808,18.7,23,TJ McConnell
2,Dalton Knecht,4700,23.38306667,4.975120567,23.79,19406,7,-0.116933333,SG/SF,LAL,1.963063598,24.6,28,Dalton Knecht
2,Walker Kessler,6300,31.56203333,5.009846561,20.09,19406,7,0.062033333,C,UTA,5.09287081,24.2,31,Walker Kessler
2,LeBron James,9600,49.0574,5.110145833,19.25,19406,7,1.0574,PF/C,LAL,12.9198853,35,43,LeBron James
2,Domantas Sabonis,9300,49.29413333,5.300444444,17.59,19406,7,2.794133333,C,SAC,12.61270909,35.5,33,Domantas Sabonis
2,Chris Paul,6200,34.3171,5.535016129,15.73,19406,7,3.3171,PG,SAS,4.742327528,26.8,29,Chris Paul
2,Jalen Johnson,8500,41.09986667,4.835278431,14.88,19406,7,-1.400133333,PF,ATL,6.907367766,34,35,Jalen Johnson
