PG,SG,SF,PF,C,G,F,UTIL,Fpts Proj,Field Fpts Proj,Ceiling,Salary,Win %,Top 10%,ROI%,Cash %,Own. Sum,Avg. Return,Stack1 Type,Stack2 Type,Lineup Type,Sim Dupes
Cade Cunningham (38058993),Kentavious Caldwell-Pope (38059274),Ziaire Williams (38059160),Jarred Vanderbilt (38059214),Nikola Vucevic (38059051),CJ McCollum (38059058),Karlo Matkovic (38059227),DeMar DeRozan (38059026),248.82,248.73999999999998,328.82,50000,0.0%,0.38%,-58.3%,13.86%,118.01000000000002,$-2.3,NOP 2,DET 1,generated,1
Damian Lillard (38059012),Kevin Huerter (38059222),Franz Wagner (38059023),Justin Champagnie (38059148),Isaiah Stewart (38059299),Coby White (38059053),Zach LaVine (38059018),Goga Bitadze (38059272),249.87,262.87,327.89,49700,0.0%,0.36%,-58.3%,13.07%,143.29000000000002,$-2.3,CHI 2,ORL 2,generated,1
Luka Doncic (38058986),Keon Ellis (38059171),Cam Thomas (38059068),Justin Champagnie (38059148),Domantas Sabonis (38059007),Tre Jones (38059135),Karlo Matkovic (38059227),Jake LaRavia (38059336),255.87,276.18999999999994,339.92,49700,0.0%,0.54%,-58.3%,19.56%,229.52,$-2.3,SAC 3,LAL 1,generated,1
Cole Anthony (38059140),Taurean Prince (38059231),Cam Thomas (38059068),Giannis Antetokounmpo (38058989),Isaiah Stewart (38059299),Keon Ellis (38059171),Keegan Murray (38059121),Paolo Banchero (38059009),254.15999999999997,258.04,342.42,49800,0.0%,0.43%,-58.4%,17.62%,121.96000000000001,$-2.3,ORL 2,MIL 2,generated,1
Tre Jones (38059135),Cole Anthony (38059140),Franz Wagner (38059023),Karlo Matkovic (38059227),Domantas Sabonis (38059007),Jose Alvarado (38059184),Matas Buzelis (38059157),Zach LaVine (38059018),256.77,264.8,337.93,49700,0.0%,0.48%,-58.4%,18.72%,187.64000000000001,$-2.3,CHI 2,ORL 2,generated,1
Cade Cunningham (38058993),Dalton Knecht (38059175),Ausar Thompson (38059110),Karlo Matkovic (38059227),Goga Bitadze (38059272),Cam Thomas (38059068),DeMar DeRozan (38059026),Draymond Green (38059073),246.85999999999996,250.89999999999998,333.08,49800,0.01%,0.28%,-58.4%,12.89%,116.48000000000002,$-2.3,DET 2,LAL 1,generated,1
Tre Jones (38059135),Jordan Hawkins (38059258),Kyle Kuzma (38059075),Giannis Antetokounmpo (38058989),Karlo Matkovic (38059227),Stephen Curry (38059000),Kevin Huerter (38059222),Keon Ellis (38059171),260.42,271.55,344.61,49700,0.0%,0.31%,-58.4%,21.59%,234.95999999999998,$-2.3,CHI 2,NOP 2,generated,1
Austin Reaves (38059044),Keon Ellis (38059171),Tim Hardaway Jr. (38059244),Dorian Finney-Smith (38059151),Jalen Duren (38059061),D'Angelo Russell (38059130),Karlo Matkovic (38059227),Luka Doncic (38058986),254.17,258.24,335.29,49500,0.0%,0.42%,-58.4%,17.91%,156.12,$-2.3,LAL 3,DET 2,generated,1
Luka Doncic (38058986),Malik Monk (38059040),Kevin Huerter (38059222),Jake LaRavia (38059336),Karlo Matkovic (38059227),Cole Anthony (38059140),Cam Thomas (38059068),CJ McCollum (38059058),258.41999999999996,270.58,339.78999999999996,49500,0.0%,0.44%,-58.4%,21.22%,208.22000000000003,$-2.3,SAC 2,NOP 2,generated,1
Austin Reaves (38059044),Kevin Huerter (38059222),Trey Murphy III (38059035),Kyle Kuzma (38059075),Goga Bitadze (38059272),Tre Jones (38059135),Jake LaRavia (38059336),Luka Doncic (38058986),257.21000000000004,279.08,333.31,49700,0.0%,0.24%,-58.4%,18.11%,226.22,$-2.3,LAL 2,CHI 2,generated,1
Cam Thomas (38059068),Kevin Huerter (38059222),Franz Wagner (38059023),Jake LaRavia (38059336),Nic Claxton (38059124),Tre Jones (38059135),DeMar DeRozan (38059026),Domantas Sabonis (38059007),256.83000000000004,275.06,339.02,50000,0.0%,0.47%,-58.4%,19.58%,217.94,$-2.3,SAC 3,BKN 2,generated,1
CJ McCollum (38059058),Jordan Hawkins (38059258),Cam Thomas (38059068),Paolo Banchero (38059009),Karlo Matkovic (38059227),Tre Jones (38059135),Jimmy Butler (38059029),Draymond Green (38059073),252.96999999999997,258.44,334.51,49600,0.0%,0.51%,-58.5%,16.49%,148.19,$-2.3,NOP 3,GSW 2,generated,1
Jordan Poole (38059048),Kevin Huerter (38059222),Marcus Smart (38059234),Paolo Banchero (38059009),Wendell Carter Jr. (38059155),Malik Monk (38059040),Trey Murphy III (38059035),Jose Alvarado (38059184),246.45,252.09000000000003,326.76,49800,0.0%,0.41%,-58.5%,12.0%,111.42000000000002,$-2.3,WAS 2,ORL 2,generated,1
Luka Doncic (38058986),Keon Ellis (38059171),Kevin Huerter (38059222),Kyle Kuzma (38059075),Quinten Post (38059217),Cam Thomas (38059068),Jimmy Butler (38059029),Jordan Hawkins (38059258),250.75000000000003,261.94,332.40000000000003,49700,0.0%,0.35%,-58.5%,15.45%,151.1,$-2.3,GSW 2,LAL 1,generated,1
Tre Jones (38059135),Ziaire Williams (38059160),Ausar Thompson (38059110),Giannis Antetokounmpo (38058989),Domantas Sabonis (38059007),Cam Thomas (38059068),Jake LaRavia (38059336),Bruce Brown (38059253),253.56000000000003,268.0,344.99,49900,0.0%,0.55%,-58.5%,18.08%,168.74,$-2.3,BKN 2,SAC 2,generated,1
Luka Doncic (38058986),Dalton Knecht (38059175),Khris Middleton (38059096),Jarred Vanderbilt (38059214),Day'Ron Sharpe (38059199),Ziaire Williams (38059160),Keegan Murray (38059121),DeMar DeRozan (38059026),247.14,244.32,328.39,49800,0.0%,0.44%,-58.5%,13.26%,83.35000000000001,$-2.3,LAL 3,BKN 2,generated,1
Tre Jones (38059135),Tim Hardaway Jr. (38059244),Ausar Thompson (38059110),Giannis Antetokounmpo (38058989),Wendell Carter Jr. (38059155),Keon Ellis (38059171),Cameron Johnson (38059079),Malik Monk (38059040),253.19,260.49,340.19,49700,0.0%,0.47%,-58.5%,17.01%,151.85000000000002,$-2.3,DET 2,SAC 2,generated,1
Cade Cunningham (38058993),Austin Reaves (38059044),Kevin Huerter (38059222),Moses Moody (38059144),Goga Bitadze (38059272),Kentavious Caldwell-Pope (38059274),Trey Murphy III (38059035),Nikola Vucevic (38059051),253.05,260.75000000000006,331.57,49700,0.0%,0.42%,-58.5%,16.52%,151.8,$-2.3,CHI 2,ORL 2,generated,1
Cade Cunningham (38058993),Jordan Goodwin (38059281),Franz Wagner (38059023),Karlo Matkovic (38059227),Goga Bitadze (38059272),Kevin Huerter (38059222),Jake LaRavia (38059336),Luka Doncic (38058986),254.73000000000002,280.16,342.17,49800,0.0%,0.36%,-58.5%,17.9%,231.23,$-2.3,LAL 2,ORL 2,generated,1
Cade Cunningham (38058993),Ziaire Williams (38059160),Franz Wagner (38059023),Jarred Vanderbilt (38059214),Brook Lopez (38059114),Malik Monk (38059040),Karlo Matkovic (38059227),Jose Alvarado (38059184),253.43999999999997,256.79,334.6,49700,0.0%,0.39%,-58.5%,16.57%,139.56,$-2.3,NOP 2,DET 1,generated,1
Damian Lillard (38059012),Tim Hardaway Jr. (38059244),Dalton Knecht (38059175),Giannis Antetokounmpo (38058989),Nic Claxton (38059124),CJ McCollum (38059058),Kevin Huerter (38059222),Kentavious Caldwell-Pope (38059274),257.58,257.09000000000003,339.65,49700,0.0%,0.48%,-58.5%,19.87%,142.38,$-2.3,MIL 2,DET 1,generated,1
Tre Jones (38059135),Coby White (38059053),Ausar Thompson (38059110),Paolo Banchero (38059009),Domantas Sabonis (38059007),Kevin Huerter (38059222),Kyle Kuzma (38059075),Jake LaRavia (38059336),254.09000000000003,274.6,334.45,49800,0.0%,0.47%,-58.5%,17.23%,197.09,$-2.3,CHI 3,SAC 2,generated,1
Luka Doncic (38058986),Keon Ellis (38059171),Dalton Knecht (38059175),Jake LaRavia (38059336),Alexandre Sarr (38059082),Tre Jones (38059135),Franz Wagner (38059023),Nic Claxton (38059124),253.69000000000003,273.43,336.23,49500,0.0%,0.43%,-58.5%,17.56%,202.25,$-2.3,LAL 2,SAC 2,generated,1
D'Angelo Russell (38059130),Kevin Huerter (38059222),Cam Thomas (38059068),Justin Champagnie (38059148),Giannis Antetokounmpo (38058989),Keon Ellis (38059171),Zion Williamson (38059003),Jake LaRavia (38059336),256.11999999999995,275.29,349.33000000000004,49800,0.0%,0.54%,-58.5%,19.81%,204.95,$-2.3,BKN 2,SAC 2,generated,1
Cade Cunningham (38058993),Kevin Huerter (38059222),Jake LaRavia (38059336),Giannis Antetokounmpo (38058989),Goga Bitadze (38059272),Malik Monk (38059040),Jarred Vanderbilt (38059214),Jose Alvarado (38059184),253.44,273.76,342.54999999999995,49900,0.0%,0.35%,-58.5%,16.85%,185.88,$-2.3,SAC 2,DET 1,generated,1
Cole Anthony (38059140),Kevin Huerter (38059222),Franz Wagner (38059023),Karlo Matkovic (38059227),Giannis Antetokounmpo (38058989),Zach LaVine (38059018),Bruce Brown (38059253),Goga Bitadze (38059272),259.21999999999997,270.85,345.59000000000003,49800,0.0%,0.2%,-58.5%,19.89%,201.15,$-2.3,ORL 3,NOP 2,generated,1
Austin Reaves (38059044),Jordan Hawkins (38059258),Kyle Kuzma (38059075),Justin Champagnie (38059148),Giannis Antetokounmpo (38058989),Kevin Huerter (38059222),Jake LaRavia (38059336),Franz Wagner (38059023),261.23,278.16,344.08000000000004,50000,0.0%,0.27%,-58.5%,22.34%,204.2,$-2.3,MIL 2,LAL 1,generated,1
Cade Cunningham (38058993),Jordan Hawkins (38059258),Franz Wagner (38059023),Zion Williamson (38059003),Goga Bitadze (38059272),D'Angelo Russell (38059130),Matas Buzelis (38059157),Karlo Matkovic (38059227),250.01,262.97,341.63000000000005,49800,0.0%,0.44%,-58.6%,15.41%,163.51999999999998,$-2.3,NOP 3,ORL 2,generated,1
Cade Cunningham (38058993),Austin Reaves (38059044),Zion Williamson (38059003),Tobias Harris (38059084),Wendell Carter Jr. (38059155),Kevin Huerter (38059222),Matas Buzelis (38059157),De'Anthony Melton (38059519),254.95000000000002,253.01000000000002,335.28,50000,0.0%,0.4%,-58.6%,19.0%,172.64,$-2.3,DET 2,CHI 2,generated,1
Cam Thomas (38059068),Jordan Hawkins (38059258),Franz Wagner (38059023),Paolo Banchero (38059009),Karlo Matkovic (38059227),D'Angelo Russell (38059130),Zach LaVine (38059018),Kevin Huerter (38059222),255.11,266.6,336.34,49700,0.0%,0.36%,-58.6%,17.3%,180.48,$-2.3,BKN 2,NOP 2,generated,1
Austin Reaves (38059044),Kevin Huerter (38059222),Jake LaRavia (38059336),Justin Champagnie (38059148),Nic Claxton (38059124),Luka Doncic (38058986),Zach LaVine (38059018),Gary Payton II (38059239),259.11,272.06,338.45,49700,0.0%,0.36%,-58.6%,21.08%,199.15,$-2.3,LAL 2,SAC 2,generated,1
Tre Jones (38059135),Austin Reaves (38059044),Jake LaRavia (38059336),Kyle Kuzma (38059075),Giannis Antetokounmpo (38058989),Cole Anthony (38059140),Jimmy Butler (38059029),Anthony Black (38059296),260.11,274.83,345.55,50000,0.0%,0.32%,-58.6%,21.72%,190.81,$-2.3,MIL 2,ORL 2,generated,1
Cade Cunningham (38058993),Malik Monk (38059040),Kevin Huerter (38059222),Jarred Vanderbilt (38059214),Karlo Matkovic (38059227),Luka Doncic (38058986),Jake LaRavia (38059336),Anthony Black (38059296),257.17,274.28,339.81,49500,0.0%,0.41%,-58.6%,20.0%,218.07999999999998,$-2.3,SAC 2,LAL 2,generated,1
Keon Ellis (38059171),Cole Anthony (38059140),Trey Murphy III (38059035),Tobias Harris (38059084),Nikola Vucevic (38059051),Kevin Huerter (38059222),Jake LaRavia (38059336),Giannis Antetokounmpo (38058989),253.68,273.78,338.89,50000,0.0%,0.29%,-58.6%,16.29%,187.67000000000002,$-2.3,SAC 2,CHI 2,generated,1
Cade Cunningham (38058993),Kentavious Caldwell-Pope (38059274),Kevin Huerter (38059222),Matas Buzelis (38059157),Nic Claxton (38059124),Anthony Black (38059296),DeMar DeRozan (38059026),Zion Williamson (38059003),252.45,257.53999999999996,336.72,49600,0.0%,0.5%,-58.6%,17.66%,157.08,$-2.3,ORL 2,CHI 2,generated,1
Cade Cunningham (38058993),Kevin Huerter (38059222),Zion Williamson (38059003),Tobias Harris (38059084),Goga Bitadze (38059272),Keon Ellis (38059171),Matas Buzelis (38059157),Draymond Green (38059073),250.41000000000003,265.85,336.71,49700,0.0%,0.44%,-58.6%,15.85%,168.47000000000003,$-2.3,DET 2,CHI 2,generated,1
Cade Cunningham (38058993),Kevin Huerter (38059222),Jordan Goodwin (38059281),Zion Williamson (38059003),Karlo Matkovic (38059227),Malik Monk (38059040),Coby White (38059053),Jake LaRavia (38059336),255.54,269.83,340.71,49900,0.0%,0.45%,-58.6%,18.68%,192.62,$-2.3,CHI 2,NOP 2,generated,1
D'Angelo Russell (38059130),Malik Monk (38059040),Kevin Huerter (38059222),Karlo Matkovic (38059227),Draymond Green (38059073),Zach LaVine (38059018),Ziaire Williams (38059160),Paolo Banchero (38059009),254.32,263.08,331.97,49900,0.0%,0.42%,-58.6%,16.57%,165.88,$-2.3,BKN 2,SAC 2,generated,1
Cam Thomas (38059068),Kevin Huerter (38059222),Khris Middleton (38059096),Tobias Harris (38059084),Day'Ron Sharpe (38059199),Zach LaVine (38059018),Ziaire Williams (38059160),Stephen Curry (38059000),245.99,251.35000000000002,328.25,49900,0.0%,0.37%,-58.6%,11.87%,112.47,$-2.3,BKN 3,CHI 1,generated,1
Cole Anthony (38059140),Jordan Goodwin (38059281),Ziaire Williams (38059160),Jimmy Butler (38059029),Giannis Antetokounmpo (38058989),Tre Jones (38059135),Franz Wagner (38059023),Jake LaRavia (38059336),258.3,273.28000000000003,347.96,49500,0.0%,0.45%,-58.6%,20.71%,193.81,$-2.3,ORL 2,LAL 1,generated,1
