PG,SG,SF,PF,C,G,F,UTIL,Proj,Ceiling,Salary,Cash %,Top 1%,ROI%,Wins,Own Sum,Avg Return,Stack1,Stack2,Lineup,Dupes,User,Index,Entry ID
Keaton Wallace (37338930),Quentin Grimes (37338318),Jayson Tatum (37338023),Peyton Watson (37338441),Nikola Jokic (37338012),Cole Anthony (37338216),Buddy Hield (37338351),Daniel Gafford (37338424),293.65999999999997,330.5237613382031,50000,0.30%,0,-99.56%,0,107.0,$-7.96,DAL 2,DEN 2,user66,1,marvalshot,4773,4611344382_66
Jalen Brunson (37338088),CJ McCollum (37338156),Buddy Hield (37338351),PJ Washington (37338176),Trayce Jackson-Davis (37338258),Keaton Wallace (37338930),Paolo Banchero (37338047),Wendell Carter Jr. (37338391),306.2183203125,339.64133863119343,50000,96.31%,0,49.99%,0,87.32,$4.0,GSW 2,ORL 2,user22,1,marvalshot,4828,4611344383_22
Jalen Brunson (37338088),Mikal Bridges (37338239),Zach LaVine (37338073),Tristan da Silva (37338374),Victor Wembanyama (37338018),Keaton Wallace (37338930),Jonathan Isaac (37338510),Daniel Gafford (37338424),324.7458767361111,359.8437033576237,49900,100.00%,39643,341.52%,0,132.06,$27.32,NYK 2,ORL 2,user24,1,marvalshot,4929,4611344384_24
Keaton Wallace (37338930),Quentin Grimes (37338318),Paul George (37338105),Jonathan Isaac (37338510),Onyeka Okongwu (37338359),Stephon Castle (37338477),Scottie Barnes (37338057),Nikola Jokic (37338012),313.0582986111111,349.38289717067045,50000,100.00%,0,97.05%,0,134.26999999999998,$7.76,ATL 2,DAL 1,user47,1,marvalshot,4457,4611344379_47
Stephon Castle (37338477),Amen Thompson (37338122),Josh Hart (37338127),Keldon Johnson (37338409),Daniel Gafford (37338424),Keaton Wallace (37338930),PJ Washington (37338176),Victor Wembanyama (37338018),310.37266059027775,343.6015549517459,49300,99.97%,0,78.25%,0,142.85,$6.26,SAS 3,DAL 2,user73,1,marvalshot,4582,4611344380_73
Keaton Wallace (37338930),Mikal Bridges (37338239),Brice Sensabaugh (37338383),Harrison Barnes (37338459),Wendell Carter Jr. (37338391),Buddy Hield (37338351),Giannis Antetokounmpo (37338014),Victor Wembanyama (37338018),310.51755642361115,346.54153149608265,49800,99.97%,0,79.23%,0,122.41,$6.34,SAS 2,ATL 1,user90,1,marvalshot,4698,4611344381_90
Keaton Wallace (37338930),Cole Anthony (37338216),Jayson Tatum (37338023),Naji Marshall (37338314),Daniel Gafford (37338424),Dejounte Murray (37338096),Amen Thompson (37338122),Onyeka Okongwu (37338359),293.35,328.2810062838161,49800,0.27%,0,-99.6%,0,110.81,$-7.97,ATL 2,DAL 2,user11,1,marvalshot,4718,4611344382_11
Jalen Brunson (37338088),CJ McCollum (37338156),Trey Murphy III (37338144),Julius Randle (37338149),Mark Williams (37338232),Bogdan Bogdanovic (37338369),Brice Sensabaugh (37338383),Daniel Gafford (37338424),305.5583203125,340.923792931026,49900,95.61%,0,46.7%,0,158.58999999999997,$3.74,NOP 2,NYK 1,user88,1,marvalshot,4894,4611344383_88
Jalen Brunson (37338088),Mikal Bridges (37338239),Nickeil Alexander-Walker (37338562),Brice Sensabaugh (37338383),Victor Wembanyama (37338018),Keaton Wallace (37338930),Paolo Banchero (37338047),Daniel Gafford (37338424),324.4758767361111,361.73418766875756,50000,100.00%,34694,325.23%,0,147.91,$26.02,NYK 2,MIN 1,user32,1,marvalshot,4937,4611344384_32
Keaton Wallace (37338930),Bogdan Bogdanovic (37338369),Paul George (37338105),Keldon Johnson (37338409),Nikola Jokic (37338012),Stephon Castle (37338477),Scottie Barnes (37338057),Daniel Gafford (37338424),312.9382986111111,349.45737801507664,49600,100.00%,0,95.71%,0,173.63,$7.66,ATL 2,SAS 2,user5,1,marvalshot,4415,4611344379_5
Stephon Castle (37338477),CJ McCollum (37338156),Josh Hart (37338127),Dillon Brooks (37338345),Daniel Gafford (37338424),Keaton Wallace (37338930),PJ Washington (37338176),Victor Wembanyama (37338018),310.04266059027776,342.67129863242735,49400,99.94%,0,76.03%,0,136.41,$6.08,SAS 2,DAL 2,user96,1,marvalshot,4605,4611344380_96
Keaton Wallace (37338930),Mikal Bridges (37338239),Buddy Hield (37338351),Dillon Brooks (37338345),Alperen Sengun (37338065),Keyonte George (37338282),Brice Sensabaugh (37338383),Nikola Jokic (37338012),310.4975564236112,345.0870328582444,49900,99.96%,0,79.0%,0,107.29999999999998,$6.32,HOU 2,UTA 2,user51,1,marvalshot,4659,4611344381_51
Stephon Castle (37338477),Buddy Hield (37338351),Jayson Tatum (37338023),Cam Whitmore (37338526),Alperen Sengun (37338065),Keaton Wallace (37338930),Giannis Antetokounmpo (37338014),Jonathan Isaac (37338510),293.81,331.85715758108614,49900,0.25%,0,-99.63%,0,121.41,$-7.97,HOU 2,SAS 1,user32,1,marvalshot,4739,4611344382_32
Jalen Brunson (37338088),Anthony Edwards (37338044),Devin Vassell (37338234),Jonathan Isaac (37338510),Walker Kessler (37338183),Keaton Wallace (37338930),Trey Murphy III (37338144),Keyonte George (37338282),305.7083203125,338.84242137970443,50000,94.96%,0,46.41%,0,104.78999999999999,$3.71,UTA 2,NYK 1,user94,1,marvalshot,4900,4611344383_94
Jalen Brunson (37338088),Mikal Bridges (37338239),Bogdan Bogdanovic (37338369),Giannis Antetokounmpo (37338014),Daniel Gafford (37338424),Keaton Wallace (37338930),PJ Washington (37338176),Naji Marshall (37338314),323.8658767361111,360.2798648938749,50000,100.00%,24989,297.89%,0,146.65,$23.83,DAL 3,NYK 2,user62,1,marvalshot,4967,4611344384_62
Stephen Curry (37338062),Stephon Castle (37338477),Paul George (37338105),Julius Randle (37338149),Onyeka Okongwu (37338359),Keaton Wallace (37338930),Scottie Barnes (37338057),Buddy Hield (37338351),312.7282986111111,345.5690821053144,50000,100.00%,1,94.74%,0,105.8,$7.58,GSW 2,ATL 2,user96,1,marvalshot,4506,4611344379_96
Stephon Castle (37338477),Cole Anthony (37338216),Josh Hart (37338127),Julius Randle (37338149),Victor Wembanyama (37338018),Keyonte George (37338282),Jonathan Isaac (37338510),Daniel Gafford (37338424),309.18266059027775,345.62416879844073,50000,99.85%,0,70.23%,0,131.32999999999998,$5.62,SAS 2,ORL 2,user50,1,marvalshot,4559,4611344380_50
Stephon Castle (37338477),Mikal Bridges (37338239),Devin Vassell (37338234),Julius Randle (37338149),Daniel Gafford (37338424),Keyonte George (37338282),Bogdan Bogdanovic (37338369),Nikola Jokic (37338012),310.4675564236111,346.06962771197925,50000,99.98%,0,78.66%,0,161.89999999999998,$6.29,SAS 2,NYK 1,user36,1,marvalshot,4644,4611344381_36
Keaton Wallace (37338930),Garrison Mathews (37338609),Jayson Tatum (37338023),Paolo Banchero (37338047),Daniel Gafford (37338424),Stephon Castle (37338477),Jonathan Isaac (37338510),Nikola Jokic (37338012),293.67999999999995,332.8682342036484,50000,0.20%,0,-99.7%,0,165.48,$-7.98,ATL 2,ORL 2,user54,1,marvalshot,4761,4611344382_54
Jalen Brunson (37338088),Anthony Edwards (37338044),Garrison Mathews (37338609),Peyton Watson (37338441),Trayce Jackson-Davis (37338258),Keaton Wallace (37338930),Giannis Antetokounmpo (37338014),Daniel Gafford (37338424),305.68832031249997,343.54664639186745,49700,95.07%,0,46.25%,0,121.8,$3.7,ATL 2,NYK 1,user53,1,marvalshot,4859,4611344383_53
Jalen Brunson (37338088),Mikal Bridges (37338239),Brice Sensabaugh (37338383),Jonathan Isaac (37338510),Nikola Jokic (37338012),Quentin Grimes (37338318),PJ Washington (37338176),Keaton Wallace (37338930),323.81587673611114,358.88237689728726,50000,100.00%,24998,295.65%,0,122.05,$23.65,NYK 2,DAL 2,user55,1,marvalshot,4960,4611344384_55
Stephon Castle (37338477),Amen Thompson (37338122),Paul George (37338105),Kyle Filipowski (37338420),Daniel Gafford (37338424),Keaton Wallace (37338930),Scottie Barnes (37338057),Alperen Sengun (37338065),312.4882986111111,346.18828763949415,49300,100.00%,1,92.82%,0,136.82,$7.43,HOU 2,SAS 1,user38,1,marvalshot,4448,4611344379_38
Keaton Wallace (37338930),Stephon Castle (37338477),Josh Hart (37338127),Julius Randle (37338149),Alperen Sengun (37338065),Bogdan Bogdanovic (37338369),Brice Sensabaugh (37338383),Anthony Edwards (37338044),308.9526605902778,341.62741262431183,49100,99.93%,0,68.59%,0,154.88,$5.49,ATL 2,MIN 2,user13,1,marvalshot,4522,4611344380_13
Keaton Wallace (37338930),Mikal Bridges (37338239),Buddy Hield (37338351),Julius Randle (37338149),Wendell Carter Jr. (37338391),Anthony Edwards (37338044),Devin Vassell (37338234),Stephen Curry (37338062),310.32755642361116,340.5163454026684,49800,99.94%,0,77.94%,0,89.12,$6.24,GSW 2,MIN 2,user78,1,marvalshot,4686,4611344381_78
Keaton Wallace (37338930),Quentin Grimes (37338318),Jayson Tatum (37338023),Andrew Wiggins (37338228),Victor Wembanyama (37338018),Dennis Schroder (37338285),Brice Sensabaugh (37338383),Wendell Carter Jr. (37338391),293.54999999999995,328.1663747379762,50000,0.20%,0,-99.7%,0,119.95,$-7.98,GSW 2,ATL 1,user63,1,marvalshot,4770,4611344382_63
Jalen Brunson (37338088),Devin Vassell (37338234),Buddy Hield (37338351),PJ Washington (37338176),Wendell Carter Jr. (37338391),Keaton Wallace (37338930),Paolo Banchero (37338047),Mark Williams (37338232),305.6283203125,339.8799195967921,49000,94.80%,0,45.8%,0,127.28999999999999,$3.66,ORL 2,NYK 1,user57,1,marvalshot,4863,4611344383_57
Jalen Brunson (37338088),Mikal Bridges (37338239),Brice Sensabaugh (37338383),Julius Randle (37338149),Nikola Jokic (37338012),Keaton Wallace (37338930),Quentin Grimes (37338318),Kevon Looney (37338597),322.9658767361111,358.8592526368781,49800,100.00%,14944,261.47%,0,113.94,$20.92,NYK 2,UTA 1,user41,1,marvalshot,4946,4611344384_41
Mike Conley (37338507),Stephon Castle (37338477),Paul George (37338105),Giannis Antetokounmpo (37338014),Daniel Gafford (37338424),Keaton Wallace (37338930),Scottie Barnes (37338057),Mark Williams (37338232),312.4682986111111,350.7713436664737,49900,100.00%,0,92.38%,0,161.07,$7.39,MIN 1,SAS 1,user1,1,marvalshot,4409,4611344379_1
Keaton Wallace (37338930),Stephon Castle (37338477),Josh Hart (37338127),Michael Porter Jr. (37338208),Daniel Gafford (37338424),Trey Murphy III (37338144),Buddy Hield (37338351),Nikola Jokic (37338012),308.5726605902778,342.6164988064016,49900,99.65%,0,65.95%,0,136.01,$5.28,DEN 2,ATL 1,user31,1,marvalshot,4540,4611344380_31
Keaton Wallace (37338930),Mikal Bridges (37338239),Bogdan Bogdanovic (37338369),Julius Randle (37338149),Daniel Gafford (37338424),Dejounte Murray (37338096),Miles Bridges (37338131),Alperen Sengun (37338065),310.20755642361115,344.20294405225934,50000,99.93%,0,76.83%,0,133.31,$6.15,ATL 2,NYK 1,user7,1,marvalshot,4615,4611344381_7
Keyonte George (37338282),Bogdan Bogdanovic (37338369),Jayson Tatum (37338023),Giannis Antetokounmpo (37338014),Jonathan Isaac (37338510),Stephon Castle (37338477),Julius Randle (37338149),Keaton Wallace (37338930),293.87999999999994,331.39801700516693,50000,0.18%,0,-99.72%,0,152.22,$-7.98,ATL 2,UTA 1,user37,1,marvalshot,4744,4611344382_37
Jalen Brunson (37338088),Jalen Green (37338162),Brice Sensabaugh (37338383),Josh Green (37338553),Wendell Carter Jr. (37338391),Keaton Wallace (37338930),Giannis Antetokounmpo (37338014),Julius Randle (37338149),305.4383203125,341.4025366049721,49900,94.58%,0,44.8%,0,121.08000000000001,$3.58,NYK 1,HOU 1,user6,1,marvalshot,4812,4611344383_6
Jalen Brunson (37338088),Mikal Bridges (37338239),Garrison Mathews (37338609),Jonathan Isaac (37338510),Alperen Sengun (37338065),Keaton Wallace (37338930),Quentin Grimes (37338318),Giannis Antetokounmpo (37338014),322.79587673611115,360.13982314719317,49900,100.00%,12943,254.72%,0,122.55000000000001,$20.38,NYK 2,ATL 2,user14,1,marvalshot,4919,4611344384_14
Stephon Castle (37338477),Quentin Grimes (37338318),Paul George (37338105),Dillon Brooks (37338345),Daniel Gafford (37338424),Keaton Wallace (37338930),Scottie Barnes (37338057),Giannis Antetokounmpo (37338014),312.1182986111111,348.4982582113242,49900,100.00%,0,90.0%,0,135.29,$7.2,DAL 2,SAS 1,user55,1,marvalshot,4465,4611344379_55
Keaton Wallace (37338930),Bogdan Bogdanovic (37338369),Josh Hart (37338127),PJ Washington (37338176),Giannis Antetokounmpo (37338014),Stephon Castle (37338477),Julius Randle (37338149),Onyeka Okongwu (37338359),308.47266059027777,343.720657987089,50000,99.77%,0,65.32%,0,147.40999999999997,$5.23,ATL 3,NYK 1,user86,1,marvalshot,4595,4611344380_86
Josh Giddey (37338141),Mikal Bridges (37338239),Amen Thompson (37338122),Brice Sensabaugh (37338383),Onyeka Okongwu (37338359),Keaton Wallace (37338930),Buddy Hield (37338351),Victor Wembanyama (37338018),310.0075564236111,342.7808669067168,49700,99.91%,0,75.71%,0,108.52,$6.06,ATL 2,CHI 1,user39,1,marvalshot,4647,4611344381_39
Mike Conley (37338507),Jalen Green (37338162),Jayson Tatum (37338023),Brice Sensabaugh (37338383),Daniel Gafford (37338424),Keyonte George (37338282),Giannis Antetokounmpo (37338014),Keaton Wallace (37338930),293.18,331.3652851239846,50000,0.16%,0,-99.76%,0,129.65,$-7.98,UTA 2,MIN 1,user78,1,marvalshot,4785,4611344382_78
Jalen Brunson (37338088),Anthony Edwards (37338044),Quentin Grimes (37338318),Paolo Banchero (37338047),Jonathan Isaac (37338510),Stephon Castle (37338477),Julius Randle (37338149),Keaton Wallace (37338930),305.33832031249995,340.71367124406976,49800,94.39%,0,44.08%,0,123.91,$3.53,MIN 2,ORL 2,user23,1,marvalshot,4829,4611344383_23
Jalen Brunson (37338088),Mikal Bridges (37338239),Brice Sensabaugh (37338383),Julius Randle (37338149),Daniel Gafford (37338424),Anthony Edwards (37338044),Jonathan Isaac (37338510),Mark Williams (37338232),322.6658767361111,358.31536808667266,49600,100.00%,12800,251.23%,0,139.07,$20.1,NYK 2,MIN 2,user79,1,marvalshot,4984,4611344384_79
Keaton Wallace (37338930),Quentin Grimes (37338318),Paul George (37338105),Peyton Watson (37338441),Daniel Gafford (37338424),Stephon Castle (37338477),Scottie Barnes (37338057),Nikola Jokic (37338012),312.0282986111111,347.9710887158475,49800,100.00%,0,89.48%,0,139.16,$7.16,DAL 2,DEN 2,user12,1,marvalshot,4422,4611344379_12
Keyonte George (37338282),Stephon Castle (37338477),Josh Hart (37338127),Giannis Antetokounmpo (37338014),Mark Williams (37338232),Jalen Green (37338162),Quentin Grimes (37338318),Keaton Wallace (37338930),308.2626605902778,344.2057784361966,50000,99.57%,0,63.98%,0,142.16,$5.12,UTA 1,SAS 1,user46,1,marvalshot,4555,4611344380_46
Keaton Wallace (37338930),Mikal Bridges (37338239),Buddy Hield (37338351),Julius Randle (37338149),Alperen Sengun (37338065),Stephon Castle (37338477),Keldon Johnson (37338409),Giannis Antetokounmpo (37338014),309.96755642361114,345.81399390381335,49900,99.94%,0,75.39%,0,115.88,$6.03,SAS 2,ATL 1,user55,1,marvalshot,4663,4611344381_55
Keaton Wallace (37338930),Devin Vassell (37338234),Jayson Tatum (37338023),Jeremiah Robinson-Earl (37338708),Giannis Antetokounmpo (37338014),Russell Westbrook (37338173),Buddy Hield (37338351),Daniel Gafford (37338424),293.13,330.3465285861,50000,0.14%,0,-99.78%,0,122.00999999999999,$-7.98,ATL 1,SAS 1,user59,1,marvalshot,4766,4611344382_59
Jalen Brunson (37338088),Amen Thompson (37338122),Quentin Grimes (37338318),Brice Sensabaugh (37338383),Victor Wembanyama (37338018),Chris Paul (37338220),David Roddy (37338933),Stephon Castle (37338477),304.93832031249997,339.3475916435194,50000,93.11%,0,41.72%,0,131.28,$3.34,SAS 3,NYK 1,user14,1,marvalshot,4820,4611344383_14
Jalen Brunson (37338088),Mikal Bridges (37338239),Quentin Grimes (37338318),PJ Washington (37338176),Onyeka Okongwu (37338359),Ja Morant (37338082),Julius Randle (37338149),Keaton Wallace (37338930),322.56587673611114,355.9604830903379,50000,100.00%,12917,250.47%,0,99.0,$20.04,NYK 2,DAL 2,user72,1,marvalshot,4977,4611344384_72
Keaton Wallace (37338930),Buddy Hield (37338351),Paul George (37338105),Jonathan Isaac (37338510),Nikola Jokic (37338012),Bogdan Bogdanovic (37338369),Scottie Barnes (37338057),Stephon Castle (37338477),311.50829861111106,346.26325740137776,49700,100.00%,0,85.64%,0,142.21,$6.85,ATL 2,GSW 1,user61,1,marvalshot,4471,4611344379_61
Ja Morant (37338082),Anthony Edwards (37338044),Josh Hart (37338127),Julius Randle (37338149),Wendell Carter Jr. (37338391),Buddy Hield (37338351),Brice Sensabaugh (37338383),Keaton Wallace (37338930),308.17266059027776,340.28887643968335,49600,99.44%,0,63.44%,0,99.0,$5.07,MIN 2,MEM 1,user39,1,marvalshot,4548,4611344380_39
Dejounte Murray (37338096),Mikal Bridges (37338239),Brice Sensabaugh (37338383),Julius Randle (37338149),Giannis Antetokounmpo (37338014),Stephon Castle (37338477),Buddy Hield (37338351),Keaton Wallace (37338930),309.6875564236111,344.50782609548537,49700,99.91%,0,73.53%,0,121.39999999999999,$5.88,NOP 1,NYK 1,user20,1,marvalshot,4628,4611344381_20
