PG,SG,SF,PF,C,G,F,UTIL,Proj,Ceiling,Salary,Cash %,Top 1%,ROI%,Wins,Own Sum,Avg Return,Stack1,Stack2,Lineup,Dupes,User,Index,Entry ID
Josh Giddey (37338141),Bogdan Bogdanovic (37338369),OG Anunoby (37338270),Paolo Banchero (37338047),Nikola Jokic (37338012),Vit Krejci (37338481),Garrison Mathews (37338609),Keaton Wallace (37338930),277.653125,312.4919840894743,49400,100.00%,0,80.34%,0,160.42000000000002,$3.21,ATL 4,CHI 1,opp,1,jb101086,2730,4611301933
Jalen Brunson (37338088),Isaiah Collier (37338329),Brice Sensabaugh (37338383),OG Anunoby (37338270),Nikola Vucevic (37338099),Keyonte George (37338282),Naz Reid (37338300),Josh Giddey (37338141),277.64625,309.60355109414,49900,100.00%,0,80.24%,0,82.72,$3.21,UTA 3,NYK 2,opp,1,Firedog50,562,4610657413
Mike Conley (37338507),Bogdan Bogdanovic (37338369),Brice Sensabaugh (37338383),Kyle Filipowski (37338420),Daniel Gafford (37338424),Vit Krejci (37338481),Giannis Antetokounmpo (37338014),Nikola Jokic (37338012),277.65999999999997,317.3372932544547,49400,100.00%,0,80.19%,0,168.32999999999998,$3.21,ATL 2,UTA 2,opp,1,jb101086,4179,4611301921
Stephon Castle (37338477),Bogdan Bogdanovic (37338369),Josh Hart (37338127),Brice Sensabaugh (37338383),Clint Capela (37338298),LaMelo Ball (37338029),Naji Marshall (37338314),Ja Morant (37338082),277.630625,310.547028549241,49600,100.00%,0,80.18%,0,120.35,$3.21,ATL 2,SAS 1,opp,1,HighPraiseHighFocus,2174,4610856237
Cole Anthony (37338216),Bogdan Bogdanovic (37338369),Amen Thompson (37338122),Jaren Jackson Jr. (37338053),Jeremiah Robinson-Earl (37338708),Keaton Wallace (37338930),Jaden McDaniels (37338396),Victor Wembanyama (37338018),277.67,310.9511267838095,49300,100.00%,0,80.05%,0,119.88999999999999,$3.2,ATL 2,ORL 1,opp,1,dacoltz,3975,4611176190
Chris Paul (37338220),Garrison Mathews (37338609),Mikal Bridges (37338239),Julius Randle (37338149),Victor Wembanyama (37338018),LaMelo Ball (37338029),Jeremiah Robinson-Earl (37338708),Dominick Barlow (37338941),277.658125,310.2574761010736,49900,100.00%,0,80.05%,0,86.22,$3.2,SAS 2,ATL 2,opp,1,Firedog50,2418,4610657418
Keaton Wallace (37338930),Amen Thompson (37338122),Tristan da Silva (37338374),Paolo Banchero (37338047),Mark Williams (37338232),Stephon Castle (37338477),Jeremiah Robinson-Earl (37338708),Giannis Antetokounmpo (37338014),277.69,314.3134446768733,49200,100.00%,0,79.96%,0,143.70000000000002,$3.2,ORL 2,ATL 1,opp,1,RoyalPain21,3494,4610916083
Jalen Brunson (37338088),Vit Krejci (37338481),Bogdan Bogdanovic (37338369),David Roddy (37338933),Giannis Antetokounmpo (37338014),Chris Paul (37338220),Brice Sensabaugh (37338383),Jamal Murray (37338169),277.603125,312.8393803425485,49300,100.00%,0,79.94%,0,146.04000000000002,$3.2,ATL 3,NYK 1,opp,1,cagea65,1541,4610892794
Stephon Castle (37338477),Quentin Grimes (37338318),Amen Thompson (37338122),Brice Sensabaugh (37338383),Victor Wembanyama (37338018),Bogdan Bogdanovic (37338369),Keldon Johnson (37338409),Miles Bridges (37338131),277.63,310.7251612777457,49000,100.00%,0,79.9%,0,136.23,$3.2,SAS 3,DAL 1,opp,1,Naaz11,3778,4611129728
Keyonte George (37338282),Anthony Edwards (37338044),OG Anunoby (37338270),Naji Marshall (37338314),Nikola Jokic (37338012),Keaton Wallace (37338930),Andre Jackson Jr. (37338644),Devin Vassell (37338234),277.63312499999995,310.6599035691587,49900,100.00%,0,79.85%,0,94.22,$3.19,UTA 1,MIN 1,opp,1,Miklop,2564,4610720591
