Player,Position,Team,Cash%,Win%,Top1%,Sim. Own%,Proj. Own%,Avg. Return
ej harkless,PG/SG/G/UTIL,UTA,9.16%,0.0%,0.03%,0.02%,0.03%,$-3.39
aaron nesmith,PF/F/UTIL,IND,8.9%,0.0%,0.02%,0.02%,0.03%,$-3.4
taylor hendricks,SF/F/UTIL,UTA,9.0%,0.0%,0.01%,0.01%,0.03%,$-3.41
neemias queta,C/UTIL,BOS,8.29%,0.0%,0.05%,0.01%,0.03%,$-3.41
jeff dowtin,PG/G/UTIL,PHI,8.17%,0.0%,0.09%,0.06%,0.1%,$-3.42
quenton jackson,PG/SG/G/UTIL,IND,7.91%,0.0%,0.04%,0.03%,0.03%,$-3.42
patrick baldwin jr.,PF/F/UTIL,WAS,0%,0%,0%,0.0%,0.03%,$-3.42
taj gibson,C/UTIL,CHA,8.3%,0.0%,0.01%,0.01%,0.03%,$-3.43
jd davison,PG/G/UTIL,BOS,0%,0%,0%,0.0%,0.03%,$-3.43
vasilije micic,PG/G/UTIL,CHA,8.32%,0.0%,0.06%,0.06%,0.1%,$-3.44
josh okogie,SF/F/UTIL,PHX,9.31%,0.0%,0.05%,0.03%,0.03%,$-3.44
trendon watford,PF/F/UTIL,BKN,7.92%,0.0%,0.02%,0.01%,0.04%,$-3.45
jt thor,PF/F/UTIL,CLE,11.81%,0.0%,0.06%,0.01%,0.03%,$-3.45
jaylon tyson,SF/SG/G/F/UTIL,CLE,9.04%,0.0%,0.08%,0.02%,0.03%,$-3.46
ousmane dieng,C/PF/F/UTIL,OKC,7.53%,0.0%,0.03%,0.02%,0.03%,$-3.47
luke travers,SF/F/UTIL,CLE,11.79%,0.0%,0.03%,0.01%,0.03%,$-3.47
maxwell lewis,SF/F/UTIL,BKN,7.51%,0.0%,0.06%,0.03%,0.03%,$-3.47
jeremiah robinson-earl,C/PF/F/UTIL,NOP,7.43%,0.0%,0.03%,0.03%,0.03%,$-3.48
keion brooks jr.,PF/SF/F/UTIL,NOP,6.97%,0.0%,0.06%,0.04%,0.03%,$-3.48
craig porter jr.,PG/G/UTIL,CLE,6.81%,0.0%,0.08%,0.01%,0.03%,$-3.49
kj martin,PF/SF/F/UTIL,PHI,8.24%,0.0%,0.03%,0.04%,0.03%,$-3.5
jordan clarkson,SG/G/UTIL,UTA,9.02%,0.0%,0.03%,0.02%,0.05%,$-3.51
alex caruso,PG/SF/G/F/UTIL,OKC,7.27%,0.0%,0.06%,0.05%,0.03%,$-3.51
moritz wagner,C/UTIL,ORL,6.74%,0.0%,0.06%,0.02%,0.03%,$-3.51
xavier tillman,C/PF/F/UTIL,BOS,7.05%,0.0%,0.03%,0.02%,0.03%,$-3.52
monte morris,PG/G/UTIL,PHX,6.94%,0.0%,0.02%,0.02%,0.03%,$-3.52
johnny juzang,SF/SG/G/F/UTIL,UTA,6.6%,0.0%,0.03%,0.04%,0.03%,$-3.54
isaiah jackson,C/UTIL,IND,10.5%,0.0%,0.02%,0.01%,0.03%,$-3.54
kj simpson,PG/G/UTIL,CHA,9.56%,0.0%,0.05%,0.01%,0.03%,$-3.56
drew peterson,PF/F/UTIL,BOS,8.91%,0.0%,0.05%,0.01%,0.03%,$-3.58
isaiah wong,PG/SG/G/UTIL,CHA,5.75%,0.0%,0.02%,0.01%,0.03%,$-3.59
kentavious caldwell-pope,SG/G/UTIL,ORL,6.06%,0.0%,0.01%,0.01%,0.04%,$-3.59
daquan jeffries,PF/F/UTIL,CHA,8.78%,0.0%,0.02%,0.01%,0.03%,$-3.6
johnny furphy,SF/SG/G/F/UTIL,IND,6.41%,0.0%,0.04%,0.03%,0.03%,$-3.6
richaun holmes,C/UTIL,WAS,8.54%,0.0%,0.05%,0.01%,0.03%,$-3.6
bol bol,C/PF/F/UTIL,PHX,7.55%,0.0%,0.05%,0.01%,0.03%,$-3.61
branden carlson,C/UTIL,OKC,6.88%,0.0%,0.02%,0.02%,0.03%,$-3.63
enrique freeman,C/PF/F/UTIL,IND,4.95%,0.0%,0.02%,0.02%,0.03%,$-3.64
james wiseman,C/UTIL,IND,5.02%,0.0%,0.02%,0.01%,0.03%,$-3.66
d'angelo russell,PG/SG/G/UTIL,BKN,5.44%,0.0%,0.01%,0.04%,0.05%,$-3.68
james johnson,C/PF/F/UTIL,IND,4.61%,0.0%,0.02%,0.01%,0.03%,$-3.68
de'anthony melton,PG/G/UTIL,BKN,4.81%,0.0%,0.01%,0.01%,0.03%,$-3.68
grant williams,C/UTIL,CHA,6.96%,0.0%,0.03%,0.01%,0.03%,$-3.68
caleb martin,PF/SF/F/UTIL,PHI,4.94%,0.0%,0.02%,0.06%,0.04%,$-3.69
bojan bogdanovic,SF/F/UTIL,BKN,4.54%,0.0%,0.01%,0.03%,0.03%,$-3.69
keyonte george,PG/G/UTIL,UTA,4.49%,0.0%,0.02%,0.05%,0.05%,$-3.69
ty jerome,PG/G/UTIL,CLE,3.87%,0.0%,0.02%,0.03%,0.03%,$-3.72
saddiq bey,SF/F/UTIL,WAS,5.23%,0.0%,0.02%,0.02%,0.04%,$-3.72
anton watson,SF/F/UTIL,BOS,4.31%,0.0%,0.01%,0.01%,0.03%,$-3.72
andre drummond,C/UTIL,PHI,4.67%,0.0%,0.01%,0.03%,0.04%,$-3.74
marvin bagley iii,C/UTIL,WAS,3.8%,0.0%,0.03%,0.01%,0.03%,$-3.74
cam thomas,SG/G/UTIL,BKN,3.46%,0.0%,0.01%,0.05%,0.06%,$-3.76
herbert jones,C/UTIL,NOP,2.96%,0.0%,0.0%,0.03%,0.04%,$-3.81
jalen bridges,SF/F/UTIL,PHX,2.78%,0.0%,0.01%,0.01%,0.03%,$-3.81
dillon jones,PF/F/UTIL,OKC,2.59%,0.0%,0.0%,0.01%,0.03%,$-3.82
malcolm brogdon,PG/SG/G/UTIL,WAS,2.53%,0.0%,0.0%,0.06%,0.05%,$-3.84
alex ducas,SG/G/UTIL,OKC,3.51%,0.0%,0.01%,0.01%,0.03%,$-3.84
cameron johnson,PF/SF/F/UTIL,BKN,2.39%,0.0%,0.0%,0.12%,0.06%,$-3.85
john collins,C/PF/F/UTIL,UTA,2.28%,0.0%,0.0%,0.05%,0.06%,$-3.85
walker kessler,C/UTIL,UTA,2.19%,0.0%,0.01%,0.06%,0.06%,$-3.86
nikola topic,PG/G/UTIL,OKC,0%,0%,0%,0.0%,0.03%,$-3.86
moussa diabate,C/UTIL,CHA,0%,0%,0%,0.0%,0.03%,$-3.89
chet holmgren,PF/F/UTIL,OKC,1.67%,0.0%,0.0%,0.08%,0.07%,$-3.9
jalen suggs,PG/SG/G/UTIL,ORL,1.44%,0.0%,0.0%,0.11%,0.07%,$-3.91
lauri markkanen,PF/SF/F/UTIL,UTA,1.35%,0.0%,0.0%,0.2%,0.07%,$-3.92
franz wagner,PF/F/UTIL,ORL,0.74%,0.0%,0.0%,0.1%,0.08%,$-3.95
brandon ingram,PG/G/UTIL,NOP,0.77%,0.0%,0.0%,0.08%,0.07%,$-3.96
joel embiid,C/UTIL,PHI,0.58%,0.0%,0.0%,0.08%,0.08%,$-3.96
