PG,SG,SF,PF,C,G,F,UTIL,Proj,Ceiling,Salary,Cash %,Top 1%,ROI%,Wins,Own Sum,Avg Return,Stack1,Stack2,Lineup,Dupes,User,Index,Entry ID
Darius Garland (37303029),Andrew Nembhard (37303179),Paul George (37303009),Kyle Filipowski (37303285),Isaiah Hartenstein (37303039),Shai Gilgeous-Alexander (37302935),Brice Sensabaugh (37303235),Svi Mykhailiuk (37303337),277.04982638888885,300.79738977417674,49400,100.00%,0,61.12%,0,259.04,$2.44,UTA 3,OKC 2,opp,1,meyers2305,1588,4607475694
Darius Garland (37303029),Cason Wallace (37303281),Jaylen Brown (37302978),Jayson Tatum (37302938),Isaiah Hartenstein (37303039),Cole Anthony (37303107),Kyle Filipowski (37303285),Oscar Tshiebwe (37303456),276.9070182291667,295.1163514466593,49800,100.00%,0,61.12%,0,220.45999999999998,$2.44,OKC 2,BOS 2,opp,1,kcdill1,399,4607267122
Shai Gilgeous-Alexander (37302935),Svi Mykhailiuk (37303337),Brice Sensabaugh (37303235),Jalen Williams (37302986),Jarrett Allen (37303060),T.J. McConnell (37303334),Kyle Filipowski (37303285),Devin Booker (37302957),277.00718750000004,304.30563980297785,49700,100.00%,0,61.1%,0,233.56,$2.44,UTA 3,OKC 2,opp,1,myamada,3653,4606670264
Cole Anthony (37303107),Collin Sexton (37303043),Svi Mykhailiuk (37303337),Jalen Williams (37302986),Jarrett Allen (37303060),Isaiah Collier (37303246),Brice Sensabaugh (37303235),LaMelo Ball (37302944),276.98576822916664,305.66735433523303,49000,100.00%,0,61.0%,0,173.78,$2.44,UTA 4,ORL 1,opp,1,wmillion,4752,4607423040
Shai Gilgeous-Alexander (37302935),Cole Anthony (37303107),Isaiah Joe (37303303),Evan Mobley (37302989),Isaiah Hartenstein (37303039),Ziaire Williams (37303157),Max Strus (37303260),Keon Johnson (37303113),276.9593098958333,298.0902341548966,50000,100.00%,0,60.96%,0,159.76999999999998,$2.44,OKC 3,CLE 2,opp,1,bernie071392,801,4607633982
Isaiah Collier (37303246),Cole Anthony (37303107),Brice Sensabaugh (37303235),Evan Mobley (37302989),Mark Williams (37303083),LaMelo Ball (37302944),Ziaire Williams (37303157),Myles Turner (37303072),276.76863281249996,303.5891514223868,49200,100.00%,0,60.93%,0,150.48000000000002,$2.44,UTA 2,CHA 2,opp,1,speedydave,4456,4607260241
Collin Sexton (37303043),Kelly Oubre Jr. (37303089),Svi Mykhailiuk (37303337),Brice Sensabaugh (37303235),Jarrett Allen (37303060),Cole Anthony (37303107),Miles Bridges (37303026),Tyrese Maxey (37302947),276.9098046875,303.2151803636123,49900,100.00%,0,60.9%,0,148.57999999999998,$2.44,UTA 3,PHI 2,opp,1,12thqueen,3786,4607869233
Shai Gilgeous-Alexander (37302935),Cole Anthony (37303107),Max Strus (37303260),Evan Mobley (37302989),Kyle Filipowski (37303285),Kelly Oubre Jr. (37303089),Jalen Williams (37302986),Micah Potter (37303452),276.971328125,297.4464621573982,49600,100.00%,0,60.89%,0,218.05,$2.44,OKC 2,CLE 2,opp,1,foransound,746,4607272148
Jared Butler (37303250),Cole Anthony (37303107),Svi Mykhailiuk (37303337),Evan Mobley (37302989),Jarrett Allen (37303060),Shai Gilgeous-Alexander (37302935),Kyle Filipowski (37303285),Collin Sexton (37303043),277.02694878472226,303.3351815199404,49600,100.00%,0,60.8%,0,202.93,$2.43,UTA 3,CLE 2,opp,1,mvpkg,2110,4606869432
Darius Garland (37303029),Cole Anthony (37303107),Max Strus (37303260),Aaron Wiggins (37303377),Isaiah Hartenstein (37303039),Paul George (37303009),Brice Sensabaugh (37303235),LaMelo Ball (37302944),276.9309592013889,298.8180704934415,49200,100.00%,0,60.73%,0,178.62,$2.43,CLE 2,OKC 2,opp,1,JonnyRank,1366,4606825963
Cole Anthony (37303107),Collin Sexton (37303043),Trey Murphy III (37303018),Kyle Filipowski (37303285),Jarrett Allen (37303060),Svi Mykhailiuk (37303337),Bennedict Mathurin (37303098),Paolo Banchero (37302950),276.81070312500003,301.2260526967141,49500,100.00%,0,60.64%,0,158.57,$2.43,UTA 3,ORL 2,opp,1,RustyTro,1994,4607641779
Shai Gilgeous-Alexander (37302935),Cole Anthony (37303107),Brice Sensabaugh (37303235),Evan Mobley (37302989),Isaiah Hartenstein (37303039),Kelly Oubre Jr. (37303089),Ricky Council IV (37303632),Noah Clowney (37303133),276.94517795138887,298.7609893978524,50000,100.00%,0,60.63%,0,218.07999999999998,$2.43,OKC 2,PHI 2,opp,1,kingstriker03,929,4606654733
Cole Anthony (37303107),Cason Wallace (37303281),Isaiah Joe (37303303),Paolo Banchero (37302950),Kyle Filipowski (37303285),Shai Gilgeous-Alexander (37302935),Brice Sensabaugh (37303235),Jaylen Brown (37302978),277.0755295138889,299.40403790069865,49500,100.00%,0,60.61%,0,275.29,$2.42,OKC 3,ORL 2,opp,1,jaymake1,974,4606849588
Shai Gilgeous-Alexander (37302935),Isaiah Collier (37303246),Luguentz Dort (37303218),Kyle Filipowski (37303285),Mark Williams (37303083),T.J. McConnell (37303334),Kevin Durant (37302953),Miles Bridges (37303026),276.8174305555556,305.4431429673625,49200,100.00%,0,60.57%,0,205.95,$2.42,OKC 2,UTA 2,opp,1,willoc729,4934,4606760301
Shai Gilgeous-Alexander (37302935),Cole Anthony (37303107),Svi Mykhailiuk (37303337),Alexandre Sarr (37303085),Mark Williams (37303083),Isaiah Collier (37303246),Evan Mobley (37302989),Tyus Jones (37303150),276.6747439236111,301.8882724151715,49200,100.00%,0,60.51%,0,148.52,$2.42,UTA 2,OKC 1,opp,1,Ace115,2562,4607387375
Cole Anthony (37303107),Luguentz Dort (37303218),Bennedict Mathurin (37303098),Evan Mobley (37302989),Mark Williams (37303083),Bradley Beal (37303062),Kevin Durant (37302953),Svi Mykhailiuk (37303337),276.6841362847222,302.8464018170957,49600,100.00%,0,60.45%,0,114.28999999999999,$2.42,PHX 2,ORL 1,opp,1,jb101086,3864,4607859407
Shai Gilgeous-Alexander (37302935),Cole Anthony (37303107),Max Strus (37303260),Brice Sensabaugh (37303235),Jarrett Allen (37303060),Collin Sexton (37303043),Tyrese Martin (37303145),Nic Claxton (37303078),276.93930989583333,304.70707883671156,49200,100.00%,0,60.35%,0,169.07,$2.41,CLE 2,UTA 2,opp,1,KMasonbx,3673,4607509410
Cole Anthony (37303107),Kelly Oubre Jr. (37303089),Aaron Wiggins (37303377),Evan Mobley (37302989),Kyle Filipowski (37303285),Brandon Miller (37302997),Tyrese Martin (37303145),Devin Booker (37302957),276.74981770833335,300.5296758281802,49200,100.00%,0,60.28%,0,170.26,$2.41,ORL 1,PHI 1,opp,1,wwilder73,3993,4607819600
Isaiah Collier (37303246),Paul George (37303009),Brice Sensabaugh (37303235),Trey Murphy III (37303018),Isaiah Hartenstein (37303039),Kelly Oubre Jr. (37303089),Kevin Durant (37302953),Jonathan Isaac (37303342),276.5311024305555,299.8164068626519,49600,100.00%,0,60.1%,0,150.67000000000002,$2.4,UTA 2,PHI 2,opp,1,calcam21,2760,4607572189
Devin Booker (37302957),Cason Wallace (37303281),Brice Sensabaugh (37303235),Evan Mobley (37302989),Jarrett Allen (37303060),Shai Gilgeous-Alexander (37302935),Isaiah Joe (37303303),Drew Eubanks (37303397),276.8192013888889,302.4222298742752,49500,100.00%,0,59.98%,0,203.64,$2.4,OKC 3,UTA 2,opp,1,rtwcandy2021,2372,4606656491
Keon Johnson (37303113),Donovan Mitchell (37302974),Bilal Coulibaly (37303080),Pascal Siakam (37303036),Kyle Filipowski (37303285),Cole Anthony (37303107),Luguentz Dort (37303218),Paul George (37303009),276.56278211805557,294.86154509319783,49200,100.00%,0,59.92%,0,160.05,$2.4,BKN 1,CLE 1,opp,1,flossyb12,916,4607505956
Shai Gilgeous-Alexander (37302935),Collin Sexton (37303043),Svi Mykhailiuk (37303337),Micah Potter (37303452),Kyle Filipowski (37303285),Devin Booker (37302957),Brice Sensabaugh (37303235),Brandon Miller (37302997),276.88817708333335,308.63344520875955,49400,100.00%,0,59.88%,0,232.56,$2.4,UTA 5,OKC 1,opp,1,NicNPatsFan,5517,4607826039
Cole Anthony (37303107),Andrew Nembhard (37303179),Bradley Beal (37303062),Aaron Wiggins (37303377),Kristaps Porzingis (37303041),Svi Mykhailiuk (37303337),Jalen Williams (37302986),LaMelo Ball (37302944),276.5995703125,299.6870558783047,49000,100.00%,0,59.86%,0,128.78,$2.39,OKC 2,ORL 1,opp,1,cagea65,2242,4607847803
Cole Anthony (37303107),Isaiah Joe (37303303),Aaron Wiggins (37303377),Jayson Tatum (37302938),Evan Mobley (37302989),Svi Mykhailiuk (37303337),Royce O'Neale (37303153),LaMelo Ball (37302944),276.6937543402778,299.0246674091196,49500,100.00%,0,59.86%,0,123.44,$2.39,OKC 2,ORL 1,opp,1,DEEPELL,1675,4607856672
Cole Anthony (37303107),Derrick White (37303047),Paul George (37303009),Brice Sensabaugh (37303235),Drew Eubanks (37303397),Shai Gilgeous-Alexander (37302935),Micah Potter (37303452),Brandon Miller (37302997),276.66727864583333,300.5859733811935,49700,100.00%,0,59.83%,0,186.89,$2.39,UTA 3,ORL 1,opp,1,Xsmkxjoker,2767,4606968691
Cole Anthony (37303107),Donovan Mitchell (37302974),Jayson Tatum (37302938),Kyle Filipowski (37303285),Isaiah Hartenstein (37303039),Kelly Oubre Jr. (37303089),Brice Sensabaugh (37303235),Isaiah Collier (37303246),276.7959461805555,298.37884515935616,49600,100.00%,0,59.78%,0,257.08,$2.39,UTA 3,ORL 1,opp,1,smithbrandon7,1734,4606589084
T.J. McConnell (37303334),Cole Anthony (37303107),Max Strus (37303260),Jalen Williams (37302986),Mark Williams (37303083),Shai Gilgeous-Alexander (37302935),Kyle Filipowski (37303285),Miles Bridges (37303026),276.74332031250003,301.78549027134363,49500,100.00%,0,59.74%,0,205.03,$2.39,OKC 2,CHA 2,opp,1,jdanielcz,2292,4607879569
Cole Anthony (37303107),Derrick White (37303047),Aaron Wiggins (37303377),Pascal Siakam (37303036),Kyle Filipowski (37303285),Shai Gilgeous-Alexander (37302935),Svi Mykhailiuk (37303337),Brandon Miller (37302997),276.8343619791667,299.13412077647627,49200,100.00%,0,59.71%,0,210.51,$2.39,OKC 2,UTA 2,opp,1,ivymoose,1632,4606409775
Cole Anthony (37303107),Isaiah Collier (37303246),Jaylen Brown (37302978),Aaron Wiggins (37303377),Evan Mobley (37302989),Keon Johnson (37303113),Jalen Williams (37302986),Mark Williams (37303083),276.4708203125,298.72316257294125,49800,100.00%,0,59.68%,0,135.39999999999998,$2.39,OKC 2,ORL 1,opp,1,TheHaba,1844,4607548760
Jrue Holiday (37303130),Paul George (37303009),Max Strus (37303260),Aaron Wiggins (37303377),Kristaps Porzingis (37303041),Svi Mykhailiuk (37303337),Kevin Durant (37302953),Devin Booker (37302957),276.47802083333335,301.39639986549594,49400,100.00%,0,59.63%,0,94.97,$2.39,BOS 2,PHX 2,opp,1,kawhisenberg,3218,4606875906
Shai Gilgeous-Alexander (37302935),Eric Gordon (37303390),Max Strus (37303260),Kevin Durant (37302953),Kristaps Porzingis (37303041),Cason Wallace (37303281),Miles Bridges (37303026),Brice Sensabaugh (37303235),276.62741319444444,301.9143922543338,49700,100.00%,0,59.5%,0,174.93,$2.38,OKC 2,PHI 1,opp,1,Johnhanerty,3026,4606703852
Shai Gilgeous-Alexander (37302935),Isaiah Collier (37303246),Bradley Beal (37303062),Brice Sensabaugh (37303235),Kyle Filipowski (37303285),LaMelo Ball (37302944),Svi Mykhailiuk (37303337),Collin Sexton (37303043),276.9081770833333,308.82378217481175,49300,100.00%,0,59.46%,0,237.64,$2.38,UTA 5,OKC 1,opp,1,xxhustlexx,5499,4607695364
Shai Gilgeous-Alexander (37302935),Bradley Beal (37303062),Paul George (37303009),Aaron Wiggins (37303377),Drew Eubanks (37303397),Cole Anthony (37303107),Max Strus (37303260),Brandon Miller (37302997),276.58608072916667,299.3534564581029,49400,100.00%,0,59.4%,0,145.07,$2.38,OKC 2,PHX 1,opp,1,jtchancey,1970,4606452400
Cason Wallace (37303281),Donovan Mitchell (37302974),Jayson Tatum (37302938),Aaron Wiggins (37303377),Drew Eubanks (37303397),Cole Anthony (37303107),Max Strus (37303260),Shai Gilgeous-Alexander (37302935),276.7646918402778,296.3942801140915,49500,100.00%,0,59.4%,0,195.95,$2.38,OKC 3,CLE 2,opp,1,wwestry,201,4607846492
T.J. McConnell (37303334),Cason Wallace (37303281),Aaron Wiggins (37303377),Evan Mobley (37302989),Myles Turner (37303072),Devin Booker (37302957),Tyrese Martin (37303145),Kevin Durant (37302953),276.4478819444445,300.99340938639415,48800,100.00%,0,59.3%,0,116.32,$2.37,IND 2,OKC 2,opp,1,ChocoBliss,3370,4606595345
Shai Gilgeous-Alexander (37302935),Cason Wallace (37303281),Tyrese Martin (37303145),Brice Sensabaugh (37303235),Kyle Filipowski (37303285),Devin Booker (37302957),Noah Clowney (37303133),Miles Bridges (37303026),276.79913194444447,305.36652206847987,49100,100.00%,0,59.14%,0,240.26,$2.37,OKC 2,BKN 2,opp,1,xxhustlexx,5300,4607695361
Devin Booker (37302957),Isaiah Collier (37303246),Aaron Wiggins (37303377),Jayson Tatum (37302938),Isaiah Hartenstein (37303039),Ziaire Williams (37303157),Brice Sensabaugh (37303235),Nic Claxton (37303078),276.35935763888887,303.25439795374274,49300,100.00%,0,59.14%,0,170.1,$2.37,UTA 2,OKC 2,opp,1,Okiestro,4571,4606649965
Cole Anthony (37303107),Paul George (37303009),Luguentz Dort (37303218),Jalen Williams (37302986),Isaiah Hartenstein (37303039),Max Strus (37303260),Brice Sensabaugh (37303235),Miles Bridges (37303026),276.5685460069444,297.5069339683066,49100,100.00%,0,59.06%,0,179.2,$2.36,OKC 3,ORL 1,opp,1,DaBurg33,1195,4606827786
Shai Gilgeous-Alexander (37302935),Cason Wallace (37303281),Max Strus (37303260),Pascal Siakam (37303036),Drew Eubanks (37303397),Paul George (37303009),Svi Mykhailiuk (37303337),Devin Booker (37302957),276.47647569444445,301.07026710712313,49400,100.00%,0,59.01%,0,161.60999999999999,$2.36,OKC 2,UTA 2,opp,1,nas69,2136,4607530543
