PG,SG,SF,PF,C,G,F,UTIL,Fpts Proj,Field Fpts Proj,Ceiling,Salary,Win %,Top 10%,ROI%,Cash %,Own. Sum,Avg. Return,Stack1 Type,Stack2 Type,Lineup Type,Sim Dupes
Cole Anthony (37303107),Max Strus (37303260),Jayson Tatum (37302938),Jalen Williams (37302986),Kenrich Williams (37303423),Shai Gilgeous-Alexander (37302935),Aaron Wiggins (37303377),Day'Ron Sharpe (37303214),266.81,264.91999999999996,364.69,49800,0.0%,0.4%,-0.44%,23.8%,149.88,$-1.76,OKC 4,ORL 1,generated,1
Cole Anthony (37303107),Luguentz Dort (37303218),Brice Sensabaugh (37303235),Jayson Tatum (37302938),Evan Mobley (37302989),Jrue Holiday (37303130),Noah Clowney (37303133),Kelly Oubre Jr. (37303089),255.93,257.88,336.34999999999997,49100,0.0%,0.1%,-0.44%,16.3%,151.03,$-1.76,BOS 2,ORL 1,generated,1
Keon Johnson (37303113),Cason Wallace (37303281),Bilal Coulibaly (37303080),Micah Potter (37303452),Isaiah Hartenstein (37303039),Devin Booker (37302957),Noah Clowney (37303133),Kevin Durant (37302953),263.59000000000003,253.94,345.4,49300,0.0%,0.6%,-0.44%,23.0%,138.93,$-1.74,BKN 2,OKC 2,generated,1
Jrue Holiday (37303130),Paul George (37303009),Ricky Council IV (37303632),Guerschon Yabusele (37303103),Jonas Valanciunas (37303111),Jaylen Brown (37302978),Brice Sensabaugh (37303235),LaMelo Ball (37302944),253.95,253.53000000000003,338.90999999999997,49700,0.0%,0.5%,-0.44%,14.0%,114.08,$-1.76,PHI 3,BOS 2,generated,1
Shai Gilgeous-Alexander (37302935),Donovan Mitchell (37302974),Isaiah Joe (37303303),Ricky Council IV (37303632),Myles Turner (37303072),Isaiah Collier (37303246),Kenrich Williams (37303423),Jayson Tatum (37302938),263.09999999999997,257.3,355.09000000000003,49900,0.0%,1.0%,-0.44%,19.7%,143.35000000000002,$-1.75,OKC 3,CLE 1,generated,1
Devin Booker (37302957),Cason Wallace (37303281),Ricky Council IV (37303632),Obi Toppin (37303242),Jonathan Isaac (37303342),Jaylen Brown (37302978),Jayson Tatum (37302938),Isaiah Hartenstein (37303039),261.35999999999996,255.37,348.09000000000003,49600,0.0%,0.7%,-0.44%,19.4%,144.28,$-1.77,OKC 2,BOS 2,generated,1
Cason Wallace (37303281),Jaylen Brown (37302978),Jayson Tatum (37302938),Noah Clowney (37303133),Jaylin Williams (37303372),Shai Gilgeous-Alexander (37302935),Kyle Filipowski (37303285),Brice Sensabaugh (37303235),273.48,268.78999999999996,365.60999999999996,49600,0.0%,0.3%,-0.44%,27.8%,246.2,$-1.75,OKC 3,BOS 2,generated,1
Tyrese Maxey (37302947),Isaiah Joe (37303303),Jayson Tatum (37302938),Kyle Filipowski (37303285),Jonathan Isaac (37303342),Tyrese Martin (37303145),Brice Sensabaugh (37303235),Kevin Durant (37302953),262.34,257.74,349.96,49300,0.0%,0.7%,-0.44%,22.7%,183.65,$-1.74,UTA 2,PHI 1,generated,1
Andrew Nembhard (37303179),Derrick White (37303047),Luguentz Dort (37303218),Ricky Council IV (37303632),Isaiah Hartenstein (37303039),LaMelo Ball (37302944),Kevin Durant (37302953),Cason Wallace (37303281),263.29,259.87,343.15000000000003,49000,0.0%,0.8%,-0.44%,20.6%,169.62,$-1.77,OKC 3,IND 1,generated,1
Jrue Holiday (37303130),Collin Sexton (37303043),Max Strus (37303260),Paolo Banchero (37302950),Kyle Filipowski (37303285),Isaiah Collier (37303246),Tyrese Martin (37303145),Shai Gilgeous-Alexander (37302935),262.84999999999997,253.97999999999996,356.26,49000,0.0%,0.8%,-0.44%,22.5%,179.45000000000002,$-1.76,UTA 3,BOS 1,generated,1
