PG,SG,SF,PF,C,G,F,UTIL,Proj,Ceiling,Salary,Cash %,Top 1%,ROI%,Wins,Own Sum,Avg Return,Stack1,Stack2,Lineup,Dupes,User,Index,Entry ID
Vit Krejci (37338481),Stephon Castle (37338477),Paul George (37338105),David Roddy (37338933),Nikola Jokic (37338012),Bogdan Bogdanovic (37338369),Michael Porter Jr. (37338208),Desmond Bane (37338134),283.58750000000003,316.42021859775207,49900,30.46%,0,-54.55%,0,147.47,$-4.36,ATL 3,DEN 2,opp,1,tann3rcook,1012,4611361642
Stephon Castle (37338477),Donte DiVincenzo (37338260),Brice Sensabaugh (37338383),Giannis Antetokounmpo (37338014),Victor Wembanyama (37338018),Keaton Wallace (37338930),Bogdan Bogdanovic (37338369),Yves Missi (37338327),283.57,320.8686112342001,49600,30.53%,0,-54.65%,0,162.7,$-4.37,SAS 2,ATL 2,opp,1,Miklop,3207,4610720571
Jalen Brunson (37338088),Vit Krejci (37338481),Trey Murphy III (37338144),Brice Sensabaugh (37338383),Daniel Gafford (37338424),Dejounte Murray (37338096),Jaden McDaniels (37338396),Josh Giddey (37338141),283.463125,316.166432027964,49000,30.17%,0,-54.91%,0,130.63,$-4.39,NOP 2,NYK 1,opp,1,dacoltz,1847,4611176105
Vit Krejci (37338481),Bogdan Bogdanovic (37338369),Jaden McDaniels (37338396),Brice Sensabaugh (37338383),Victor Wembanyama (37338018),Mikal Bridges (37338239),Quentin Grimes (37338318),LaMelo Ball (37338029),283.458125,315.3506914099186,49800,30.01%,0,-55.19%,0,137.26999999999998,$-4.42,ATL 2,MIN 1,opp,1,AJ.GR33R,2465,4611134589
Keaton Wallace (37338930),Mikal Bridges (37338239),Klay Thompson (37338250),Paolo Banchero (37338047),Wendell Carter Jr. (37338391),Bogdan Bogdanovic (37338369),Andrew Wiggins (37338228),LaMelo Ball (37338029),283.35812500000003,314.61953239331916,49200,29.90%,0,-55.25%,0,116.85,$-4.42,ATL 2,ORL 2,opp,1,cheddabisque,2436,4610880353
Stephon Castle (37338477),Bogdan Bogdanovic (37338369),Trey Murphy III (37338144),Giannis Antetokounmpo (37338014),Jonathan Isaac (37338510),Keaton Wallace (37338930),Klay Thompson (37338250),Anthony Edwards (37338044),283.49999999999994,318.7178903399962,49500,29.88%,0,-55.49%,0,138.70999999999998,$-4.44,ATL 2,SAS 1,opp,1,papagates,3671,4611025987
Keaton Wallace (37338930),Bogdan Bogdanovic (37338369),OG Anunoby (37338270),Precious Achiuwa (37338518),Kyle Filipowski (37338420),Devin Vassell (37338234),Giannis Antetokounmpo (37338014),Victor Wembanyama (37338018),283.44437500000004,319.47426751546686,50000,29.76%,0,-55.76%,0,144.49,$-4.46,ATL 2,NYK 2,opp,1,ShaidyAdvice,2515,4611355648
Jalen Brunson (37338088),Bogdan Bogdanovic (37338369),Garrison Mathews (37338609),Jayson Tatum (37338023),Victor Wembanyama (37338018),Stephon Castle (37338477),Jaden McDaniels (37338396),Jeremiah Robinson-Earl (37338708),283.5989279513889,317.53679109679604,49200,29.62%,0,-55.94%,0,160.64000000000001,$-4.48,ATL 2,SAS 2,opp,1,sickomobamba,1357,4610787512
Stephon Castle (37338477),Bogdan Bogdanovic (37338369),Garrison Mathews (37338609),Jonathan Isaac (37338510),Nikola Jokic (37338012),Trey Murphy III (37338144),David Roddy (37338933),Victor Wembanyama (37338018),283.55000000000007,320.1324561777911,49600,29.54%,0,-56.02%,0,159.37,$-4.48,ATL 3,SAS 2,opp,1,giantsquid,3523,4610921576
Jalen Brunson (37338088),Cole Anthony (37338216),Brice Sensabaugh (37338383),Precious Achiuwa (37338518),Wendell Carter Jr. (37338391),Bogdan Bogdanovic (37338369),Dillon Brooks (37338345),Nikola Jokic (37338012),283.394375,318.20949588999736,49100,29.46%,0,-56.04%,0,144.11,$-4.48,NYK 2,ORL 2,opp,1,iamthesqweez,1091,4611048261
Vit Krejci (37338481),Stephon Castle (37338477),Cam Whitmore (37338526),Brice Sensabaugh (37338383),Victor Wembanyama (37338018),Bogdan Bogdanovic (37338369),Giannis Antetokounmpo (37338014),Mark Williams (37338232),283.56,322.4899396351959,49600,29.41%,0,-56.14%,0,199.24,$-4.49,ATL 2,SAS 2,opp,1,ShaidyAdvice,4359,4611355670
Stephon Castle (37338477),Nickeil Alexander-Walker (37338562),Josh Hart (37338127),Paolo Banchero (37338047),Onyeka Okongwu (37338359),LaMelo Ball (37338029),Devin Vassell (37338234),Wendell Carter Jr. (37338391),283.36062499999997,315.86372366176585,49600,29.23%,0,-56.24%,0,117.41,$-4.5,SAS 2,ORL 2,opp,1,cheddabisque,2195,4610880354
Vit Krejci (37338481),Trey Murphy III (37338144),Josh Hart (37338127),Brice Sensabaugh (37338383),Wendell Carter Jr. (37338391),Jrue Holiday (37338323),Quentin Grimes (37338318),Giannis Antetokounmpo (37338014),283.3041493055556,316.5371135262939,49700,29.21%,0,-56.33%,0,117.25,$-4.51,ATL 1,NOP 1,opp,1,Sedonafish1,2337,4611183497
Vit Krejci (37338481),Coby White (37338195),Paul George (37338105),Jeremiah Robinson-Earl (37338708),Julius Randle (37338149),Dyson Daniels (37338165),Bogdan Bogdanovic (37338369),Alperen Sengun (37338065),283.3875,313.6563389357632,49400,29.24%,0,-56.33%,0,117.57,$-4.51,ATL 3,CHI 1,opp,1,beaker913,981,4611131640
Dyson Daniels (37338165),Bogdan Bogdanovic (37338369),Josh Hart (37338127),PJ Washington (37338176),Jeremiah Robinson-Earl (37338708),Keaton Wallace (37338930),Tristan da Silva (37338374),Nikola Jokic (37338012),283.370625,314.4264187045004,49300,29.18%,0,-56.41%,0,116.19,$-4.51,ATL 3,NYK 1,opp,1,dacoltz,2331,4611176213
Jalen Brunson (37338088),Bogdan Bogdanovic (37338369),Quentin Grimes (37338318),Paolo Banchero (37338047),Daniel Gafford (37338424),Keyonte George (37338282),Jeremiah Robinson-Earl (37338708),Anthony Edwards (37338044),283.483125,319.37837246488425,49100,29.20%,0,-56.48%,0,136.71,$-4.52,DAL 2,NYK 1,opp,1,tomjk321,1611,4611006841
Stephon Castle (37338477),Bogdan Bogdanovic (37338369),Jaden McDaniels (37338396),Brice Sensabaugh (37338383),Wendell Carter Jr. (37338391),Garrison Mathews (37338609),Giannis Antetokounmpo (37338014),Nikola Jokic (37338012),283.48,321.4688299372329,49300,29.11%,0,-56.79%,0,171.44,$-4.54,ATL 2,SAS 1,opp,1,Dent_Face,3035,4610578553
Dejounte Murray (37338096),Mikal Bridges (37338239),Keldon Johnson (37338409),Jeremiah Robinson-Earl (37338708),Rudy Gobert (37338268),Stephon Castle (37338477),Jaren Jackson Jr. (37338053),Alperen Sengun (37338065),283.258125,315.381589822635,49100,28.67%,0,-57.13%,0,101.39,$-4.57,NOP 2,SAS 2,opp,1,ShaidyAdvice,2490,4611355709
Chris Paul (37338220),Bogdan Bogdanovic (37338369),Josh Hart (37338127),Brice Sensabaugh (37338383),Alperen Sengun (37338065),Vit Krejci (37338481),Devin Vassell (37338234),Trey Murphy III (37338144),283.430625,313.8366280687443,49100,28.65%,0,-57.24%,0,132.89,$-4.58,SAS 2,ATL 2,opp,1,rsbathla,2223,4610883055
Stephon Castle (37338477),Garrison Mathews (37338609),Trey Murphy III (37338144),Michael Porter Jr. (37338208),Victor Wembanyama (37338018),Keaton Wallace (37338930),Zach LaVine (37338073),Mark Williams (37338232),283.42,317.12361998361604,49900,28.69%,0,-57.26%,0,147.99,$-4.58,SAS 2,ATL 2,opp,1,RoyalPain21,3469,4610916015
Jalen Brunson (37338088),Quentin Grimes (37338318),OG Anunoby (37338270),Precious Achiuwa (37338518),Wendell Carter Jr. (37338391),Ja Morant (37338082),Tristan da Silva (37338374),Alperen Sengun (37338065),283.3175,316.0212512411248,49100,28.52%,0,-57.48%,0,104.66999999999999,$-4.6,NYK 3,ORL 2,opp,1,tomjk321,532,4611006834
