Player,Position,Team,Cash%,Win%,Top1%,Sim. Own%,Proj. Own%,Avg. Return
robert williams,C/PF/F/UTIL,POR,8.82%,0.0%,0.03%,0.05%,0.04%,$-0.83
bogdan bogdanovic,SF/SG/G/F/UTIL,ATL,8.5%,0.0%,0.03%,0.1%,0.05%,$-0.85
christian wood,PF/F/UTIL,LAL,8.19%,0.0%,0.03%,0.06%,0.04%,$-0.86
saddiq bey,SF/F/UTIL,WAS,7.52%,0.0%,0.02%,0.05%,0.04%,$-0.88
trevelin queen,PG/SG/G/UTIL,ORL,5.66%,0.0%,0.02%,0.01%,0.03%,$-0.88
jabari smith jr.,C/PF/F/UTIL,HOU,6.12%,0.0%,0.01%,0.05%,0.05%,$-0.9
clint capela,C/UTIL,ATL,5.0%,0.0%,0.01%,0.03%,0.05%,$-0.9
donte divincenzo,PG/G/UTIL,MIN,5.08%,0.0%,0.01%,0.04%,0.05%,$-0.92
malcolm brogdon,PG/SG/G/UTIL,WAS,4.22%,0.0%,0.01%,0.11%,0.06%,$-0.93
alexandre sarr,C/PF/F/UTIL,WAS,3.54%,0.0%,0.0%,0.11%,0.05%,$-0.94
drew eubanks,C/UTIL,UTA,2.87%,0.0%,0.0%,0.03%,0.05%,$-0.94
dean wade,C/UTIL,CLE,0%,0%,0%,0.0%,0.04%,$-0.96
anthony davis,C/UTIL,LAL,0.46%,0.0%,0.0%,0.27%,0.1%,$-0.99
