Player,Position,Team,UpdatedProjection,UpdatedStdDev,Cash%,Top1%,Sim. Own%,Proj. Own%,Avg. Return,Game Minutes Remaining
Dejounte Murray,PG/G/UTIL,NOP,0,0.0,0.0%,0.0%,0.02%,0.03%,$-2.52,48
Dillon Jones,PF/F/UTIL,OKC,8.33,4.91,0.0%,0.0%,0.01%,0.01%,$-2.52,48
AJ Johnson,SG/G/UTIL,MIL,0,0.0,0.0%,0.0%,0.01%,0.03%,$-2.52,48
Nikola Topic,PG/G/UTIL,OKC,0,0.0,0.0%,0.0%,0.02%,0.03%,$-2.52,48
RayJ Dennis,PG/G/UTIL,IND,0,0.0,0.0%,0.0%,0.02%,0.03%,$-2.52,48
James Wiseman,C/UTIL,IND,0,0.0,0.0%,0.0%,0.02%,0.03%,$-2.52,48
Tristen Newton,PG/G/UTIL,MIN,0,0.0,0.0%,0.0%,0.03%,0.03%,$-2.52,48
Jeff Green,C/PF/F/UTIL,HOU,8.04,4.42,0.0%,0.0%,0.02%,0.01%,$-2.52,48
Joe Ingles,PF/F/UTIL,MIN,7.09,4.01,0.0%,0.0%,0.01%,0.01%,$-2.52,48
Mason Jones,SG/G/UTIL,SAC,7.75,5.12,0.0%,0.0%,0.01%,0.01%,$-2.52,48
Mo Bamba,C/UTIL,UTA,0,0.0,0.0%,0.0%,0.01%,0.03%,$-2.52,48
Ajay Mitchell,PG/G/UTIL,OKC,0,0.0,0.0%,0.0%,0.01%,0.03%,$-2.52,48
Oscar Tshiebwe,C/UTIL,UTA,0,0.0,0.0%,0.0%,0.01%,0.03%,$-2.52,48
DaRon Holmes II,C/UTIL,DEN,0,0.0,0.0%,0.0%,0.01%,0.03%,$-2.52,48
Terrence Shannon Jr.,SG/G/UTIL,MIN,0,0.0,0.0%,0.0%,0.01%,0.03%,$-2.52,48
N'Faly Dante,C/UTIL,HOU,0,0.0,0.0%,0.0%,0.01%,0.03%,$-2.52,48
Reed Sheppard,PG/SG/G/UTIL,HOU,9.45,5.24,0.0%,0.0%,0.01%,0.01%,$-2.52,48
Alexandre Sarr,C/PF/F/UTIL,WAS,0,0.0,0.0%,0.0%,0.01%,0.05%,$-2.52,48
Devin Carter,PG/SG/G/UTIL,SAC,17.27,8.09,9.75%,0.0%,7.12%,8.32%,$-2.53,48
Lauri Markkanen,PF/SF/F/UTIL,UTA,31.99,11.16,9.33%,0.0%,3.1%,1.67%,$-2.54,48
Isaiah Collier,PG/SG/G/UTIL,UTA,26.32,8.41,9.37%,0.0%,2.64%,2.33%,$-2.55,48
Miles McBride,PG/SG/G/UTIL,NYK,21.24,7.8,8.87%,0.0%,7.45%,7.7%,$-2.56,48
Nickeil Alexander-Walker,SF/SG/G/F/UTIL,MIN,24.8,7.58,9.09%,0.0%,2.77%,1.67%,$-2.57,48
Tobias Harris,PF/F/UTIL,DET,28.96,8.94,8.27%,0.0%,2.93%,3.69%,$-2.59,48
Vasilije Micic,PG/G/UTIL,CHA,30.48,8.41,7.72%,0.0%,0.71%,4.89%,$-2.60,48
Mikal Bridges,SF/SG/G/F/UTIL,NYK,28.99,7.28,7.31%,0.0%,0.24%,0.12%,$-2.61,48
Scotty Pippen Jr.,PG/G/UTIL,MEM,22.08,10.8,7.5%,0.0%,0.56%,0.9%,$-2.61,48
Steven Adams,C/UTIL,HOU,20.08,9.74,7.89%,0.0%,0.18%,0.37%,$-2.61,48
Jaden McDaniels,SF/F/UTIL,MIN,31.14,7.15,8.47%,0.0%,1.0%,0.81%,$-2.63,48
Luguentz Dort,SF/SG/G/F/UTIL,OKC,23.5,6.5,7.31%,0.0%,2.62%,1.72%,$-2.64,48
Andrew Nembhard,PG/SG/G/UTIL,IND,27.78,9.49,7.32%,0.0%,2.51%,2.12%,$-2.64,48
Onyeka Okongwu,C/UTIL,ATL,31.81,12.22,6.27%,0.0%,1.03%,2.0%,$-2.69,48
Obi Toppin,C/PF/F/UTIL,IND,17.02,9.2,6.74%,0.0%,0.78%,0.84%,$-2.69,48
Jordan Hawkins,PG/SG/G/UTIL,NOP,21.9,7.42,6.5%,0.0%,1.89%,1.86%,$-2.70,48
CJ McCollum,PG/SG/G/UTIL,NOP,35.4,9.75,6.15%,0.0%,3.38%,2.35%,$-2.71,48
Tim Hardaway Jr.,SF/SG/G/F/UTIL,DET,21.46,5.97,5.62%,0.0%,0.64%,1.36%,$-2.71,48
Malik Beasley,SG/G/UTIL,DET,24.91,9.32,5.88%,0.0%,1.87%,3.65%,$-2.72,48
Kenrich Williams,C/PF/F/UTIL,OKC,18.26,8.33,5.91%,0.0%,2.03%,1.94%,$-2.72,48
Bilal Coulibaly,SF/SG/G/F/UTIL,WAS,27.13,7.1,5.83%,0.0%,1.97%,4.04%,$-2.73,48
Bennedict Mathurin,SF/F/UTIL,IND,23.68,9.59,5.66%,0.0%,0.56%,0.65%,$-2.74,48
Ja Morant,PG/G/UTIL,MEM,37.75,15.03,4.53%,0.0%,4.58%,3.79%,$-2.78,48
Simone Fontecchio,PF/F/UTIL,DET,11.21,5.92,4.15%,0.0%,0.23%,0.01%,$-2.78,48
Kyshawn George,PF/SF/F/UTIL,WAS,16.24,6.35,4.12%,0.0%,0.65%,0.1%,$-2.79,48
Collin Sexton,PG/SG/G/UTIL,UTA,30.6,12.14,4.55%,0.0%,1.0%,0.75%,$-2.80,48
Dyson Daniels,PG/SG/G/UTIL,ATL,33.32,9.03,4.28%,0.0%,1.14%,0.93%,$-2.81,48
Isaiah Stewart,C/UTIL,DET,16.77,8.17,3.84%,0.0%,0.43%,5.91%,$-2.82,48
Ronald Holland II,PF/SF/F/UTIL,DET,15.44,7.87,2.35%,0.0%,0.13%,0.33%,$-2.82,48
Chris Paul,PG/G/UTIL,SAS,27.6,9.68,3.69%,0.0%,2.22%,2.97%,$-2.82,48
Jalen Pickett,PG/SG/G/UTIL,DEN,12.69,6.66,0.67%,0.0%,0.08%,0.1%,$-2.82,48
Jordan Clarkson,SG/G/UTIL,UTA,24.53,10.68,3.4%,0.0%,1.56%,1.83%,$-2.83,48
Walker Kessler,C/UTIL,UTA,29.71,11.0,3.88%,0.0%,0.77%,1.29%,$-2.83,48
Jabari Smith Jr.,C/PF/F/UTIL,HOU,0,0.0,0.0%,0.0%,0.08%,0.05%,$-2.84,48
KJ Simpson,PG/G/UTIL,CHA,21.23,9.4,0.98%,0.0%,1.37%,0.17%,$-2.85,48
Brice Sensabaugh,PF/SF/F/UTIL,UTA,12.54,6.89,1.37%,0.0%,0.19%,0.1%,$-2.87,48
Thomas Bryant,C/UTIL,IND,14.18,8.3,0.09%,0.0%,0.07%,0.23%,$-2.88,48
Alperen Sengun,C/UTIL,HOU,0,0.0,0.0%,0.0%,0.07%,0.09%,$-2.88,48
Bobby Portis,C/PF/F/UTIL,MIL,0,0.0,0.0%,0.0%,0.07%,0.05%,$-2.88,48
Peyton Watson,PF/SF/F/UTIL,DEN,0,0.0,0.0%,0.0%,0.07%,0.03%,$-2.88,48
Fred VanVleet,PG/G/UTIL,HOU,0,0.0,0.0%,0.0%,0.07%,0.07%,$-2.88,48
Keyonte George,PG/G/UTIL,UTA,26.67,10.31,3.3%,0.0%,0.34%,0.44%,$-2.90,48
Desmond Bane,SG/G/UTIL,MEM,0,0.0,0.0%,0.0%,0.13%,0.08%,$-2.91,48
Moussa Diabate,C/UTIL,CHA,19.28,9.05,1.18%,0.0%,0.45%,0.1%,$-2.92,48
T.J. McConnell,PG/G/UTIL,IND,20.2,11.65,1.59%,0.0%,1.05%,1.66%,$-2.93,48
Yves Missi,C/UTIL,NOP,23.11,8.39,0.82%,0.0%,0.39%,1.02%,$-2.94,48
Larry Nance Jr.,C/UTIL,ATL,17.55,8.67,0.14%,0.0%,0.06%,0.13%,$-2.94,48
Leonard Miller,C/PF/F/UTIL,MIN,0,0.0,0.0%,0.0%,0.06%,0.03%,$-2.94,48
Julius Randle,C/PF/F/UTIL,MIN,0,0.0,0.0%,0.0%,0.18%,0.07%,$-2.94,48
Jarace Walker,PF/SF/F/UTIL,IND,0,0.0,0.0%,0.0%,0.06%,0.03%,$-2.94,48
Jacob Toppin,PF/F/UTIL,NYK,0,0.0,0.0%,0.0%,0.06%,0.03%,$-2.94,48
De'Aaron Fox,PG/G/UTIL,SAS,0,0.0,0.0%,0.0%,0.06%,0.07%,$-2.94,48
Brandon Boston Jr.,SF/SG/G/F/UTIL,NOP,14.33,7.33,0.01%,0.0%,0.17%,0.1%,$-2.97,48
Josh Green,SF/F/UTIL,CHA,19.67,4.93,0.26%,0.0%,0.6%,0.1%,$-2.98,48
Dominick Barlow,C/UTIL,ATL,12.25,7.03,0.05%,0.0%,0.11%,0.01%,$-2.98,48
Jalen Williams,PF/F/UTIL,OKC,0,0.0,0.0%,0.0%,0.11%,0.08%,$-2.98,48
