Name,Position,Team,Site,Projection,Price,Value,Ownership,+/-,Opponent,Team Total,Game Total,min,max,lock,exclude,Projections 👉,Points,3 pointers,Rebounds,Assists,Blocks,Steals,Turnovers,Minutes,Site ID,Slate ID
Jae Crowder,PF,SAC,dk,9.3,3300,2.8,0,-7,MEM,119.75,243,,,,,Proj 👉,2.4,0.5,1.2,0.5,0.1,0.3,0.2,14.0,552381,36902496
Torrey Craig,PF,CHI,dk,9.0,3300,2.7,0,-7,SAS,117,236,,,,,Proj 👉,1.4,0.3,0.6,0.1,0.1,0.1,0.0,10.0,561589,36902499
Johnny Davis,SG/SF,WAS,dk,8.9,3000,3,0,-6,DAL,109,232,,,,,Proj 👉,0.9,0.1,0.4,0.1,0.0,0.1,0.0,12.0,1231530,36902660
Moussa Diabate,C,CHA,dk,8.4,4500,1.9,0,-14,NYK,101.75,218,,,,,Proj 👉,0.9,0.0,2.3,0.2,0.3,0.2,0.3,10.0,1324359,36902349
Ajay Mitchell,PG,OKC,dk,7.8,3000,2.6,0,-7,TOR,118.75,227,,,,,Proj 👉,1.7,0.2,0.5,0.5,0.0,0.3,0.2,11.0,1340238,36902748
Justin Champagnie,SF,WAS,dk,7.7,3000,2.6,0,-7,DAL,109,232,,,,,Proj 👉,1.3,0.2,0.8,0.3,0.1,0.2,0.2,8.0,1175260,36902673
Keon Ellis,PG/SG,SAC,dk,7.5,3900,1.9,0,-12,MEM,119.75,243,,,,,Proj 👉,2.0,0.4,0.6,0.3,0.3,0.3,0.3,10.0,1231210,36902448
Jaden Hardy,PG/SG,DAL,dk,7.5,4200,1.8,0,-13,WAS,123,232,,,,,Proj 👉,1.8,0.2,0.4,0.4,0.0,0.2,0.4,10.0,1357748,36902395
Jay Huff,C,MEM,dk,7.0,3300,2.1,0,-9,SAC,123.25,243,,,,,Proj 👉,1.6,0.3,0.4,0.1,0.3,0.1,0.1,6.0,942843,36902506
Jamison Battle,SF,TOR,dk,6.8,3100,2.2,0,-8,OKC,108.25,227,,,,,Proj 👉,1.4,0.3,0.5,0.2,0.0,0.0,0.1,8.0,1174935,36902532
Maxi Kleber,PF/C,DAL,dk,6.1,3500,1.7,0,-11,WAS,123,232,,,,,Proj 👉,0.7,0.1,0.9,0.2,0.1,0.0,0.2,12.0,1072048,36902492
Dean Wade,SF/PF,CLE,dk,5.9,3600,1.6,0,-12,DEN,118,232.5,,,,,Proj 👉,1.2,0.3,0.9,0.3,0.1,0.2,0.1,8.0,880677,36902484
Richaun Holmes,C,WAS,dk,5.7,3000,1.9,0,-9,DAL,109,232,,,,,Proj 👉,0.8,0.0,0.8,0.1,0.1,0.1,0.1,6.0,695069,36902665
Jamal Shead,PG,TOR,dk,5.5,3000,1.8,0,-9,OKC,108.25,227,,,,,Proj 👉,0.9,0.1,0.2,0.6,0.0,0.1,0.3,7.0,1231795,36902635
Branden Carlson,C,OKC,dk,4.7,3000,1.6,0,-10,TOR,118.75,227,,,,,Proj 👉,0.1,0.0,0.1,0.0,0.0,0.0,0.0,2.0,1177008,36902746
Seth Curry,SG,CHA,dk,3.7,3000,1.2,0,-11,NYK,101.75,218,,,,,Proj 👉,0.8,0.1,0.2,0.1,0.0,0.1,0.1,6.0,463135,36902696
Tyty Washington Jr,PG,PHX,dk,3.7,3000,1.2,0,-11,NOP,112.25,223,,,,,Proj 👉,0.4,0.1,0.0,0.2,0.0,0.1,0.0,5.0,1340789,36902709
Antonio Reeves,SF,NOP,dk,3.5,3000,1.2,0,-11,PHX,110.75,223,,,,,Proj 👉,0.6,0.1,0.1,0.1,0.0,0.0,0.0,4.0,1193678,36902547
Chris Duarte,SG,CHI,dk,3.5,3000,1.2,0,-11,SAS,117,236,,,,,Proj 👉,0.2,0.0,0.1,0.0,0.0,0.0,0.0,3.0,1194085,36902771
Jericho Sims,PF/C,NYK,dk,3.3,3300,1,0,-13,CHA,116.25,218,,,,,Proj 👉,0.3,0.0,0.5,0.1,0.1,0.0,0.1,5.0,1071933,36902502
Jevon Carter,PG/SG,CHI,dk,2.6,3000,0.9,0,-12,SAS,117,236,,,,,Proj 👉,0.2,0.0,0.1,0.1,0.0,0.0,0.0,3.0,843794,36902764
Dwight Powell,C,DAL,dk,2.5,3200,0.8,0,-13,WAS,123,232,,,,,Proj 👉,0.1,0.0,0.2,0.1,0.1,0.0,0.0,3.0,552309,36902527
Zeke Nnaji,C,DEN,dk,2.4,3000,0.8,0,-12,CLE,114.5,232.5,,,,,Proj 👉,0.1,0.0,0.1,0.0,0.0,0.0,0.0,4.0,1193676,36902818
Deandre Jordan,C,DEN,dk,1.7,3000,0.6,0,-13,CLE,114.5,232.5,,,,,Proj 👉,0.1,0.0,0.2,0.0,0.0,0.0,0.1,2.0,398142,36902808
Adam Flagler,PG,OKC,dk,1.6,3000,0.5,0,-13,TOR,118.75,227,,,,,Proj 👉,0.1,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1136581,36902751
Dario Saric,C,DEN,dk,1.6,3000,0.5,0,-13,CLE,114.5,232.5,,,,,Proj 👉,0.2,0.0,0.2,0.1,0.0,0.0,0.1,2.0,830641,36902538
