id,last_name,first_name,value,team,position,opponent,minutes,points,threes,rebounds,assists,steals,blocks,turnovers,twos,free throws,free_throws_missed,field goals,field_goals_missed,double doubles,triple doubles,injury
6601,Cain,Jamal,7.72,NOR,F,SAC,10.00,3.89,0.47,1.62,0.39,0.40,0.17,0.31,0.92,0.64,0.22,1.39,1.76,0.00,0.000,,
6938,Holland,Ron,7.55,DET,F,@ BOS,10.00,3.33,0.27,2.03,0.54,0.37,0.11,0.45,0.97,0.58,0.19,1.24,1.81,0.00,0.000,,
6572,Robinson,Orlando,6.50,SAC,C,@ NOR,7.00,2.18,0.10,2.33,0.53,0.14,0.24,0.40,0.73,0.42,0.13,0.83,0.75,0.00,0.000,,
6868,Jemison,Trey,5.02,NOR,C,SAC,7.00,1.73,0.00,1.65,0.30,0.18,0.31,0.41,0.77,0.19,0.09,0.77,0.63,0.00,0.000,,
6547,Davison,J.D.,4.64,BOS,G,DET,5.00,1.83,0.25,0.76,0.89,0.17,0.10,0.28,0.45,0.18,0.07,0.70,0.93,0.00,0.000,Playing,
6168,Tillman,Xavier,4.51,BOS,F,DET,6.00,1.43,0.16,1.30,0.35,0.26,0.22,0.23,0.40,0.15,0.15,0.56,0.74,0.00,0.000,,
6795,Peterson,Drew,3.86,BOS,F,DET,5.00,1.63,0.30,0.83,0.50,0.16,0.07,0.34,0.29,0.15,0.03,0.59,0.80,0.00,0.000,Playing,
6766,Walsh,Jordan,3.64,BOS,F,DET,6.00,1.32,0.28,0.98,0.23,0.24,0.11,0.19,0.20,0.08,0.06,0.48,0.83,0.00,0.000,Playing,
7078,Battle,Jamison,2.21,TOR,F,@ MIA,3.00,1.16,0.25,0.50,0.13,0.05,0.03,0.11,0.16,0.09,0.02,0.41,0.58,0.00,0.000,Active,
6285,Barnes,Scottie,0.00,TOR,F,@ MIA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,Injured,
7062,Crawford,Isaiah,0.00,SAC,F,@ NOR,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,G-League,
6507,Duren,Jalen,0.00,DET,C,@ BOS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,Out,
6363,Alvarado,Jose,0.00,NOR,G,SAC,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,Injured,
3934,McDermott,Doug,0.00,SAC,F,@ NOR,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,,
5488,Bryant,Thomas,0.00,MIA,C,TOR,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,,
3356,Burks,Alec,0.00,MIA,G,TOR,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,,
6534,Moore,Wendell,0.00,DET,G,@ BOS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,Off Injury Report,
6312,Queta,Neemias,0.00,BOS,C,DET,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,,
6579,Swider,Cole,0.00,DET,F,@ BOS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,G-League,
6197,Jones,Mason,0.00,SAC,G,@ NOR,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,G-League,
6326,Robinson-Earl,Jeremiah,0.00,NOR,F,SAC,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,Out,
6121,Williamson,Zion,0.00,NOR,F,SAC,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,Injured,
3720,Len,Alex,0.00,SAC,C,@ NOR,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,,
5450,Tatum,Jayson,0.00,BOS,F,DET,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,Out,
6995,Johnson,Keshad,0.00,MIA,F,TOR,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,G-League,
6307,Christopher,Josh,0.00,MIA,G,TOR,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,G-League,
6286,Springer,Jaden,0.00,BOS,G,DET,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,Out,
6972,Klintman,Bobi,0.00,DET,F,@ BOS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,Injured,
5853,Green,Javonte,0.00,NOR,G,SAC,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,Out,
3456,Crowder,Jae,0.00,SAC,F,@ NOR,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,,
6757,Jones,Colby,0.00,SAC,G,@ NOR,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,,
5648,Boucher,Chris,0.00,TOR,F,@ MIA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,,
6048,Fernando,Bruno,0.00,TOR,C,@ MIA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,Starting,
5046,Richardson,Josh,0.00,MIA,G,TOR,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,Injured,
