Name,Position,Team,Site,Projection,Price,Value,Ownership,+/-,Opponent,Team Total,Game Total,min,max,lock,exclude,Projections 👉,Points,3 pointers,Rebounds,Assists,Blocks,Steals,Turnovers,Minutes,Site ID,Slate ID
Karlo Matkovic,PF/C,NOP,dk,0.00,3000,0,0,-15,SAC,112.25,231.5,,,,,Proj 👉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1349638,36987765
Jaden Springer,SG/SF,BOS,dk,0.00,3000,0,0,-15,DET,118.25,225,,,,,Proj 👉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1231665,36987794
Josh Richardson,PG/SG,MIA,dk,0.00,3000,0,0,-15,TOR,117.25,224.5,,,,,Proj 👉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,604288,36987748
Kelel Ware,C,MIA,dk,0.00,3000,0,0,-15,TOR,117.25,224.5,,,,,Proj 👉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1405458,36987746
Jordan Hawkins,PG/SG,NOP,dk,0.00,4700,0,0,-23,SAC,112.25,231.5,,,,,Proj 👉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1327798,36987647
Wendell Moore Jr,PG/SG,DET,dk,0.00,3000,0,0,-15,BOS,106.75,225,,,,,Proj 👉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1174855,36987847
Brandon Ingram,PG,NOP,dk,0.00,8200,0,0,-41,SAC,112.25,231.5,,,,,Proj 👉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,887665,36987539
Mason Jones,SG,SAC,dk,0.00,3000,0,0,-15,NOP,119.25,231.5,,,,,Proj 👉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1134017,36987820
Jordan Walsh,SG/SF,BOS,dk,0.00,3000,0,0,-15,DET,118.25,225,,,,,Proj 👉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1401388,36987783
Doug Mcdermott,PF,SAC,dk,0.00,3200,0,0,-16,NOP,119.25,231.5,,,,,Proj 👉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,554804,36987717
Baylor Scheierman,SG/SF,BOS,dk,0.00,3000,0,0,-15,DET,118.25,225,,,,,Proj 👉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1177129,36987771
Jamal Cain,SF,NOP,dk,0.00,3000,0,0,-15,SAC,112.25,231.5,,,,,Proj 👉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1060409,36987762
Trey Lyles,C,SAC,dk,0.00,5100,0,0,-25,NOP,119.25,231.5,,,,,Proj 👉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,845596,36987619
Garrett Temple,SG,TOR,dk,0.00,3000,0,0,-15,MIA,107.25,224.5,,,,,Proj 👉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,263903,36987802
Zion Williamson,PF,NOP,dk,0.00,8700,0,0,-43,SAC,112.25,231.5,,,,,Proj 👉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1132025,36987528
Sam Hauser,SF/PF,BOS,dk,0.00,4800,0,0,-24,DET,118.25,225,,,,,Proj 👉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,922378,36987633
Daniel Theis,C,NOP,dk,0.00,3000,0,0,-15,SAC,112.25,231.5,,,,,Proj 👉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1066725,36987769
