id,last_name,first_name,value,team,position,opponent,minutes,points,threes,rebounds,assists,steals,blocks,turnovers,twos,free throws,free_throws_missed,field goals,field_goals_missed,double doubles,triple doubles,injury
5700,DiVincenzo,Donte,25.72,MIN,G,@ ORL,30.00,12.23,2.88,3.80,3.55,1.27,0.23,2.10,1.23,1.13,0.23,4.11,6.03,0.02,0.000,Injured,
6327,Aldama,Santi,25.61,MEM,F,HOU,24.00,10.77,1.48,6.97,2.24,0.68,0.60,1.27,2.63,1.07,0.37,4.11,4.61,0.06,0.001,Questionable,
5491,Brooks,Dillon,25.37,HOU,G,@ MEM,36.00,14.49,2.33,4.09,1.86,0.90,0.29,1.21,2.78,1.94,0.34,5.11,7.61,0.03,0.000,,
3914,Dinwiddie,Spencer,25.34,DAL,G,POR,29.00,12.39,1.86,2.65,4.56,0.85,0.37,1.21,1.83,3.15,0.59,3.69,5.40,0.02,0.000,,
3901,Anderson,Kyle,24.91,GSW,F,@ DET,26.00,9.74,1.03,4.75,3.58,1.21,0.67,0.88,2.86,0.93,0.41,3.89,4.78,0.01,0.000,Questionable,
6076,Strus,Max,24.82,CLE,F,TOR,26.00,12.12,2.42,3.94,3.47,0.70,0.37,1.60,1.90,1.06,0.23,4.32,5.78,0.02,0.000,,
6195,Marshall,Naji,24.77,DAL,F,POR,25.00,14.63,1.26,3.38,2.32,1.04,0.17,1.29,4.55,1.75,0.40,5.81,5.89,0.02,0.000,Questionable,
3904,Bogdanovic,Bogdan,24.70,ATL,G,@ PHO,29.00,13.34,2.71,3.56,2.49,0.99,0.30,1.57,1.95,1.31,0.11,4.66,6.16,0.02,0.000,,
5967,Reid,Naz,24.34,MIN,C,@ ORL,26.00,12.65,1.77,4.57,1.68,0.81,0.88,1.68,2.91,1.52,0.52,4.68,5.54,0.02,0.000,,
6729,Henderson,Scoot,24.22,POR,G,@ DAL,27.00,11.17,1.08,2.96,5.02,1.09,0.21,2.78,2.95,2.03,0.50,4.03,6.01,0.05,0.000,,
6775,Camara,Toumani,23.64,POR,F,@ DAL,33.00,9.92,1.54,5.69,1.98,1.27,0.51,1.48,2.11,1.08,0.32,3.65,4.99,0.03,0.000,,
6124,Jerome,Ty,23.23,CLE,G,TOR,23.00,11.97,1.52,2.46,3.85,1.06,0.11,1.42,2.96,1.49,0.22,4.48,4.76,0.01,0.000,,
5675,Carter Jr.,Wendell,22.87,ORL,C,MIN,24.00,9.55,0.86,6.36,1.84,0.76,0.54,1.00,2.74,1.49,0.62,3.60,3.48,0.05,0.000,,
6188,McDaniels,Jaden,22.84,MIN,F,@ ORL,31.00,9.36,1.21,5.60,1.54,1.45,0.65,1.37,2.46,0.81,0.31,3.67,4.79,0.03,0.000,,
6964,da Silva,Tristan,22.74,ORL,F,MIN,33.00,11.76,1.63,5.07,1.85,0.58,0.25,1.35,2.98,0.91,0.24,4.61,6.01,0.05,0.000,,
5724,Allen,Grayson,22.43,PHO,G,ATL,25.00,11.55,2.43,3.51,2.18,0.84,0.42,1.06,1.30,1.66,0.28,3.73,4.71,0.01,0.000,,
6962,Collier,Isaiah,22.13,UTA,G,MIA,27.00,7.55,0.71,3.63,5.75,1.05,0.30,3.35,2.25,0.92,0.75,2.96,5.13,0.02,0.000,,
3689,Caldwell-Pope,Kentavious,21.68,ORL,G,MIN,33.00,10.20,1.75,2.55,2.13,1.73,0.63,1.02,1.85,1.25,0.15,3.60,4.87,0.01,0.000,,
6747,Dick,Gradey,21.39,TOR,G,@ CLE,28.00,13.52,2.05,3.02,1.42,0.68,0.12,1.37,2.50,2.37,0.33,4.55,6.55,0.02,0.000,,
6521,Jovic,Nikola,21.33,MIA,F,@ UTA,25.00,9.32,1.38,4.00,2.86,0.91,0.33,0.94,1.65,1.88,0.44,3.03,3.57,0.01,0.000,,
6961,Dunn,Ryan,21.27,PHO,F,ATL,27.00,9.15,1.41,4.46,1.35,0.91,1.18,0.78,2.33,0.26,0.25,3.74,4.62,0.01,0.000,,
6568,Juzang,Johnny,21.26,UTA,G,MIA,25.00,12.13,2.79,3.63,1.47,0.41,0.24,0.66,1.46,0.84,0.22,4.25,5.84,0.02,0.000,Injured,
6496,Waters III,Lindy,21.18,GSW,G,@ DET,28.00,10.46,2.56,3.64,1.65,0.89,0.46,0.60,1.18,0.42,0.10,3.74,5.20,0.01,0.000,,
2711,Conley,Mike,20.90,MIN,G,@ ORL,25.00,8.72,1.80,2.51,4.10,1.12,0.19,1.28,1.01,1.30,0.14,2.81,4.37,0.01,0.000,,
5752,Robinson,Duncan,20.75,MIA,F,@ UTA,22.00,11.87,2.62,1.91,2.73,0.59,0.15,0.80,1.62,0.77,0.12,4.24,5.13,0.01,0.000,,
6741,Black,Anthony,20.57,ORL,G,MIN,25.00,9.68,0.88,2.93,3.27,0.93,0.51,2.03,2.43,2.18,0.71,3.31,4.85,0.01,0.000,,
6934,Risacher,Zaccharie,20.34,ATL,F,@ PHO,25.00,11.10,1.32,3.68,1.26,0.77,0.54,1.09,2.88,1.38,0.56,4.20,6.05,0.01,0.000,Injured,
3675,Plumlee,Mason,20.23,PHO,C,ATL,20.00,4.32,0.00,8.09,2.42,0.47,0.88,1.10,1.57,1.18,0.61,1.57,0.93,0.01,0.000,,
5453,Isaac,Jonathan,20.06,ORL,F,MIN,20.00,7.44,0.86,5.42,0.66,1.06,1.31,0.70,1.82,1.22,0.47,2.68,3.57,0.02,0.000,,
3939,Nurkic,Jusuf,19.95,PHO,C,ATL,17.00,6.05,0.40,7.43,1.64,0.72,0.68,1.79,1.73,1.39,0.62,2.13,2.30,0.03,0.000,Injured,
5025,Jones,Tyus,19.87,PHO,G,ATL,23.00,8.21,1.44,2.04,4.77,0.74,0.16,1.17,1.66,0.57,0.11,3.10,3.49,0.01,0.000,,
6565,Pippen Jr.,Scotty,19.76,MEM,G,HOU,19.00,8.34,0.94,2.73,3.75,0.98,0.43,1.83,2.10,1.32,0.54,3.04,3.61,0.01,0.000,,
6519,Hardy,Jaden,19.53,DAL,G,POR,22.00,12.20,1.72,2.38,1.88,0.64,0.15,1.83,2.79,1.46,0.28,4.51,5.67,0.01,0.000,Questionable,
5977,Gafford,Daniel,19.07,DAL,F,POR,16.00,9.59,0.00,4.55,0.93,0.39,0.97,0.69,3.91,1.77,0.88,3.91,1.59,0.01,0.000,,
6731,Whitmore,Cam,18.80,HOU,F,@ MEM,18.00,11.96,1.38,2.56,1.02,0.65,0.30,0.97,2.87,2.08,0.91,4.25,5.17,0.01,0.000,,
5767,Eubanks,Drew,17.80,UTA,C,MIA,18.00,6.42,0.08,5.88,1.22,0.39,0.94,1.02,2.52,1.14,0.45,2.60,1.83,0.01,0.000,,
6952,Walter,Ja'Kobe,17.78,TOR,G,@ CLE,24.00,9.06,1.34,3.62,1.57,0.61,0.25,1.12,2.10,0.84,0.34,3.44,5.50,0.01,0.000,,
6968,Filipowski,Kyle,17.77,UTA,C,MIA,18.00,7.32,0.66,5.04,1.82,0.53,0.25,1.01,2.07,1.20,0.69,2.73,2.84,0.02,0.000,,
6938,Holland,Ron,17.52,DET,F,GSW,22.00,8.65,0.61,4.31,1.33,0.63,0.30,1.39,2.78,1.26,0.36,3.39,3.89,0.01,0.000,,
5899,Highsmith,Haywood,17.39,MIA,F,@ UTA,27.00,7.32,1.33,3.34,1.39,1.09,0.66,0.73,1.46,0.41,0.19,2.79,2.85,0.01,0.000,,
6940,Clingan,Donovan,17.34,POR,C,@ DAL,15.00,5.73,0.19,5.80,0.55,0.45,1.50,0.93,2.15,0.86,0.40,2.34,2.31,0.00,0.000,Injured,
6170,Stewart,Isaiah,17.27,DET,C,GSW,19.00,5.21,0.29,5.51,1.70,0.33,1.12,0.86,1.78,0.78,0.22,2.07,1.84,0.00,0.000,,
6974,Wells,Jaylen,17.16,MEM,F,HOU,24.00,9.54,1.50,3.29,1.45,0.45,0.12,1.15,1.85,1.34,0.29,3.35,4.61,0.01,0.000,,
6769,Sasser,Marcus,17.07,DET,G,GSW,20.00,8.62,1.28,1.76,2.99,0.71,0.19,1.36,1.99,0.80,0.10,3.27,4.25,0.00,0.000,,
6758,Murray,Kris,16.73,POR,F,@ DAL,22.00,8.09,1.05,3.76,1.24,0.69,0.30,0.87,1.97,1.00,0.51,3.02,3.96,0.01,0.000,,
6242,Krejci,Vit,16.68,ATL,G,@ PHO,24.00,6.27,1.02,3.34,2.87,0.70,0.33,1.29,1.27,0.67,0.18,2.29,3.01,0.00,0.000,,
5907,Wade,Dean,16.08,CLE,F,TOR,21.00,5.63,1.35,4.31,1.26,0.81,0.53,0.37,0.44,0.70,0.38,1.79,2.88,0.00,0.000,,
6067,Clarke,Brandon,15.34,MEM,F,HOU,16.00,5.93,0.09,4.67,0.93,0.56,0.64,0.54,2.52,0.62,0.31,2.61,1.84,0.00,0.000,,
6337,Banton,Dalano,15.27,POR,F,@ DAL,15.00,7.46,0.85,2.36,2.18,0.59,0.32,1.31,1.91,1.09,0.42,2.76,4.29,0.00,0.000,,
6948,Ware,Kel'el,14.77,MIA,C,@ UTA,15.00,6.28,0.51,3.82,0.56,0.45,1.00,0.57,2.01,0.73,0.36,2.52,2.37,0.00,0.000,,
6181,Merrill,Sam,14.32,CLE,G,TOR,16.00,7.88,2.19,1.65,1.63,0.40,0.11,0.36,0.36,0.59,0.04,2.55,3.67,0.00,0.000,,
6490,Williams,Brandon,14.28,DAL,G,POR,16.00,7.62,0.56,1.93,2.07,0.50,0.20,1.08,2.26,1.42,0.62,2.82,4.09,0.00,0.000,,
6360,Potter,Micah,14.28,UTA,C,MIA,17.00,4.73,0.82,5.45,0.78,0.32,0.43,0.70,0.94,0.39,0.10,1.76,2.16,0.00,0.000,G-League,
3356,Burks,Alec,14.10,MIA,G,@ UTA,18.00,6.84,1.18,2.00,2.04,0.55,0.20,0.79,0.99,1.32,0.24,2.17,3.13,0.00,0.000,,
6094,Mathews,Garrison,13.92,ATL,G,@ PHO,19.00,7.96,1.97,1.44,1.18,0.62,0.23,0.60,0.45,1.15,0.24,2.42,3.24,0.00,0.000,,
5497,Morris,Monte,13.87,PHO,G,ATL,17.00,6.23,0.83,2.22,2.12,0.59,0.19,0.59,1.50,0.74,0.15,2.33,2.83,0.00,0.000,,
6943,Williams,Cody,13.63,UTA,G,MIA,23.00,6.42,0.91,2.75,1.38,0.48,0.41,1.06,1.47,0.75,0.31,2.38,3.97,0.00,0.000,Questionable,
3040,Mills,Patty,13.53,UTA,G,MIA,18.00,7.36,1.66,1.49,1.68,0.52,0.12,0.65,0.93,0.52,0.08,2.59,4.21,0.00,0.000,,
5459,Kennard,Luke,13.11,MEM,G,HOU,16.00,6.29,1.48,2.01,2.04,0.39,0.04,0.71,0.51,0.83,0.11,1.99,2.54,0.00,0.000,,
6080,Alexander-Walker,Nickeil,12.94,MIN,G,@ ORL,18.00,6.32,1.17,1.84,1.73,0.58,0.27,1.13,1.08,0.65,0.21,2.25,2.87,0.00,0.000,,
3677,Olynyk,Kelly,12.80,TOR,C,@ CLE,13.00,5.05,0.36,2.97,2.08,0.47,0.20,1.21,1.49,0.99,0.20,1.85,1.76,0.00,0.000,Questionable,
6980,Shead,Jamal,12.64,TOR,G,@ CLE,16.00,5.21,0.72,1.21,3.20,0.60,0.13,1.41,1.32,0.41,0.20,2.04,2.79,0.00,0.000,Questionable,
6750,Howard,Jett,11.73,ORL,F,MIN,16.00,7.05,1.36,1.60,0.80,0.31,0.25,0.64,1.17,0.63,0.12,2.53,3.88,0.00,0.000,,
5690,Holiday,Aaron,11.57,HOU,G,@ MEM,16.00,5.91,1.00,1.32,1.63,0.61,0.10,0.72,1.14,0.63,0.09,2.14,2.93,0.00,0.000,,
5235,Niang,Georges,11.46,CLE,F,TOR,14.00,5.37,1.03,2.90,0.97,0.28,0.13,0.66,0.98,0.32,0.06,2.01,2.38,0.00,0.000,,
6525,LaRavia,Jake,11.33,MEM,F,HOU,14.00,4.56,0.48,2.72,1.43,0.47,0.29,1.07,1.05,1.02,0.29,1.53,1.96,0.00,0.000,Out,
5028,Looney,Kevon,11.31,GSW,F,@ DET,11.00,3.72,0.00,3.94,1.23,0.28,0.24,0.44,1.53,0.66,0.47,1.53,1.17,0.00,0.000,,
6150,Okoro,Isaac,10.98,CLE,G,TOR,17.00,4.90,0.84,1.76,1.25,0.55,0.36,0.47,0.92,0.54,0.24,1.76,1.93,0.00,0.000,Out,
6544,Houstan,Caleb,10.93,ORL,F,MIN,20.00,5.68,1.52,2.10,0.63,0.41,0.15,0.41,0.33,0.46,0.09,1.85,3.43,0.00,0.000,,
6718,Fontecchio,Simone,10.88,DET,F,GSW,14.00,5.51,0.98,2.40,0.82,0.31,0.17,0.62,0.83,0.91,0.19,1.81,2.38,0.00,0.000,,
5648,Boucher,Chris,10.70,TOR,F,@ CLE,11.00,5.12,0.55,2.99,0.29,0.31,0.36,0.41,1.27,0.93,0.26,1.82,2.16,0.00,0.000,,
6369,Huff,Jay,9.48,MEM,C,HOU,9.00,4.68,0.71,1.71,0.50,0.21,0.66,0.37,0.89,0.77,0.19,1.60,1.83,0.00,0.000,,
6300,Mitchell,Davion,8.36,TOR,G,@ CLE,14.00,2.90,0.43,1.08,2.23,0.37,0.08,0.71,0.69,0.23,0.10,1.12,1.64,0.00,0.000,,
6051,Tate,Jae'Sean,8.34,HOU,F,@ MEM,12.00,2.97,0.19,2.05,1.06,0.53,0.18,0.59,1.04,0.32,0.14,1.23,1.38,0.00,0.000,,
3711,Adams,Steven,7.94,HOU,C,@ MEM,10.00,2.48,0.00,2.99,0.70,0.31,0.21,0.74,1.02,0.44,0.60,1.02,0.78,0.00,0.000,,
6211,Queen,Trevelin,7.50,ORL,G,MIN,10.00,2.81,0.41,1.51,0.89,0.57,0.23,0.67,0.62,0.34,0.08,1.03,1.52,0.00,0.000,,
6571,Santos,Gui,7.03,GSW,F,@ DET,8.00,3.46,0.51,1.53,0.61,0.21,0.14,0.42,0.71,0.51,0.16,1.22,1.44,0.00,0.000,,
6534,Moore,Wendell,6.00,DET,G,GSW,8.00,2.11,0.13,1.57,0.76,0.33,0.14,0.43,0.72,0.28,0.05,0.85,0.88,0.00,0.000,,
6975,Ighodaro,Oso,5.20,PHO,F,ATL,7.00,1.69,0.00,1.68,0.51,0.21,0.19,0.32,0.74,0.21,0.13,0.74,0.60,0.00,0.000,,
6543,Minott,Josh,5.09,MIN,F,@ ORL,6.00,2.13,0.22,1.01,0.42,0.30,0.25,0.28,0.59,0.29,0.07,0.81,1.02,0.00,0.000,,
6678,Spencer,Pat,4.96,GSW,G,@ DET,7.00,1.89,0.30,0.88,0.97,0.24,0.05,0.43,0.43,0.13,0.04,0.73,1.19,0.00,0.000,,
5649,Kleber,Maxi,4.64,DAL,F,POR,9.00,1.48,0.20,1.41,0.32,0.16,0.32,0.29,0.33,0.22,0.11,0.53,0.66,0.00,0.000,,
7086,Bridges,Jalen,0.00,PHO,F,ATL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,G-League,
7072,Harkless,E.J.,0.00,UTA,G,MIA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,,
6212,Richards,Nick,0.00,PHO,C,ATL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,,
7076,Jenkins,Daniss,0.00,DET,G,GSW,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,G-League,
7078,Battle,Jamison,0.00,TOR,F,@ CLE,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,G-League,
6953,Tyson,Jaylon,0.00,CLE,G,TOR,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,,
6941,Dillingham,Rob,0.00,MIN,G,@ ORL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,,
3678,Zeller,Cody,0.00,ATL,C,@ PHO,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,Injured,
6790,Gueye,Mouhamed,0.00,ATL,F,@ PHO,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,G-League,
6737,Miller,Leonard,0.00,MIN,F,@ ORL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,,
6514,Eason,Tari,0.00,HOU,F,@ MEM,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,,
6742,Podziemski,Brandin,0.00,GSW,G,@ DET,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,,
6380,Lawson,A.J.,0.00,TOR,G,@ CLE,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,G-League,
3369,Irving,Kyrie,0.00,DAL,G,POR,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,,
6559,Gillespie,Collin,0.00,PHO,G,ATL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,,
3373,Joseph,Cory,0.00,ORL,G,MIN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,,
