id,last_name,first_name,value,team,position,opponent,minutes,points,threes,rebounds,assists,steals,blocks,turnovers,twos,free throws,free_throws_missed,field goals,field_goals_missed,double doubles,triple doubles,injury,full_name
3487,Green,Draymond,28.41,GSW,F,HOU,30.00,8.82,1.03,5.72,5.30,1.46,1.18,2.70,2.19,1.35,0.54,3.22,4.35,0.03,0.002,,Draymond Green,
6956,Johnson,A.J.,28.30,WAS,G,@ BOS,35.00,12.33,1.71,4.40,5.62,0.80,0.28,2.11,2.88,1.44,0.48,4.59,7.32,0.05,0.002,,A.J. Johnson,
5685,Brown,Bruce,28.29,NOR,G,MIL,31.00,13.68,0.98,5.48,3.54,0.98,0.28,1.30,4.16,2.42,0.60,5.14,6.80,0.06,0.001,,Bruce Brown,
3004,Holiday,Jrue,28.07,BOS,G,WAS,28.00,12.53,2.16,4.58,3.78,1.20,0.59,1.11,2.45,1.15,0.12,4.61,5.70,0.02,0.000,,Jrue Holiday,
2846,Lopez,Brook,27.45,MIL,C,@ NOR,27.00,13.97,1.87,4.81,1.65,0.44,1.78,0.83,3.38,1.60,0.31,5.25,4.90,0.02,0.000,,Brook Lopez,
5662,Huerter,Kevin,27.43,CHI,G,@ CHA,32.00,13.13,2.46,4.18,3.26,1.32,0.45,1.25,2.48,0.79,0.28,4.94,6.37,0.02,0.000,,Kevin Huerter,
5489,Hartenstein,Isaiah,27.42,OKC,C,LAL,24.00,9.07,0.06,8.78,3.25,0.59,0.82,1.28,3.96,0.97,0.46,4.02,2.73,0.19,0.004,,Isaiah Hartenstein,
6952,Walter,Ja'Kobe,27.32,TOR,G,@ BKN,31.00,14.80,2.12,4.42,2.29,1.31,0.29,1.47,3.10,2.24,0.60,5.22,7.70,0.03,0.000,,Ja'Kobe Walter,
5425,LeVert,Caris,27.32,ATL,G,UTA,24.00,12.91,1.68,3.82,4.12,0.99,0.59,1.16,2.71,2.45,0.90,4.39,5.21,0.02,0.000,,Caris LeVert,
6555,Matkovic,Karlo,27.24,NOR,F,MIL,24.00,14.32,0.90,5.76,1.53,0.66,1.11,1.31,4.67,2.28,0.63,5.57,5.17,0.06,0.000,,Karlo Matkovic,
6977,Simpson,KJ,27.22,CHA,G,CHI,32.00,11.78,1.32,4.37,4.99,1.16,0.27,2.11,2.93,1.96,0.41,4.25,7.58,0.02,0.001,,KJ Simpson,
6291,Johnson,Keon,27.17,BKN,G,TOR,28.00,13.34,1.87,4.29,2.86,1.49,0.52,1.62,2.87,1.99,0.61,4.74,7.23,0.02,0.000,,Keon Johnson,
6148,Toppin,Obi,26.96,IND,F,@ DEN,26.00,13.86,1.86,5.41,2.19,0.75,0.52,1.00,3.49,1.30,0.34,5.35,4.65,0.06,0.001,,Obi Toppin,
5677,Sexton,Collin,26.85,UTA,G,@ ATL,24.00,16.78,1.61,2.33,4.01,0.66,0.09,2.41,4.77,2.41,0.39,6.38,6.47,0.03,0.000,,Collin Sexton,
6967,Mogbo,Jonathan,26.41,TOR,F,@ BKN,29.00,9.67,0.43,6.94,3.04,1.20,0.83,1.70,3.28,1.82,0.59,3.71,4.33,0.05,0.001,,Jonathan Mogbo,
