Name,Position,Team,Site,Projection,Price,Value,Ownership,+/-,Opponent,Team Total,Game Total,min,max,lock,exclude,Projections 👉,Points,3 pointers,Rebounds,Assists,Blocks,Steals,Turnovers,Minutes,Site ID,Slate ID
Zach Collins,C,SAS,dk,0.00,3000,0,0,-15,MIA,109.25,221.5,,,,,Proj 👉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,955887,37500080
Trey Alexander,PG/SG,DEN,dk,0.00,3000,0,0,-15,CHA,118.75,225,,,,,Proj 👉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1323633,37500202
Brandon Miller,PF,CHA,dk,0.00,3000,0,0,-15,DEN,106.25,225,,,,,Proj 👉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1401381,37500096
Alec Burks,PG,MIA,dk,0.00,3000,0,0,-15,SAS,112.25,221.5,,,,,Proj 👉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,512995,37500179
David Duke Jr,SG,SAS,dk,0.00,3000,0,0,-15,MIA,109.25,221.5,,,,,Proj 👉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1134645,37500082
Keshad Johnson,SF/PF,MIA,dk,0.00,3000,0,0,-15,SAS,112.25,221.5,,,,,Proj 👉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1177278,37500187
Jabari Smith Jr,PF/C,HOU,dk,0.00,5000,0,0,-25,BKN,111.25,209.5,,,,,Proj 👉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1342755,37499749
Jeff Green,PF/C,HOU,dk,0.00,3000,0,0,-15,BKN,111.25,209.5,,,,,Proj 👉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,266367,37500019
Malaki Branham,PG/SG,SAS,dk,0.00,3000,0,0,-15,MIA,109.25,221.5,,,,,Proj 👉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1325163,37500076
Blake Wesley,PG/SG,SAS,dk,0.00,3000,0,0,-15,MIA,109.25,221.5,,,,,Proj 👉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1325125,37500069
Bronny James,PG,LAL,dk,0.00,3000,0,0,-15,NYK,107.5,226,,,,,Proj 👉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1463593,37500173
Cam Reddish,SF/PF,LAL,dk,0.00,3000,0,0,-15,NYK,107.5,226,,,,,Proj 👉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1132027,37500169
Jimmy Butler,SF,MIA,dk,0.00,7200,0,0,-36,SAS,112.25,221.5,,,,,Proj 👉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,458730,37499630
Dariq Whitehead,SG/SF,BKN,dk,0.00,3000,0,0,-15,HOU,98.25,209.5,,,,,Proj 👉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1401778,37500126
Kevin Love,C,MIA,dk,0.00,3000,0,0,-15,SAS,112.25,221.5,,,,,Proj 👉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,395374,37500185
Cameron Johnson,SF/PF,BKN,dk,0.00,6800,0,0,-34,HOU,98.25,209.5,,,,,Proj 👉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,843005,37499643
Tre Mann,PG,CHA,dk,0.00,3900,0,0,-19,DEN,106.25,225,,,,,Proj 👉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1175356,37499867
Alperen Sengun,C,HOU,dk,0.00,9000,0,0,-45,BKN,111.25,209.5,,,,,Proj 👉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1323508,37499579
Donte Divincenzo,PG,MIN,dk,0.00,5400,0,0,-27,WAS,115.25,218.5,,,,,Proj 👉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,887915,37499718
Spencer Jones,SG/SF,DEN,dk,0.00,3000,0,0,-15,CHA,118.75,225,,,,,Proj 👉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1176586,37500218
Anthony Edwards,PG/SG,MIN,dk,0.00,9600,0,0,-48,WAS,115.25,218.5,,,,,Proj 👉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1175367,37499575
Vlatko Cancar,C,DEN,dk,0.00,3000,0,0,-15,CHA,118.75,225,,,,,Proj 👉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1057007,37500223
Julius Randle,PF/C,MIN,dk,0.00,7000,0,0,-35,WAS,115.25,218.5,,,,,Proj 👉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,786412,37499633
Patrick Baldwin Jr,PF,WAS,dk,0.00,3000,0,0,-15,MIN,103.25,218.5,,,,,Proj 👉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1324451,37500147
Tristan Vukcevic,C,WAS,dk,0.00,3000,0,0,-15,MIN,103.25,218.5,,,,,Proj 👉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1350809,37500159
Jack Mcveigh,SG,HOU,dk,0.00,3000,0,0,-15,BKN,111.25,209.5,,,,,Proj 👉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,882431,37500016
Alexandre Sarr,PF/C,WAS,dk,0.00,5600,0,0,-28,MIN,103.25,218.5,,,,,Proj 👉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1429349,37499685
Reece Beekman,PG,BKN,dk,0.00,3100,0,0,-15,HOU,98.25,209.5,,,,,Proj 👉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1230369,37499975
Noah Clowney,PF/C,BKN,dk,0.00,5100,0,0,-25,HOU,98.25,209.5,,,,,Proj 👉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1401380,37499740
Terrence Shannon Jr,SG,MIN,dk,0.00,3000,0,0,-15,WAS,115.25,218.5,,,,,Proj 👉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1182148,37500043
Johnny Davis,PG/SF,WAS,dk,0.00,3000,0,0,-15,MIN,103.25,218.5,,,,,Proj 👉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1231530,37500154
Saddiq Bey,SF,WAS,dk,0.00,4500,0,0,-22,MIN,103.25,218.5,,,,,Proj 👉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1138653,37499805
Josh Okogie,SF/PF,CHA,dk,0.00,5000,0,0,-25,DEN,106.25,225,,,,,Proj 👉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,941460,37499753
Maxwell Lewis,SF,BKN,dk,0.00,3000,0,0,-15,HOU,98.25,209.5,,,,,Proj 👉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1343033,37500131
Marvin Bagley III,C,WAS,dk,0.00,3000,0,0,-15,MIN,103.25,218.5,,,,,Proj 👉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1076209,37500161
Jalen Williams,PF,OKC,dk,0.00,8200,0,0,-41,SAC,122.5,237.5,,,,,Proj 👉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1182404,37499600
Branden Carlson,C,OKC,dk,0.00,3000,0,0,-15,SAC,122.5,237.5,,,,,Proj 👉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1177008,37500108
Jae Crowder,PF/C,SAC,dk,0.00,3000,0,0,-15,OKC,115,237.5,,,,,Proj 👉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,552381,37500242
Christian Wood,PF,LAL,dk,0.00,4400,0,0,-22,NYK,107.5,226,,,,,Proj 👉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,750924,37499811
Dru Smith,PG,MIA,dk,0.00,3000,0,0,-15,SAS,112.25,221.5,,,,,Proj 👉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,953243,37500197
Alex Caruso,PG/SF,OKC,dk,0.00,3600,0,0,-18,SAC,122.5,237.5,,,,,Proj 👉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,697644,37499906
Trey Jemison III,C,LAL,dk,0.00,3000,0,0,-15,NYK,107.5,226,,,,,Proj 👉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1132023,37500163
Josh Christopher,PG,MIA,dk,0.00,3000,0,0,-15,SAS,112.25,221.5,,,,,Proj 👉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1231305,37500182
Dario Saric,PF/C,DEN,dk,0.00,3000,0,0,-15,CHA,118.75,225,,,,,Proj 👉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,830641,37500214
Bojan Bogdanovic,SF,BKN,dk,0.00,3000,0,0,-15,HOU,98.25,209.5,,,,,Proj 👉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,599812,37500134
Cam Thomas,PG,BKN,dk,0.00,6700,0,0,-33,HOU,98.25,209.5,,,,,Proj 👉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1232020,37499647
De'Anthony Melton,PG,BKN,dk,0.00,3000,0,0,-15,HOU,98.25,209.5,,,,,Proj 👉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,946801,37500137
Tristen Newton,PG,MIN,dk,0.00,3000,0,0,-15,WAS,115.25,218.5,,,,,Proj 👉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1174846,37500028
Jared Butler,PG,WAS,dk,0.00,3000,0,0,-15,MIN,103.25,218.5,,,,,Proj 👉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1134886,37500140
Grant Williams,C,CHA,dk,0.00,3000,0,0,-15,DEN,106.25,225,,,,,Proj 👉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,949273,37500099
Colby Jones,SG/SF,SAC,dk,0.00,3000,0,0,-15,OKC,115,237.5,,,,,Proj 👉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1231798,37500229
Jordan Mclaughlin,PG,SAC,dk,0.00,3000,0,0,-15,OKC,115,237.5,,,,,Proj 👉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,844465,37500253
Ariel Hukporti,C,NYK,dk,0.00,3000,0,0,-15,LAL,118.5,226,,,,,Proj 👉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1350535,37500059
Jacob Toppin,PF,NYK,dk,0.00,3000,0,0,-15,LAL,118.5,226,,,,,Proj 👉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1176741,37500051
Jericho Sims,C,NYK,dk,0.00,3000,0,0,-15,LAL,118.5,226,,,,,Proj 👉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1071933,37500057
Russell Westbrook,PG,DEN,dk,0.00,6400,0,0,-32,CHA,118.75,225,,,,,Proj 👉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,329830,37499657
Peyton Watson,SF/PF,DEN,dk,0.00,3200,0,0,-16,CHA,118.75,225,,,,,Proj 👉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1326502,37499944
Anthony Davis,C,LAL,dk,0.00,10500,0,0,-52,NYK,107.5,226,,,,,Proj 👉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,603096,37499566
Shake Milton,PG/SG,LAL,dk,0.00,3500,0,0,-17,NYK,107.5,226,,,,,Proj 👉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,879492,37499925
Chet Holmgren,PF,OKC,dk,0.00,7900,0,0,-39,SAC,122.5,237.5,,,,,Proj 👉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1343009,37499606
Jalen Hoodschifino,PG,LAL,dk,0.00,3000,0,0,-15,NYK,107.5,226,,,,,Proj 👉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1402780,37500176
Josh Richardson,PG,MIA,dk,0.00,3000,0,0,-15,SAS,112.25,221.5,,,,,Proj 👉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,604288,37500194
