PG,SG,SF,PF,C,G,F,UTIL,Proj,Ceiling,Salary,Cash %,Top 1%,ROI%,Wins,Own Sum,Avg Return,Stack1,Stack2,Lineup,Dupes,User,Index,Entry ID
Reggie Jackson (37315014),Kelly Oubre Jr. (37314646),Ricky Council IV (37315019),Evan Mobley (37314541),Clint Capela (37314733),Vit Krejci (37314903),Giannis Antetokounmpo (37314476),Domantas Sabonis (37314489),304.2661241319444,342.308453976169,49800,97.25%,0,6.3%,0,225.66,$0.19,PHI 3,ATL 2,user38,16,marvalshot,14401,4610083428_38
Reggie Jackson (37315014),Kelly Oubre Jr. (37314646),Ricky Council IV (37315019),Jalen Williams (37314545),Clint Capela (37314733),Andrew Nembhard (37314690),Pascal Siakam (37314586),Nikola Jokic (37314474),340.1678472222222,375.35964159258504,49600,100.00%,92981,495.22%,0,236.07999999999998,$14.86,PHI 3,IND 2,user22,29,marvalshot,14426,4610083429_22
Reggie Jackson (37315014),Kelly Oubre Jr. (37314646),Ricky Council IV (37315019),Pascal Siakam (37314586),Myles Turner (37314638),Damian Lillard (37314526),Kevin Durant (37314500),Isaiah Hartenstein (37314589),322.4468012152778,354.5451748857395,49900,100.00%,0,101.07%,0,202.94,$3.03,PHI 3,IND 2,user9,45,marvalshot,14445,4610083430_9
Reggie Jackson (37315014),Kelly Oubre Jr. (37314646),Bogdan Bogdanovic (37314767),Ricky Council IV (37315019),Guerschon Yabusele (37314668),Trae Young (37314486),Giannis Antetokounmpo (37314476),Jarrett Allen (37314610),320.2191840277778,356.81614547999425,50000,100.00%,0,97.02%,0,239.37,$2.91,PHI 4,ATL 2,user7,49,marvalshot,14448,4610083431_7
Reggie Jackson (37315014),Kelly Oubre Jr. (37314646),Justin Edwards (37314989),Ricky Council IV (37315019),Giannis Antetokounmpo (37314476),Shai Gilgeous-Alexander (37314483),Pascal Siakam (37314586),Dereck Lively II (37314652),324.5289019097223,362.84526574563677,50000,100.00%,0,108.05%,0,230.21000000000004,$3.24,PHI 4,MIL 1,user14,42,marvalshot,14450,4610083432_14
T.J. McConnell (37314747),Kelly Oubre Jr. (37314646),Ricky Council IV (37315019),Pascal Siakam (37314586),Isaiah Hartenstein (37314589),Reggie Jackson (37315014),Kevin Durant (37314500),Domantas Sabonis (37314489),317.4306901041667,352.0802777495165,49700,100.00%,0,82.34%,0,209.32,$2.47,PHI 3,IND 2,user11,45,marvalshot,14363,4610083425_11
Shai Gilgeous-Alexander (37314483),Kelly Oubre Jr. (37314646),Ricky Council IV (37315019),Jalen Williams (37314545),Clint Capela (37314733),Trae Young (37314486),Bogdan Bogdanovic (37314767),Reggie Jackson (37315014),306.35157118055554,342.3707075304441,49800,99.67%,0,48.34%,0,209.76999999999998,$1.45,PHI 3,ATL 3,user27,28,marvalshot,14381,4610083426_27
Reggie Jackson (37315014),Kelly Oubre Jr. (37314646),Bogdan Bogdanovic (37314767),Guerschon Yabusele (37314668),Jarrett Allen (37314610),T.J. McConnell (37314747),Giannis Antetokounmpo (37314476),De'Aaron Fox (37314538),301.82256944444447,337.8764052601272,50000,78.71%,0,-61.16%,0,204.81,$-1.83,PHI 3,ATL 1,user9,48,marvalshot,4938,4610083427_9
Reggie Jackson (37315014),Kelly Oubre Jr. (37314646),Ricky Council IV (37315019),Evan Mobley (37314541),Clint Capela (37314733),Vit Krejci (37314903),Giannis Antetokounmpo (37314476),Domantas Sabonis (37314489),304.2661241319444,342.308453976169,49800,97.25%,0,6.3%,0,225.66,$0.19,PHI 3,ATL 2,user39,16,marvalshot,14401,4610083428_39
Reggie Jackson (37315014),Kelly Oubre Jr. (37314646),Ricky Council IV (37315019),Jalen Williams (37314545),Clint Capela (37314733),Andrew Nembhard (37314690),Pascal Siakam (37314586),Nikola Jokic (37314474),340.1678472222222,375.35964159258504,49600,100.00%,92981,495.22%,0,236.07999999999998,$14.86,PHI 3,IND 2,user23,29,marvalshot,14426,4610083429_23
Reggie Jackson (37315014),Kelly Oubre Jr. (37314646),Ricky Council IV (37315019),Pascal Siakam (37314586),Myles Turner (37314638),Damian Lillard (37314526),Kevin Durant (37314500),Isaiah Hartenstein (37314589),322.4468012152778,354.5451748857395,49900,100.00%,0,101.07%,0,202.94,$3.03,PHI 3,IND 2,user10,45,marvalshot,14445,4610083430_10
Reggie Jackson (37315014),Kelly Oubre Jr. (37314646),Bogdan Bogdanovic (37314767),Ricky Council IV (37315019),Guerschon Yabusele (37314668),Trae Young (37314486),Giannis Antetokounmpo (37314476),Jarrett Allen (37314610),320.2191840277778,356.81614547999425,50000,100.00%,0,97.02%,0,239.37,$2.91,PHI 4,ATL 2,user8,49,marvalshot,14448,4610083431_8
Reggie Jackson (37315014),Kelly Oubre Jr. (37314646),Justin Edwards (37314989),Ricky Council IV (37315019),Giannis Antetokounmpo (37314476),Shai Gilgeous-Alexander (37314483),Pascal Siakam (37314586),Dereck Lively II (37314652),324.5289019097223,362.84526574563677,50000,100.00%,0,108.05%,0,230.21000000000004,$3.24,PHI 4,MIL 1,user15,42,marvalshot,14450,4610083432_15
T.J. McConnell (37314747),Kelly Oubre Jr. (37314646),Ricky Council IV (37315019),Pascal Siakam (37314586),Isaiah Hartenstein (37314589),Reggie Jackson (37315014),Kevin Durant (37314500),Domantas Sabonis (37314489),317.4306901041667,352.0802777495165,49700,100.00%,0,82.34%,0,209.32,$2.47,PHI 3,IND 2,user12,45,marvalshot,14363,4610083425_12
Shai Gilgeous-Alexander (37314483),Kelly Oubre Jr. (37314646),Ricky Council IV (37315019),Jalen Williams (37314545),Clint Capela (37314733),Trae Young (37314486),Bogdan Bogdanovic (37314767),Reggie Jackson (37315014),306.35157118055554,342.3707075304441,49800,99.67%,0,48.34%,0,209.76999999999998,$1.45,PHI 3,ATL 3,user28,28,marvalshot,14381,4610083426_28
Reggie Jackson (37315014),Kelly Oubre Jr. (37314646),Bogdan Bogdanovic (37314767),Guerschon Yabusele (37314668),Jarrett Allen (37314610),T.J. McConnell (37314747),Giannis Antetokounmpo (37314476),De'Aaron Fox (37314538),301.82256944444447,337.8764052601272,50000,78.71%,0,-61.16%,0,204.81,$-1.83,PHI 3,ATL 1,user10,48,marvalshot,4938,4610083427_10
Reggie Jackson (37315014),Kelly Oubre Jr. (37314646),Ricky Council IV (37315019),Evan Mobley (37314541),Clint Capela (37314733),Vit Krejci (37314903),Giannis Antetokounmpo (37314476),Domantas Sabonis (37314489),304.2661241319444,342.308453976169,49800,97.25%,0,6.3%,0,225.66,$0.19,PHI 3,ATL 2,user40,16,marvalshot,14401,4610083428_40
Reggie Jackson (37315014),Kelly Oubre Jr. (37314646),Ricky Council IV (37315019),Jalen Williams (37314545),Clint Capela (37314733),Andrew Nembhard (37314690),Pascal Siakam (37314586),Nikola Jokic (37314474),340.1678472222222,375.35964159258504,49600,100.00%,92981,495.22%,0,236.07999999999998,$14.86,PHI 3,IND 2,user24,29,marvalshot,14426,4610083429_24
Reggie Jackson (37315014),Kelly Oubre Jr. (37314646),Ricky Council IV (37315019),Pascal Siakam (37314586),Myles Turner (37314638),Damian Lillard (37314526),Kevin Durant (37314500),Isaiah Hartenstein (37314589),322.4468012152778,354.5451748857395,49900,100.00%,0,101.07%,0,202.94,$3.03,PHI 3,IND 2,user11,45,marvalshot,14445,4610083430_11
Reggie Jackson (37315014),Kelly Oubre Jr. (37314646),Bogdan Bogdanovic (37314767),Ricky Council IV (37315019),Guerschon Yabusele (37314668),Trae Young (37314486),Giannis Antetokounmpo (37314476),Jarrett Allen (37314610),320.2191840277778,356.81614547999425,50000,100.00%,0,97.02%,0,239.37,$2.91,PHI 4,ATL 2,user9,49,marvalshot,14448,4610083431_9
