id,last_name,first_name,value,team,position,opponent,minutes,points,threes,rebounds,assists,steals,blocks,turnovers,twos,free throws,free_throws_missed,field goals,field_goals_missed,double doubles,triple doubles,injury
5967,Reid,Naz,25.73,MIN,C,@ WAS,23.00,13.77,1.93,4.89,1.60,0.67,0.87,1.26,3.26,1.46,0.50,5.19,5.89,0.02,0.000,,
6935,Sarr,Alexandre,24.94,WAS,F,MIN,26.00,10.41,1.22,5.78,1.92,0.61,1.59,1.29,2.77,1.21,0.65,3.99,5.60,0.04,0.000,,
5047,Rozier,Terry,24.85,MIA,G,@ LAC,31.00,12.47,1.56,3.87,3.39,0.94,0.34,1.81,2.91,1.97,0.29,4.47,6.20,0.02,0.000,,
3402,Valanciunas,Jonas,24.49,WAS,C,MIN,20.00,10.40,0.15,7.23,2.10,0.41,0.75,1.53,4.25,1.45,0.29,4.40,3.42,0.18,0.002,,
2848,Love,Kevin,24.11,MIA,F,@ LAC,21.00,9.85,1.66,7.52,2.04,0.50,0.20,1.33,1.80,1.27,0.32,3.46,4.80,0.15,0.002,,
6947,Carrington,Bub,23.41,WAS,G,MIN,33.00,9.26,1.63,4.76,4.16,0.82,0.20,1.83,1.89,0.59,0.16,3.52,5.43,0.01,0.000,,
6747,Dick,Gradey,23.32,TOR,G,GSW,29.00,14.67,2.11,3.21,1.74,0.73,0.13,1.55,2.88,2.58,0.34,4.99,7.11,0.02,0.000,,
5902,Johnson,Keldon,23.05,SAS,F,@ LAL,26.00,12.63,1.28,4.93,1.73,0.53,0.19,0.90,3.44,1.91,0.56,4.72,5.11,0.02,0.000,,
2711,Conley,Mike,22.37,MIN,G,@ WAS,23.00,8.75,1.84,2.75,4.53,1.30,0.20,1.10,1.01,1.21,0.13,2.85,4.03,0.01,0.000,,
6948,Ware,Kel'el,22.25,MIA,C,@ LAC,24.00,9.43,0.67,5.61,1.01,0.75,1.48,1.10,3.06,1.30,0.66,3.73,3.48,0.03,0.000,,
6733,Thompson,Ausar,22.16,DET,F,@ NYK,22.00,9.92,0.44,4.85,2.12,1.05,0.61,1.12,3.77,1.06,0.89,4.21,4.07,0.01,0.000,,
6327,Aldama,Santi,22.10,MEM,F,@ HOU,22.00,9.28,1.29,6.05,1.88,0.60,0.54,1.14,2.27,0.87,0.30,3.56,4.05,0.05,0.000,Questionable,
6937,Castle,Stephon,21.53,SAS,G,@ LAL,27.00,11.00,1.01,2.41,3.89,0.74,0.30,1.84,3.03,1.91,0.80,4.04,6.51,0.01,0.000,,
5648,Boucher,Chris,21.00,TOR,F,GSW,19.00,10.26,1.14,5.56,0.60,0.54,0.77,0.73,2.44,1.96,0.54,3.58,3.90,0.04,0.000,,
5389,Finney-Smith,Dorian,20.68,LAL,F,SAS,27.00,9.38,1.96,4.51,1.59,0.87,0.46,0.76,1.42,0.66,0.24,3.38,4.98,0.01,0.000,,
6566,Champagnie,Julian,20.65,SAS,F,@ LAL,26.00,10.89,2.51,3.78,1.33,0.64,0.48,0.94,1.28,0.80,0.13,3.79,4.82,0.01,0.000,,
6542,Christie,Max,20.41,LAL,G,SAS,30.00,10.09,1.38,3.23,2.07,0.92,0.53,0.87,1.88,2.19,0.38,3.26,4.15,0.01,0.000,,
6942,Edey,Zach,20.28,MEM,C,@ HOU,20.00,8.20,0.30,6.61,0.90,0.46,1.00,1.34,2.97,1.36,0.72,3.27,2.63,0.04,0.000,Playing,
6080,Alexander-Walker,Nickeil,20.20,MIN,G,@ WAS,24.00,9.52,1.81,2.79,2.89,0.87,0.45,1.38,1.61,0.87,0.30,3.42,3.98,0.00,0.000,,
3709,Hardaway Jr.,Tim,19.78,DET,G,@ NYK,31.00,12.11,2.36,2.42,1.77,0.54,0.06,0.80,1.82,1.39,0.27,4.18,5.47,0.01,0.000,,
