Entry ID,Contest Name,Contest ID,Entry Fee,PG,SG,SF,PF,C,G,F,UTIL,,Instructions
4524531230,NBA $60K Four Point Play [20 Entry Max],170572802,$4,LaMelo Ball (36741065) (LOCKED),Stephon Castle (36741207),Brandon Miller (36741102) (LOCKED),John Collins (36741090),Moussa Diabate (36741277) (LOCKED),Anthony Black (36741250),Lauri Markkanen (36741098),Zach Collins (36741143),,1. Column A lists all of your contest entries for this draftgroup
4524531231,NBA $60K Four Point Play [20 Entry Max],170572802,$4,Jaden Ivey (36741110) (LOCKED),Nickeil Alexander-Walker (36741263),Brandon Miller (36741102) (LOCKED),Keldon Johnson (36741166),Moussa Diabate (36741277) (LOCKED),Chris Paul (36741123),John Collins (36741090),LaMelo Ball (36741065) (LOCKED),,2. Your current lineup is listed next to each entry (blank for reservations)
4524531232,NBA $60K Four Point Play [20 Entry Max],170572802,$4,Tre Mann (36741246) (LOCKED),Stephon Castle (36741207),Cody Martin (36741286) (LOCKED),Grant Williams (36741200) (LOCKED),Zach Collins (36741143),Cade Cunningham (36741058) (LOCKED),RJ Barrett (36741074),Lauri Markkanen (36741098),,3. You can change the lineup for an entry by entering the IDs of the players in the row next to that entry
4524531233,NBA $60K Four Point Play [20 Entry Max],170572802,$4,LaMelo Ball (36741065) (LOCKED),Jaden Ivey (36741110) (LOCKED),Brandon Miller (36741102) (LOCKED),Chris Boucher (36741234),Zach Collins (36741143),Anthony Black (36741250),Lauri Markkanen (36741098),Stephon Castle (36741207),,4. Use data from the Name+ID column or the ID column; you cannot use just the player's name
4524531234,NBA $60K Four Point Play [20 Entry Max],170572802,$4,LaMelo Ball (36741065) (LOCKED),Tre Mann (36741246) (LOCKED),Lauri Markkanen (36741098),Grant Williams (36741200) (LOCKED),Charles Bassey (36741279),Stephon Castle (36741207),Chris Boucher (36741234),Cade Cunningham (36741058) (LOCKED),,5. For faster processing only include entries you are changing in the file you upload
,,,,,,,,,,,,,
,,,,,,,,,,,,,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
,,,,,,,,,,,,,PG/SG,Davion Mitchell (36741183),Davion Mitchell,36741183,PG/SG/G/UTIL,5100,MIN@TOR 11/21/2024 07:30PM ET,TOR,22.68
,,,,,,,,,,,,,C,Wendell Carter Jr. (36741177),Wendell Carter Jr.,36741177,C/UTIL,5100,ORL@LAL 11/21/2024 10:30PM ET,ORL,26.12
,,,,,,,,,,,,,SF/PF,Rui Hachimura (36741179),Rui Hachimura,36741179,SF/PF/F/UTIL,5100,ORL@LAL 11/21/2024 10:30PM ET,LAL,25.68
,,,,,,,,,,,,,SG/SF,Dalton Knecht (36741187),Dalton Knecht,36741187,SG/SF/F/G/UTIL,5100,ORL@LAL 11/21/2024 10:30PM ET,LAL,18.05
,,,,,,,,,,,,,PF/C,Grant Williams (36741200) (LOCKED),Grant Williams,36741200,PF/C/F/UTIL,5000,DET@CHA 11/21/2024 07:00PM ET,CHA,24.32
,,,,,,,,,,,,,PG/SG,Donte DiVincenzo (36741196),Donte DiVincenzo,36741196,PG/SG/G/UTIL,5000,MIN@TOR 11/21/2024 07:30PM ET,MIN,21.77
,,,,,,,,,,,,,PF/C,Jaxson Hayes (36741192),Jaxson Hayes,36741192,PF/C/F/UTIL,5000,ORL@LAL 11/21/2024 10:30PM ET,LAL,15.5
,,,,,,,,,,,,,PG,Mike Conley (36741204),Mike Conley,36741204,PG/G/UTIL,4900,MIN@TOR 11/21/2024 07:30PM ET,MIN,22.86
,,,,,,,,,,,,,PG/SF,Bruce Brown (36741210),Bruce Brown,36741210,PG/SF/F/G/UTIL,4900,MIN@TOR 11/21/2024 07:30PM ET,TOR,0
,,,,,,,,,,,,,SG,Stephon Castle (36741207),Stephon Castle,36741207,SG/G/UTIL,4900,UTA@SAS 11/21/2024 08:00PM ET,SAS,20.38
,,,,,,,,,,,,,PF/C,Kyle Filipowski (36741215),Kyle Filipowski,36741215,PF/C/F/UTIL,4800,UTA@SAS 11/21/2024 08:00PM ET,UTA,17.71
,,,,,,,,,,,,,SF/PF,Ausar Thompson (36741219) (LOCKED),Ausar Thompson,36741219,SF/PF/F/UTIL,4700,DET@CHA 11/21/2024 07:00PM ET,DET,0
,,,,,,,,,,,,,SF,Jaden McDaniels (36741231),Jaden McDaniels,36741231,SF/F/UTIL,4600,MIN@TOR 11/21/2024 07:30PM ET,MIN,21.77
,,,,,,,,,,,,,SG/SF,Julian Champagnie (36741226),Julian Champagnie,36741226,SG/SF/F/G/UTIL,4600,UTA@SAS 11/21/2024 08:00PM ET,SAS,22.85
,,,,,,,,,,,,,PG,D'Angelo Russell (36741223),D'Angelo Russell,36741223,PG/G/UTIL,4600,ORL@LAL 11/21/2024 10:30PM ET,LAL,24.38
,,,,,,,,,,,,,C,Isaiah Stewart (36741238) (LOCKED),Isaiah Stewart,36741238,C/UTIL,4500,DET@CHA 11/21/2024 07:00PM ET,DET,21.12
,,,,,,,,,,,,,PF/C,Chris Boucher (36741234),Chris Boucher,36741234,PF/C/F/UTIL,4500,MIN@TOR 11/21/2024 07:30PM ET,TOR,20.38
,,,,,,,,,,,,,C,Moritz Wagner (36741240),Moritz Wagner,36741240,C/UTIL,4500,ORL@LAL 11/21/2024 10:30PM ET,ORL,20.11
