Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
64,4607851480,Jreck82 (2/2),155.89,203.75,C Isaiah Hartenstein F Jalen Williams G Shai Gilgeous-Alexander PF Aaron Wiggins PG Cole Anthony SF Paul George SG Cason Wallace UTIL LOCKED,,Thomas Bryant,C,0.25%,9.25
64,4607636933,Kgabes11 (20/20),150.43,203.75,C LOCKED F Paul George G Jrue Holiday PF Aaron Wiggins PG Shai Gilgeous-Alexander SF Jayson Tatum SG Cole Anthony UTIL Isaiah Joe,,Caleb Houstan,PF,0.22%,8.25
64,4606577969,mdedwards84,114.65,203.75,C Isaiah Hartenstein F Al Horford G Cason Wallace PF Trey Murphy III PG Tyrese Maxey SF Georges Niang SG Eric Gordon UTIL Shai Gilgeous-Alexander,,Daniel Theis,C,0.15%,7.75
68,4607024987,cjp66 (6/20),145.75,203.5,C Kristaps Porzingis F LOCKED G Cole Anthony PF Evan Mobley PG Shai Gilgeous-Alexander SF Aaron Wiggins SG Cason Wallace UTIL T.J. McConnell,,Caleb Martin,SF,0.12%,0
69,4606416868,cpworld90 (18/20),150.65001,203,C Isaiah Hartenstein F Max Strus G Shai Gilgeous-Alexander PF LOCKED PG Cason Wallace SF Paul George SG Cole Anthony UTIL Kristaps Porzingis,,Georges Niang,SF,0.12%,10.5
69,4606500600,bdeblis,150.65001,203,C Kristaps Porzingis F Max Strus G Cole Anthony PF LOCKED PG Shai Gilgeous-Alexander SF Paul George SG Cason Wallace UTIL Isaiah Hartenstein,,Isaac Okoro,F,0.12%,3.5
69,4606519529,santh08,150.65001,203,C Kristaps Porzingis F Max Strus G Cole Anthony PF LOCKED PG Shai Gilgeous-Alexander SF Paul George SG Cason Wallace UTIL Isaiah Hartenstein,,Luke Kornet,UTIL,0.12%,13.75
69,4606521612,griffalicious24,150.65001,203,C Isaiah Hartenstein F Max Strus G Cason Wallace PF LOCKED PG Shai Gilgeous-Alexander SF Paul George SG Cole Anthony UTIL Kristaps Porzingis,,Jeremiah Robinson-Earl,UTIL,0.08%,0
69,4606536609,timmort2,150.65001,203,C Kristaps Porzingis F Max Strus G Cole Anthony PF LOCKED PG Shai Gilgeous-Alexander SF Paul George SG Cason Wallace UTIL Isaiah Hartenstein,,Trevelin Queen,G,0.08%,9.75
69,4606558837,ScottieTjr,150.65001,203,C Isaiah Hartenstein F Max Strus G Cason Wallace PF LOCKED PG Shai Gilgeous-Alexander SF Paul George SG Cole Anthony UTIL Kristaps Porzingis,,Andre Drummond,C,0.08%,0
