Player,Position,Team,Cash%,Win%,Top1%,Sim. Own%,Proj. Own%,Avg. Return
adam flagler,PG/G/UTIL,OKC,8.44%,0.0%,0.03%,0.01%,0.03%,$-2.64
talen horton-tucker,SF/SG/G/F/UTIL,CHI,6.2%,0.0%,0.03%,0.04%,0.03%,$-2.65
jusuf nurkic,C/UTIL,PHX,7.99%,0.0%,0.03%,0.01%,0.04%,$-2.66
karlo matkovic,C/PF/F/UTIL,NOP,6.7%,0.0%,0.03%,0.03%,0.03%,$-2.66
maxi kleber,C/PF/F/UTIL,DAL,6.22%,0.0%,0.04%,0.06%,0.03%,$-2.67
james wiseman,C/UTIL,IND,6.46%,0.0%,0.03%,0.03%,0.03%,$-2.67
pj hall,C/UTIL,DEN,5.08%,0.0%,0.02%,0.03%,0.03%,$-2.67
branden carlson,C/UTIL,OKC,5.61%,0.0%,0.02%,0.02%,0.03%,$-2.68
caleb martin,PF/SF/F/UTIL,PHI,6.09%,0.0%,0.01%,0.04%,0.04%,$-2.71
emoni bates,PG/G/UTIL,CLE,4.37%,0.0%,0.03%,0.03%,0.03%,$-2.71
khris middleton,SF/SG/G/F/UTIL,MIL,4.85%,0.0%,0.01%,0.09%,0.05%,$-2.76
cam thomas,SG/G/UTIL,BKN,4.01%,0.0%,0.01%,0.04%,0.06%,$-2.77
herbert jones,C/UTIL,NOP,4.15%,0.0%,0.0%,0.03%,0.05%,$-2.79
ty jerome,PG/G/UTIL,CLE,3.16%,0.0%,0.01%,0.03%,0.03%,$-2.8
de'andre hunter,PF/SF/F/UTIL,ATL,3.21%,0.0%,0.01%,0.07%,0.06%,$-2.83
jerami grant,PF/F/UTIL,POR,3.12%,0.0%,0.01%,0.04%,0.05%,$-2.83
damion lee,SG/G/UTIL,PHX,1.84%,0.0%,0.0%,0.01%,0.03%,$-2.85
chet holmgren,PF/F/UTIL,OKC,2.58%,0.0%,0.0%,0.04%,0.07%,$-2.86
andre drummond,C/UTIL,PHI,3.24%,0.0%,0.0%,0.01%,0.04%,$-2.87
ayo dosunmu,PG/SG/G/UTIL,CHI,2.64%,0.0%,0.0%,0.04%,0.06%,$-2.88
paul george,SF/SG/G/F/UTIL,PHI,2.12%,0.0%,0.0%,0.1%,0.07%,$-2.89
dante exum,SF/F/UTIL,DAL,2.44%,0.0%,0.01%,0.01%,0.03%,$-2.9
tyrese haliburton,PG/G/UTIL,IND,1.6%,0.0%,0.0%,0.06%,0.08%,$-2.92
malik monk,PG/SG/G/UTIL,SAC,1.55%,0.0%,0.0%,0.06%,0.07%,$-2.92
jalen johnson,PF/F/UTIL,ATL,1.0%,0.0%,0.0%,0.06%,0.08%,$-2.95
luka doncic,PG/G/UTIL,DAL,0.18%,0.0%,0.0%,1.18%,0.1%,$-2.96
brandon ingram,PG/G/UTIL,NOP,0.78%,0.0%,0.0%,0.08%,0.08%,$-2.96
joel embiid,C/UTIL,PHI,0.65%,0.0%,0.0%,0.06%,0.09%,$-2.97
tyrese maxey,PG/G/UTIL,PHI,0.47%,0.0%,0.0%,0.11%,0.09%,$-2.98
