Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
39,4655571759,bhines5783 (9/10),294.18,63.5,C Alperen Sengun F OG Anunoby G Ja'Kobe Walter PF Dillon Brooks PG Tyrese Haliburton SF Aaron Nesmith SG Andrew Nembhard UTIL LOCKED,,Kyle Kuzma,SF,1.83%,1.25
39,4655073902,tampabay39,277.11,63.5,C Myles Turner F Amen Thompson G Tyrese Haliburton PF Jabari Smith Jr. PG Miles McBride SF Aaron Nesmith SG Andrew Nembhard UTIL Pascal Siakam,,Buddy Hield,SF,1.83%,0
41,4655229001,jcljr23 (12/20),299.08002,63.25,C Wendell Carter Jr. F RJ Barrett G Scottie Barnes PF Paolo Banchero PG Cory Joseph SF Franz Wagner SG Gary Trent Jr. UTIL Jakob Poeltl,,Taurean Prince,G,1.52%,-0.5
41,4655539569,schaszberger (2/5),299.08002,63.25,C Jakob Poeltl F Franz Wagner G Terance Mann PF Paolo Banchero PG Cory Joseph SF Scottie Barnes SG RJ Barrett UTIL Wendell Carter Jr.,,Jimmy Butler,SF,1.50%,3.5
41,4655577719,llozano (1/5),284.94998,63.25,C Jabari Smith Jr. F Aaron Nesmith G Immanuel Quickley PF Dillon Brooks PG Scottie Barnes SF RJ Barrett SG Jalen Green UTIL Draymond Green,,Jakob Poeltl,C,1.34%,6.5
41,4655047415,DarbyR (1/5),279.69,63.25,C Alperen Sengun F Paolo Banchero G Scottie Barnes PF Dillon Brooks PG Cory Joseph SF Aaron Nesmith SG Kentavious Caldwell-Pope UTIL Franz Wagner,,Jabari Smith Jr.,F,1.31%,12.75
45,4655557368,dmega77 (3/6),311.08002,62.75,C Jakob Poeltl F RJ Barrett G AJ Green PF Paolo Banchero PG Scottie Barnes SF Franz Wagner SG Ja'Kobe Walter UTIL LOCKED,,Anthony Black,G,1.09%,2
45,4655314117,jsiroofing (2/2),284.34998,62.75,C Jabari Smith Jr. F Kyle Kuzma G Tyrese Haliburton PF Pascal Siakam PG Immanuel Quickley SF Ja'Kobe Walter SG Aaron Nesmith UTIL Jalen Green,,AJ Green,UTIL,0.80%,0
45,4655582160,llozano (4/5),282.18,62.75,C Alperen Sengun F Aaron Nesmith G Andrew Nembhard PF Dillon Brooks PG Jalen Brunson SF Amen Thompson SG Kentavious Caldwell-Pope UTIL Wendell Carter Jr.,,Terance Mann,G,0.80%,0
48,4655578798,marcoblitz315 (2/3),314.49,62.25,C Jakob Poeltl F LOCKED G Mikal Bridges PF Paolo Banchero PG Tyrese Haliburton SF RJ Barrett SG Jalen Green UTIL LOCKED,,Moses Moody,PF,0.75%,5
48,4655597112,MizzouLew (6/20),310.2,62.25,C LOCKED F Ja'Kobe Walter G Kentavious Caldwell-Pope PF Paolo Banchero PG Scottie Barnes SF Franz Wagner SG RJ Barrett UTIL Brook Lopez,,Mitchell Robinson,C,0.67%,3
48,4655597118,MizzouLew (7/20),310.2,62.25,C LOCKED F Ja'Kobe Walter G Kentavious Caldwell-Pope PF Paolo Banchero PG Scottie Barnes SF Franz Wagner SG RJ Barrett UTIL Brook Lopez,,T.J. McConnell,UTIL,0.67%,3
48,4655600738,MizzouLew (9/20),310.2,62.25,C LOCKED F Ja'Kobe Walter G Kentavious Caldwell-Pope PF Paolo Banchero PG Scottie Barnes SF Franz Wagner SG RJ Barrett UTIL Brook Lopez,,Reed Sheppard,UTIL,0.65%,3.5
48,4655600743,MizzouLew (10/20),310.2,62.25,C LOCKED F Ja'Kobe Walter G Kentavious Caldwell-Pope PF Paolo Banchero PG Scottie Barnes SF Franz Wagner SG RJ Barrett UTIL Brook Lopez,,Obi Toppin,F,0.63%,7
48,4655600765,MizzouLew (12/20),310.2,62.25,C LOCKED F Ja'Kobe Walter G Kentavious Caldwell-Pope PF Paolo Banchero PG Scottie Barnes SF Franz Wagner SG RJ Barrett UTIL Brook Lopez,,Kentavious Caldwell-Pope,SG,0.44%,6
48,4655553368,jumpman230,300,62.25,C Wendell Carter Jr. F Scottie Barnes G Immanuel Quickley PF Paolo Banchero PG Cory Joseph SF Franz Wagner SG RJ Barrett UTIL LOCKED,,Clint Capela,C,0.39%,0
48,4655584387,chicity561,300,62.25,C Wendell Carter Jr. F Franz Wagner G Cory Joseph PF Paolo Banchero PG Immanuel Quickley SF Scottie Barnes SG RJ Barrett UTIL LOCKED,,Mouhamed Gueye,C,0.33%,2
56,4655138643,jcdob1,296.95,61.75,C Steven Adams F LOCKED G Jalen Brunson PF Jabari Smith Jr. PG Reed Sheppard SF RJ Barrett SG Jalen Green UTIL Paolo Banchero,,Quinten Post,C,0.31%,0
57,4655490164,Quackinskulls (2/2),297.22998,61.5,C LOCKED F Aaron Nesmith G RJ Barrett PF Paolo Banchero PG Anthony Black SF Scottie Barnes SG Ja'Kobe Walter UTIL Franz Wagner,,Kevin Porter Jr.,G,0.31%,0
