Contest ID,DK Name,Salary,Points Proj,Value,Own Actual,Contest Size,Games Played,Plus,Position,Team,Ceiling,Minutes,Min Actual,DK,Plus Minus,Player
1,Vasilije Micic,5000,22.72,4.54,1.49,17835,8,-2.28,PG,CHA,2.5,19.1,35,33.3,-8,Vasilije Micic
1,Cason Wallace,4400,17.19,3.91,1.38,17835,8,-4.81,PG/SG,OKC,1.1,21.6,23,25.3,8,Cason Wallace
1,Isaac Okoro,4200,14.2,3.38,1.28,17835,8,-6.8,SG/SF,CLE,0.69,25.3,12,6.5,-5,Isaac Okoro
1,Trey Murphy III,6600,28.78,4.36,1.24,17835,8,-4.22,SG/SF,NOP,3.05,31,34,24.5,-4,Trey Murphy
1,Michael Porter Jr.,7100,30,4.23,1.16,17835,8,-5.5,SF/PF,DEN,3.66,32.5,38,45.3,1,Michael Porter
1,Jarrett Allen,6700,33.29,4.97,1.14,17835,8,-0.21,C,CLE,5.41,30.9,35,38.8,5,Jarrett Allen
1,Jalen Smith,3400,20.6,6.06,1.14,17835,8,3.6,C,CHI,3.47,15.7,12,18.3,2,Jalen Smith
1,Anthony Gill,3000,17.52,5.84,1.08,17835,8,2.52,PF/C,WAS,1.51,8.6,8,5.5,-2,Anthony Gill
1,Carlton Carrington,4600,19.52,4.24,1.05,17835,8,-3.48,PG/SG,WAS,1.51,26.9,28,20,-26,Carlton Carrington
1,Bradley Beal,8300,34.73,4.18,1,17835,8,-6.77,SG/SF,PHX,3.98,33,34,36.5,-4,Bradley Beal
1,Brandon Boston Jr.,5300,15.22,2.87,0.98,17835,8,-11.28,PG/SF,NOP,1.74,16.4,17,20.5,15,Brandon Boston
1,Jamal Murray,8000,36.39,4.55,0.88,17835,8,-3.61,PG/SG,DEN,5.02,32.7,42,35,-10,Jamal Murray
1,Cody Martin,5200,22.66,4.36,0.88,17835,8,-3.34,SF,CHA,1.84,25.9,26,10.8,-29,Cody Martin
1,Quentin Grimes,5200,18.24,3.51,0.88,17835,8,-7.76,SG/SF,DAL,1.5,20.2,25,27.8,-3,Quentin Grimes
1,Keegan Murray,6300,26.32,4.18,0.82,17835,8,-5.18,SF/PF,SAC,2.04,34.1,40,31.8,-4,Keegan Murray
1,Daniel Gafford,5400,23.2,4.3,0.81,17835,8,-3.8,C,DAL,4.49,22.8,19,30.3,24,Daniel Gafford
1,Isaac Jones,3200,16.27,5.08,0.74,17835,8,0.27,PF/C,SAC,1.84,10.2,16,14.8,-2,Isaac Jones
1,Luguentz Dort,4900,21.34,4.36,0.72,17835,8,-3.16,SG/SF,OKC,1.31,28.9,28,25,7,Luguentz Dort
1,Jake LaRavia,3900,11.5,2.95,0.65,17835,8,-8,SF/PF,MEM,1.19,23,29,26.5,25,Jake LaRavia
1,Russell Westbrook,6000,25.71,4.29,0.64,17835,8,-4.29,PG,DEN,4.18,22.5,16,21.8,-15,Russell Westbrook
1,Brandon Ingram,8500,37.26,4.38,0.61,17835,8,-5.24,PG,NOP,6.55,33,37,47.3,-1,Brandon Ingram
1,Julian Strawther,3200,13.24,4.14,0.61,17835,8,-2.76,SG/SF,DEN,0.99,14.2,12,2,-14,Julian Strawther
1,Josh Green,4800,19.7,4.1,0.6,17835,8,-4.3,SF/PF,CHA,1.01,24.3,26,15,-10,Josh Green
1,Grayson Allen,5400,22.73,4.21,0.53,17835,8,-4.27,SG,PHX,1.77,31.4,30,38.5,-9,Grayson Allen
1,Alex Caruso,4100,18.12,4.42,0.52,17835,8,-2.38,SG/SF,OKC,1.59,26.8,17,22.5,6,Alex Caruso
1,Georges Niang,4300,15.6,3.63,0.5,17835,8,-5.9,SF/PF,CLE,1.15,20.9,16,11.5,17,Georges Niang
1,Caris LeVert,5100,21.84,4.28,0.47,17835,8,-3.66,PG/SG,CLE,2.36,27.3,27,37.8,17,Caris LeVert
1,Scotty Pippen Jr.,4100,16.21,3.95,0.44,17835,8,-4.29,PG,MEM,2.51,24,15,9.3,10,Scotty Pippen
1,Gradey Dick,5600,25.42,4.54,0.37,17835,8,-2.58,SG,TOR,2.55,23.8,23,21.8,-8,Gradey Dick
1,Davion Mitchell,3700,14.89,4.02,0.37,17835,8,-3.61,PG/SG,TOR,1,18.5,24,13.3,-14,Davion Mitchell
1,Javonte Green,4000,8.4,2.1,0.3,17835,8,-11.6,SF/PF,NOP,0.56,24,17,8.8,-14,Javonte Green
1,Ty Jerome,4400,15.35,3.49,0.25,17835,8,-6.65,PG,CLE,2.35,17.6,12,7.5,-11,Ty Jerome
1,Johnny Davis,3000,5.18,1.73,0.22,17835,8,-9.82,SG/SF,WAS,0.37,11.4,5,6.8,1,Johnny Davis
1,Josh Okogie,4000,4.45,1.11,0.21,17835,8,-15.55,SF,PHX,0.53,15.5,11,15.5,0,Josh Okogie
1,Kevin Huerter,5100,16.3,3.2,0.2,17835,8,-9.2,SG/SF,SAC,1.3,24.7,25,15,4,Kevin Huerter
1,Jeremiah Robinson-Earl,4300,9.84,2.29,0.2,17835,8,-11.66,PF/C,NOP,1.07,13.1,7,11.3,-5,Jeremiah Robinson-Earl
1,Sam Merrill,4100,12.71,3.1,0.19,17835,8,-7.79,SG,CLE,0.84,17.4,21,19.8,12,Sam Merrill
1,Herbert Jones,5300,18.26,3.44,0.16,17835,8,-8.24,SF/PF,NOP,1.28,30.3,32,38.8,13,Herbert Jones
1,Peyton Watson,4700,13.33,2.84,0.16,17835,8,-10.17,PF,DEN,1.04,18.9,18,14.5,-13,Peyton Watson
1,Torrey Craig,3300,9.44,2.86,0.13,17835,8,-7.06,PF,CHI,0.7,18.5,0,0,0,Torrey Craig
1,Jae Crowder,3300,6.68,2.02,0.12,17835,8,-9.82,PF,SAC,0.33,21.9,13,6.8,1,Jae Crowder
1,Dean Wade,3600,11.95,3.32,0.12,17835,8,-6.05,SF/PF,CLE,0.72,20.9,19,14,-8,Dean Wade
1,Monte Morris,3100,6.94,2.24,0.11,17835,8,-8.56,PG,PHX,0.84,12.8,15,13,-1,Monte Morris
1,Keon Ellis,3900,2.91,0.75,0.1,17835,8,-16.59,PG/SG,SAC,0.19,18.9,2,0,4,Keon Ellis
1,Kenrich Williams,3000,11.12,3.71,0.08,17835,8,-3.88,PF/C,OKC,1.04,13.8,14,26.8,22,Kenrich Williams
1,Jay Huff,3300,14.8,4.49,0.08,17835,8,-1.7,C,MEM,2.11,9.5,20,22,30,Jay Huff
1,Nick Smith Jr.,3000,8.87,2.96,0.07,17835,8,-6.13,SG/SF,CHA,0.79,13.4,19,12.3,-5,Nick Smith
1,Jaden Hardy,4200,5.16,1.23,0.07,17835,8,-15.84,PG/SG,DAL,0.63,13.4,6,15.3,7,Jaden Hardy
1,Maxi Kleber,3500,7.15,2.04,0.06,17835,8,-10.35,PF/C,DAL,0.27,18.9,17,5.5,27,Maxi Kleber
1,Ja'Kobe Walter,4100,11.8,2.88,0.06,17835,8,-8.7,SG,TOR,1.07,17,23,15,-27,JaKobe Walter
1,Justin Champagnie,3000,8,2.67,0.06,17835,8,-7,SF/PF,WAS,0.9,14.2,29,19.8,-21,Justin Champagnie
1,Jericho Sims,3300,2.31,0.7,0.06,17835,8,-14.19,PF/C,NYK,0.18,12.7,3,0.8,-4,Jericho Sims
1,Malaki Branham,3000,0.98,0.33,0.05,17835,8,-14.02,SG/SF,SAS,0.1,19.8,2,-0.5,-2,Malaki Branham
1,Dalen Terry,3000,13.05,4.35,0.05,17835,8,-1.95,SF,CHI,1.1,12.3,28,16,-2,Dalen Terry
1,Jakob Poeltl,7400,35.06,4.74,0.04,17835,8,-1.94,C,TOR,6.38,28.1,0,0,0,Jakob Poeltl
1,Seth Curry,3000,3.9,1.3,0.04,17835,8,-11.1,SG,CHA,0.28,13.6,18,25.8,1,Seth Curry
1,Mark Williams,4800,14.59,3.04,0.03,17835,8,-9.41,C,CHA,3.3,25.8,11,15.8,-11,Mark Williams
1,Ajay Mitchell,3000,6.54,2.18,0.03,17835,8,-8.46,PG,OKC,0.54,16.8,19,22,8,Ajay Mitchell
1,Jamison Battle,3100,0.63,0.2,0.03,17835,8,-14.87,SF,TOR,0.05,13.2,13,12.8,-9,Jamison Battle
