DK Name,Predicted Ownership,Scaled Ownership
Kelly Oubre Jr.,3.258774176,2.202562823137602
Jerami Grant,0.889988003,0.002005999694907656
Malik Monk,2.002279579,0.6442479880097318
Jalen Duren,2.804046108,1.6386053687997109
Peyton Watson,2.917703515,1.7795642108617002
Anfernee Simons,0.796575833,0.002005999933711303
Kevin Huerter,1.487787482,0.006170698043360012
Josh Giddey,3.121297189,2.0320627439153895
Ausar Thompson,2.828122243,1.6684647875609366
Buddy Hield,0.868937153,0.0020059997487231252
Jevon Carter,0.0043,0.002006001959125752
Trey Lyles,0.720618976,0.0020060001278912965
AJ Green,1.960888088,0.5929139236792009
Tim Hardaway Jr.,1.995699615,0.6360874630538031
LeBron James,0.0095,0.002006001945832206
Gabe Vincent,3.921250071,3.024170824921244
Monte Morris,2.393174321,1.129038831429555
Isaiah Collier,0.0,0.0020060019701184915
Jared Butler,5.281227563,4.710825989442891
Cameron Payne,0.01,0.00200600194455398
Johnny Juzang,0.307328318,0.002006001184448666
Lindy Waters III,0.01,0.00200600194455398
Cam Reddish,1.16029807,0.0
Lonzo Ball,1.857214507,0.46433710395481764
Ryan Rollins,0.01,0.00200600194455398
Jaden Hardy,0.01,0.00200600194455398
Micah Potter,0.0038,0.002006001960403977
Cody Williams,1.304707252,0.0
Simone Fontecchio,0.147934799,0.0020060015919304073
Kyle Anderson,0.01,0.00200600194455398
Giannis Antetokounmpo,0.0113,0.0020060019412305938
Donovan Clingan,2.30585882,1.020749435780906
John Collins,0.007,0.0020060019522233335
Dwight Powell,2.570212163,1.3486026053019735
Jusuf Nurkic,0.0058,0.002006001955291075
Ricky Council IV,0.0033,0.002006001961682203
Kyle Lowry,0.849791156,0.002005999797668931
Keon Ellis,0.414555273,0.0020060009103281956
Isaiah Stewart,1.703634853,0.27386636594017055
Christian Koloko,0.01,0.00200600194455398
Delon Wright,0.01,0.00200600194455398
Ronald Holland II,0.531866674,0.002006000610427332
Talen Horton-Tucker,0.722318804,0.002006000123545769
Brice Sensabaugh,0.066189087,0.0020060018009093253
Johnny Davis,0.003,0.002006001962449138
Moses Moody,0.003,0.002006001962449138
Jalen Bridges,0.003,0.002006001962449138
Jordan Poole,0.0079,0.0020060019499225277
Dereck Lively II,0.0057,0.00200600195554672
Andre Drummond,0.0046,0.0020060019583588162
Dalano Banton,0.0037,0.0020060019606596225
Kevon Looney,0.01,0.00200600194455398
Paul Reed,0.0035,0.0020060019611709127
Landry Shamet,0.01,0.00200600194455398
Justin Edwards,0.003,0.002006001962449138
Jalen Pickett,0.003,0.002006001962449138
Drew Eubanks,0.769172986,0.0020060000037653426
Devin Booker,0.009,0.002006001947110431
PJ Washington,0.0071,0.0020060019519676886
Ayo Dosunmu,0.0064,0.002006001953757204
Kyle Kuzma,0.0064,0.002006001953757204
Grayson Allen,0.005,0.0020060019573362358
Naji Marshall,0.0045,0.0020060019586144616
Jaxson Hayes,0.0044,0.0020060019588701065
Alex Len,0.0037,0.0020060019606596225
DeAndre Jordan,0.01,0.00200600194455398
Julian Phillips,0.338887555,0.002006001103769019
Doug McDermott,0.0033,0.002006001961682203
Dalen Terry,0.092633601,0.0020060017333052176
Reggie Jackson,0.01,0.00200600194455398
Torrey Craig,0.003,0.002006001962449138
Pat Connaughton,0.003,0.002006001962449138
Marjon Beauchamp,0.003,0.002006001962449138
Liam Robbins,0.003,0.002006001962449138
Jericho Sims,0.003,0.002006001962449138
Trey Alexander,0.003,0.002006001962449138
Hunter Tyson,0.01,0.00200600194455398
Vlatko Cancar,0.003,0.002006001962449138
Damion Lee,0.003,0.002006001962449138
Rayan Rupert,0.01,0.00200600194455398
Jabari Walker,0.01,0.00200600194455398
Quincy Olivari,0.003,0.002006001962449138
Armel Traore,0.003,0.002006001962449138
Kris Murray,0.766908392,0.0020060000095546665
Kyle Filipowski,1.371385283,0.0
Luka Doncic,0.0111,0.002006001941741884
Keyonte George,0.0059,0.00200600195503543
Aaron Gordon,0.0056,0.002006001955802365
Saddiq Bey,0.0049,0.002006001957591881
Toumani Camara,0.0048,0.002006001957847526
Robert Williams,0.0045,0.0020060019586144616
Christian Wood,0.0043,0.002006001959125752
Jalen Smith,0.004,0.002006001959892687
Jarred Vanderbilt,0.004,0.002006001959892687
Mitchell Robinson,0.0038,0.002006001960403977
KJ Martin,0.0037,0.0020060019606596225
Marvin Bagley III,0.0035,0.0020060019611709127
Gary Payton II,0.0032,0.002006001961937848
DJ Steward,0.003,0.002006001962449138
Chris Duarte,0.003,0.002006001962449138
Adama Sanogo,0.003,0.002006001962449138
E.J. Liddell,0.003,0.002006001962449138
Stanley Umude,0.003,0.002006001962449138
Tyler Smith,0.003,0.002006001962449138
AJ Johnson,0.003,0.002006001962449138
Chris Livingston,0.003,0.002006001962449138
Jacob Toppin,0.003,0.002006001962449138
Anthony Gill,0.003,0.002006001962449138
Patrick Baldwin Jr.,0.003,0.002006001962449138
Richaun Holmes,0.003,0.002006001962449138
Tristan Vukcevic,0.003,0.002006001962449138
Boo Buie,0.003,0.002006001962449138
Matt Ryan,0.003,0.002006001962449138
