Contest ID,Player Pool,Test MSE,Test R^2,Ownership Correlation,Configuration
13,104,16.096,0.891,0.958,"depth=5, learning_rate=0.05, l2_leaf_reg=7, iterations=250"
14,382,13.291,0.646,0.805,"depth=5, learning_rate=0.05, l2_leaf_reg=7, iterations=250"
15,106,30.193,0.778,0.903,"depth=5, learning_rate=0.05, l2_leaf_reg=7, iterations=250"
16,387,10.754,0.737,0.86,"depth=5, learning_rate=0.05, l2_leaf_reg=7, iterations=250"
17,173,19.368,0.717,0.866,"depth=5, learning_rate=0.05, l2_leaf_reg=7, iterations=250"
18,246,21.131,0.542,0.787,"depth=5, learning_rate=0.05, l2_leaf_reg=7, iterations=250"
19,280,17.649,0.508,0.753,"depth=5, learning_rate=0.05, l2_leaf_reg=7, iterations=250"
20,247,12.326,0.729,0.877,"depth=5, learning_rate=0.05, l2_leaf_reg=7, iterations=250"
21,177,24.319,0.689,0.845,"depth=5, learning_rate=0.05, l2_leaf_reg=7, iterations=250"
22,247,23.441,0.592,0.779,"depth=5, learning_rate=0.05, l2_leaf_reg=7, iterations=250"
23,141,19.954,0.796,0.921,"depth=5, learning_rate=0.05, l2_leaf_reg=7, iterations=250"
Average,192.7,26.563,0.698,0.858,"depth=7, learning_rate=0.05, l2_leaf_reg=3, iterations=250"
5,43,51.231,0.797,0.939,"depth=5, learning_rate=0.05, l2_leaf_reg=7, iterations=500"
6,45,67.432,0.771,0.91,"depth=5, learning_rate=0.05, l2_leaf_reg=7, iterations=500"
7,71,39.545,0.782,0.91,"depth=5, learning_rate=0.05, l2_leaf_reg=7, iterations=500"
8,134,42.865,0.599,0.802,"depth=5, learning_rate=0.05, l2_leaf_reg=7, iterations=500"
9,71,44.123,0.786,0.914,"depth=5, learning_rate=0.05, l2_leaf_reg=7, iterations=500"
10,211,28.814,0.5,0.791,"depth=5, learning_rate=0.05, l2_leaf_reg=7, iterations=500"
11,210,14.731,0.785,0.893,"depth=5, learning_rate=0.05, l2_leaf_reg=7, iterations=500"
12,387,10.941,0.655,0.811,"depth=5, learning_rate=0.05, l2_leaf_reg=7, iterations=500"
13,104,16.713,0.887,0.957,"depth=5, learning_rate=0.05, l2_leaf_reg=7, iterations=500"
14,382,11.579,0.694,0.835,"depth=5, learning_rate=0.05, l2_leaf_reg=7, iterations=500"
15,106,28.121,0.794,0.913,"depth=5, learning_rate=0.05, l2_leaf_reg=7, iterations=500"
16,387,10.593,0.739,0.861,"depth=5, learning_rate=0.05, l2_leaf_reg=7, iterations=500"
17,173,22.1,0.672,0.848,"depth=5, learning_rate=0.05, l2_leaf_reg=7, iterations=500"
18,246,22.804,0.506,0.781,"depth=5, learning_rate=0.05, l2_leaf_reg=7, iterations=500"
19,280,18.291,0.5,0.755,"depth=5, learning_rate=0.05, l2_leaf_reg=7, iterations=500"
20,247,12.311,0.731,0.882,"depth=5, learning_rate=0.05, l2_leaf_reg=7, iterations=500"
21,177,25.008,0.68,0.844,"depth=5, learning_rate=0.05, l2_leaf_reg=7, iterations=500"
22,247,23.563,0.586,0.778,"depth=5, learning_rate=0.05, l2_leaf_reg=7, iterations=500"
23,141,20.153,0.794,0.92,"depth=5, learning_rate=0.05, l2_leaf_reg=7, iterations=500"
Average,192.7,26.587,0.701,0.859,"depth=5, learning_rate=0.05, l2_leaf_reg=7, iterations=250"
5,43,51.907,0.793,0.938,"depth=5, learning_rate=0.05, l2_leaf_reg=9, iterations=250"
6,45,63.982,0.786,0.916,"depth=5, learning_rate=0.05, l2_leaf_reg=9, iterations=250"
7,71,38.76,0.789,0.909,"depth=5, learning_rate=0.05, l2_leaf_reg=9, iterations=250"
8,134,40.67,0.618,0.808,"depth=5, learning_rate=0.05, l2_leaf_reg=9, iterations=250"
9,71,41.547,0.797,0.92,"depth=5, learning_rate=0.05, l2_leaf_reg=9, iterations=250"
10,211,30.682,0.471,0.78,"depth=5, learning_rate=0.05, l2_leaf_reg=9, iterations=250"
11,210,16.44,0.76,0.878,"depth=5, learning_rate=0.05, l2_leaf_reg=9, iterations=250"
12,387,10.625,0.662,0.816,"depth=5, learning_rate=0.05, l2_leaf_reg=9, iterations=250"
13,104,16.92,0.886,0.956,"depth=5, learning_rate=0.05, l2_leaf_reg=9, iterations=250"
14,382,13.234,0.647,0.806,"depth=5, learning_rate=0.05, l2_leaf_reg=9, iterations=250"
15,106,32.995,0.755,0.892,"depth=5, learning_rate=0.05, l2_leaf_reg=9, iterations=250"
