Contest ID,DK Name,Salary,Points Proj,Value,Own Actual,Contest Size,Games Played,Plus,Position,Team,Ceiling,Minutes,Tournament Feasibility
1,Jaden Hardy,4200,5.16,1.23,0.07,17835,8,-15.84,PG/SG,DAL,0.63,13.4,0.0
1,Maxi Kleber,3500,7.15,2.04,0.06,17835,8,-10.35,PF/C,DAL,0.27,18.9,0.0
1,Ja'Kobe Walter,4100,11.8,2.88,0.06,17835,8,-8.7,SG,TOR,1.07,17.0,0.0
1,Justin Champagnie,3000,8.0,2.67,0.06,17835,8,-7.0,SF/PF,WAS,0.9,14.2,0.0
1,Jericho Sims,3300,2.31,0.7,0.06,17835,8,-14.19,PF/C,NYK,0.18,12.7,0.0
1,Malaki Branham,3000,0.98,0.33,0.05,17835,8,-14.02,SG/SF,SAS,0.1,19.8,0.0
1,Dalen Terry,3000,13.05,4.35,0.05,17835,8,-1.95,SF,CHI,1.1,12.3,0.0
1,Jakob Poeltl,7400,35.06,4.74,0.04,17835,8,-1.94,C,TOR,6.38,28.1,0.0
1,Seth Curry,3000,3.9,1.3,0.04,17835,8,-11.1,SG,CHA,0.28,13.6,0.0
1,Mark Williams,4800,14.59,3.04,0.03,17835,8,-9.41,C,CHA,3.3,25.8,0.0
1,Ajay Mitchell,3000,6.54,2.18,0.03,17835,8,-8.46,PG,OKC,0.54,16.8,0.0
1,Jamison Battle,3100,0.63,0.2,0.03,17835,8,-14.87,SF,TOR,0.05,13.2,0.0
1,Luke Kennard,3200,8.96,2.8,0.02,17835,8,-7.04,SG/SF,MEM,0.61,23.6,0.0
1,Precious Achiuwa,3900,12.28,3.15,0.02,17835,8,-7.22,C,NYK,1.35,22.0,0.0
1,Ryan Dunn,3400,13.93,4.1,0.02,17835,8,-3.07,PF,PHX,1.03,18.7,0.0
1,Moussa Diabate,4500,5.33,1.18,0.02,17835,8,-17.17,C,CHA,0.58,15.7,0.0
1,Cameron Payne,3600,16.57,4.6,0.01,17835,8,-1.43,PG/SG,NYK,1.78,16.9,0.0
1,Jamal Shead,3000,1.96,0.65,0.01,17835,8,-13.04,PG,TOR,0.18,14.4,0.0
1,Richaun Holmes,3000,6.58,2.19,0.01,17835,8,-8.42,C,WAS,0.93,13.2,0.0
1,Jevon Carter,3000,2.51,0.84,0.01,17835,8,-12.49,PG/SG,CHI,0.21,12.6,0.0
1,David Duke Jr.,3000,1.07,0.36,0.01,17835,8,-13.93,PG/SG,SAS,0.13,11.3,0.0
1,Dillon Jones,3000,4.34,1.45,0.01,17835,8,-10.66,PF,OKC,0.41,10.8,0.0
1,Jaylon Tyson,4000,0.94,0.24,0.01,17835,8,-19.06,SG/SF,CLE,0.08,10.4,0.0
1,Zeke Nnaji,3000,1.52,0.51,0.01,17835,8,-13.48,C,DEN,0.19,9.4,0.0
1,Hunter Tyson,3000,1.01,0.34,0.01,17835,8,-13.99,SF/PF,DEN,0.07,6.9,0.0
2,Keldon Johnson,4500,26.58,5.91,47.03,19406,7,4.08,SF/PF,SAS,3.87,28.6,0.0
2,Stephon Castle,4800,26.81,5.59,44.65,19406,7,2.81,SG,SAS,3.46,26.0,0.0
2,Tyrese Haliburton,8300,44.85,5.4,32.07,19406,7,3.35,PG,IND,6.63,32.9,0.0
2,Jeremy Sochan,6100,32.88,5.39,31.59,19406,7,2.38,C,SAS,5.1,29.3,0.0
2,Obi Toppin,3600,18.87,5.24,28.22,19406,7,0.87,PF/C,IND,2.47,20.7,0.0
2,D'Angelo Russell,5400,31.43,5.82,27.23,19406,7,4.43,PG,LAL,3.8,31.6,0.0
2,Anthony Davis,10200,53.33,5.23,25.8,19406,7,2.33,C,LAL,17.08,35.5,0.0
2,T.J. McConnell,4700,25.82,5.49,25.1,19406,7,2.32,PG,IND,5.49,18.7,0.0
2,Dalton Knecht,4700,23.38,4.98,23.79,19406,7,-0.12,SG/SF,LAL,1.96,24.6,0.0
2,Walker Kessler,6300,31.56,5.01,20.09,19406,7,0.06,C,UTA,5.09,24.2,0.0
2,LeBron James,9600,49.06,5.11,19.25,19406,7,1.06,PF/C,LAL,12.92,35.0,0.0
2,Domantas Sabonis,9300,49.29,5.3,17.59,19406,7,2.79,C,SAC,12.61,35.5,0.0
2,Chris Paul,6200,34.32,5.54,15.73,19406,7,3.32,PG,SAS,4.74,26.8,0.0
2,Jalen Johnson,8500,41.1,4.84,14.88,19406,7,-1.4,PF,ATL,6.91,34.0,0.0
2,De'Andre Hunter,5000,24.55,4.91,14.59,19406,7,-0.45,SF/PF,ATL,3.0,29.0,0.0
2,Anfernee Simons,6600,33.43,5.06,13.38,19406,7,0.43,PG,POR,4.25,33.0,0.0
2,Nikola Vucevic,8400,42.92,5.11,12.5,19406,7,0.92,C,CHI,7.52,33.5,0.0
2,Bogdan Bogdanovic,4700,23.91,5.09,12.18,19406,7,0.41,SG/SF,ATL,2.31,29.8,0.0
2,Julian Champagnie,4900,24.87,5.08,12.05,19406,7,0.37,SG/SF,SAS,2.49,21.9,0.0
2,Pascal Siakam,7800,39.79,5.1,11.78,19406,7,0.79,PF/C,IND,5.95,33.4,0.0
2,John Collins,7200,33.4,4.64,11.66,19406,7,-2.6,PF/C,UTA,6.33,27.8,0.0
2,Derrick White,7100,33.95,4.78,11.12,19406,7,-1.55,PG/SG,BOS,3.57,33.1,0.0
2,Clint Capela,5400,28.81,5.33,10.97,19406,7,1.81,C,ATL,5.38,25.0,0.0
2,Ayo Dosunmu,5700,26.05,4.57,10.94,19406,7,-2.45,PG/SG,CHI,2.4,29.2,0.0
2,Myles Turner,6700,34.75,5.19,10.06,19406,7,1.25,C,IND,4.94,28.5,0.0
2,Bennedict Mathurin,6800,32.75,4.82,9.69,19406,7,-1.25,SG/SF,IND,3.96,27.7,0.0
2,Shaedon Sharpe,5900,29.19,4.95,9.3,19406,7,-0.31,PG/SG,POR,3.28,32.2,0.0
2,Jerami Grant,5700,29.2,5.12,9.12,19406,7,0.7,PF,POR,2.81,33.0,0.0
2,Rui Hachimura,4900,22.87,4.67,9.12,19406,7,-1.63,SF/PF,LAL,1.78,27.6,0.0
2,Keyonte George,5900,29.88,5.07,8.83,19406,7,0.38,PG,UTA,3.75,27.7,0.0
2,Moritz Wagner,4500,23.73,5.27,8.7,19406,7,1.23,C,ORL,5.37,17.7,0.0
2,Julius Randle,7300,36.47,5.0,8.67,19406,7,-0.03,PF/C,MIN,6.37,34.6,0.0
2,Jrue Holiday,5100,26.56,5.21,8.64,19406,7,1.06,PG,BOS,2.6,33.0,0.0
2,Deandre Ayton,6800,36.12,5.31,8.58,19406,7,2.12,C,POR,6.45,31.7,0.0
2,Jayson Tatum,10000,49.14,4.91,8.44,19406,7,-0.86,SF/PF,BOS,12.35,36.2,0.0
2,Franz Wagner,9500,47.31,4.98,8.22,19406,7,-0.19,SF/PF,ORL,10.83,32.5,0.0
2,Payton Pritchard,5800,24.36,4.2,8.0,19406,7,-4.64,PG/SG,BOS,2.91,22.7,0.0
2,Malik Monk,7000,33.38,4.77,6.99,19406,7,-1.62,PG/SG,SAC,4.66,26.2,0.0
2,DeMar DeRozan,7400,36.5,4.93,6.98,19406,7,-0.5,SF/PF,SAC,5.5,37.2,0.0
2,Jaylen Brown,8600,40.95,4.76,6.48,19406,7,-2.05,SG/SF,BOS,7.33,34.1,0.0
2,Jalen Smith,3300,16.03,4.86,6.45,19406,7,-0.47,C,CHI,2.7,15.7,0.0
2,Paul George,7600,34.83,4.58,6.24,19406,7,-3.17,SF/PF,PHI,5.7,33.1,0.0
2,Jonathan Kuminga,5200,22.26,4.28,6.0,19406,7,-3.74,PF,GSW,4.08,25.5,0.0
2,Anthony Edwards,8900,43.18,4.85,5.88,19406,7,-1.32,PG/SG,MIN,8.41,35.8,0.0
2,Zach Collins,5000,24.53,4.91,5.74,19406,7,-0.47,C,SAS,4.46,20.5,0.0
2,Giannis Antetokounmpo,12000,54.18,4.52,5.55,19406,7,-5.82,PF/C,MIL,21.64,34.8,0.0
2,Rudy Gobert,6600,34.93,5.29,5.46,19406,7,1.93,C,MIN,4.44,33.8,0.0
2,Collin Sexton,6200,29.96,4.83,4.83,19406,7,-1.04,PG/SG,UTA,4.48,26.8,0.0
