DK Name,Original_Ownership,Scaled_Ownership
Marjon Beauchamp,0.003,0.0083810483413409
Liam Robbins,0.003,0.0083810483413409
Jericho Sims,0.003,0.0083810483413409
Trey Alexander,0.003,0.0083810483413409
Hunter Tyson,0.01,0.008381048389521223
Vlatko Cancar,0.003,0.0083810483413409
Damion Lee,0.003,0.0083810483413409
Rayan Rupert,0.01,0.008381048389521223
Jabari Walker,0.01,0.008381048389521223
Quincy Olivari,0.003,0.0083810483413409
Armel Traore,0.003,0.0083810483413409
Kris Murray,0.766908392,0.008381053599248501
Kyle Filipowski,1.371385283,1.3713852841618834
Luka Doncic,0.0111,0.008381048397092417
Keyonte George,0.0059,0.008381048361301319
Aaron Gordon,0.0056,0.008381048359236448
Saddiq Bey,0.0049,0.008381048354418417
Toumani Camara,0.0048,0.008381048353730125
Robert Williams,0.0045,0.008381048351665255
Christian Wood,0.0043,0.008381048350288675
Jalen Smith,0.004,0.008381048348223803
Jarred Vanderbilt,0.004,0.008381048348223803
Mitchell Robinson,0.0038,0.008381048346847223
KJ Martin,0.0037,0.008381048346158932
Marvin Bagley III,0.0035,0.008381048344782352
Gary Payton II,0.0032,0.008381048342717481
DJ Steward,0.003,0.0083810483413409
Chris Duarte,0.003,0.0083810483413409
Adama Sanogo,0.003,0.0083810483413409
E.J. Liddell,0.003,0.0083810483413409
Stanley Umude,0.003,0.0083810483413409
Tyler Smith,0.003,0.0083810483413409
AJ Johnson,0.003,0.0083810483413409
Chris Livingston,0.003,0.0083810483413409
Jacob Toppin,0.003,0.0083810483413409
Anthony Gill,0.003,0.0083810483413409
Patrick Baldwin Jr.,0.003,0.0083810483413409
Richaun Holmes,0.003,0.0083810483413409
Tristan Vukcevic,0.003,0.0083810483413409
Boo Buie,0.003,0.0083810483413409
Matt Ryan,0.003,0.0083810483413409
Pacome Dadiet,0.003,0.0083810483413409
Tyler Kolek,0.003,0.0083810483413409
Ariel Hukporti,0.003,0.0083810483413409
Kevin McCullar Jr.,0.003,0.0083810483413409
Oscar Tshiebwe,0.003,0.0083810483413409
Patty Mills,0.003,0.0083810483413409
David Jones Garcia,0.003,0.0083810483413409
Taylor Hendricks,0.003,0.0083810483413409
Pete Nance,0.003,0.0083810483413409
Jeff Dowtin,0.003,0.0083810483413409
Adem Bona,0.536309685,0.008381052012059896
Eric Gordon,0.003,0.0083810483413409
Jared McCain,0.003,0.0083810483413409
Dario Saric,0.003,0.0083810483413409
Spencer Jones,0.003,0.0083810483413409
Zeke Nnaji,0.003,0.0083810483413409
PJ Hall,0.003,0.0083810483413409
DaRon Holmes II,0.003,0.0083810483413409
Cole Swider,0.003,0.0083810483413409
Alondes Williams,0.003,0.0083810483413409
Daniss Jenkins,0.003,0.0083810483413409
Marcus Sasser,0.003,0.0083810483413409
Wendell Moore Jr.,0.003,0.0083810483413409
Bobi Klintman,0.003,0.0083810483413409
