PG,SG,SF,PF,C,G,F,UTIL,Proj,Ceiling,Salary,Cash %,Top 1%,ROI%,Wins,Own Sum,Avg Return,Stack1,Stack2,Lineup,Dupes,User,Index,Entry ID
Coby White (37509464),Kelly Oubre Jr. (37509455),Naji Marshall (37509550),Patrick Williams (37509554),Kylor Kelley (37509901),Cade Cunningham (37509362),Giannis Antetokounmpo (37509355),Brandon Clarke (37509622),301.49999999999994,403.81999999999994,49800,100.00%,33236,1519.48%,25,180.64,$45.58,CHI 2,DAL 2,user7,1,marvalshot,12030,4630248025_7
Cade Cunningham (37509362),Klay Thompson (37509505),Naji Marshall (37509550),Santi Aldama (37509528),Kylor Kelley (37509901),Desmond Bane (37509420),Olivier-Maxence Prosper (37509676),Giannis Antetokounmpo (37509355),302.13,409.15,50000,100.00%,40156,1271.91%,0,220.87,$38.16,DAL 4,MEM 2,user14,1,marvalshot,12052,4630248026_14
Cade Cunningham (37509362),Quentin Grimes (37509557),Klay Thompson (37509505),Naji Marshall (37509550),Ivica Zubac (37509426),Kevin Porter Jr. (37509656),Olivier-Maxence Prosper (37509676),Giannis Antetokounmpo (37509355),300.26,407.59,49800,100.00%,21748,277.94%,0,211.19,$8.34,DAL 4,LAC 2,user2,50,marvalshot,12042,4630248027_2
Cade Cunningham (37509362),Quentin Grimes (37509557),Naji Marshall (37509550),Olivier-Maxence Prosper (37509676),Nikola Vucevic (37509400),Jaden Hardy (37509673),Santi Aldama (37509528),Giannis Antetokounmpo (37509355),304.25,414.06,50000,100.00%,48572,2001.19%,54,226.35999999999999,$60.04,DAL 4,DET 1,user3,49,marvalshot,11837,4630248018_3
Cade Cunningham (37509362),Quentin Grimes (37509557),Ausar Thompson (37509531),Naji Marshall (37509550),Nikola Vucevic (37509400),Jaden Hardy (37509673),Giannis Antetokounmpo (37509355),Olivier-Maxence Prosper (37509676),302.18,411.01,50000,100.00%,39727,460.0%,0,212.45,$13.8,DAL 4,DET 2,user3,50,marvalshot,1093,4630248019_3
Josh Giddey (37509444),Klay Thompson (37509505),Quentin Grimes (37509557),Giannis Antetokounmpo (37509355),Nikola Vucevic (37509400),Kelly Oubre Jr. (37509455),Naji Marshall (37509550),Kylor Kelley (37509901),304.03000000000003,404.75,49700,100.00%,48044,5921.62%,21,189.94,$177.65,DAL 4,CHI 2,user12,1,marvalshot,11850,4630248020_12
Josh Giddey (37509444),Khris Middleton (37509493),Klay Thompson (37509505),Giannis Antetokounmpo (37509355),Nikola Vucevic (37509400),Derrick White (37509458),Olivier-Maxence Prosper (37509676),Kylor Kelley (37509901),293.06,396.29,49400,100.00%,36,115.88%,0,154.0,$3.48,DAL 3,CHI 2,user48,1,marvalshot,11923,4630248021_48
Jaden Hardy (37509673),Desmond Bane (37509420),Naji Marshall (37509550),Giannis Antetokounmpo (37509355),Nikola Vucevic (37509400),Kevin Porter Jr. (37509656),Jaylen Brown (37509406),Olivier-Maxence Prosper (37509676),298.01,404.36,50000,100.00%,7294,196.0%,0,191.14000000000001,$5.88,DAL 3,MEM 1,user6,1,marvalshot,11930,4630248022_6
Josh Giddey (37509444),Luke Kennard (37509544),Matas Buzelis (37509624),Giannis Antetokounmpo (37509355),Nikola Vucevic (37509400),Damian Lillard (37509385),Olivier-Maxence Prosper (37509676),Kylor Kelley (37509901),302.38,407.96999999999997,49900,100.00%,39002,2409.52%,37,189.43,$72.29,CHI 3,MIL 2,user3,1,marvalshot,11976,4630248023_3
Cade Cunningham (37509362),Coby White (37509464),Naji Marshall (37509550),Giannis Antetokounmpo (37509355),Nikola Vucevic (37509400),Ja'Kobe Walter (37509706),Olivier-Maxence Prosper (37509676),Kylor Kelley (37509901),304.56,411.22,49900,100.00%,49560,6536.02%,28,191.8,$196.08,DAL 3,CHI 2,user47,1,marvalshot,12022,4630248024_47
Coby White (37509464),Kelly Oubre Jr. (37509455),Naji Marshall (37509550),Patrick Williams (37509554),Giannis Antetokounmpo (37509355),Cade Cunningham (37509362),Olivier-Maxence Prosper (37509676),Kevin Porter Jr. (37509656),300.54,403.58000000000004,49900,100.00%,24697,588.0%,2,188.17000000000002,$17.64,CHI 2,DAL 2,user12,1,marvalshot,12035,4630248025_12
Cade Cunningham (37509362),Klay Thompson (37509505),Naji Marshall (37509550),Olivier-Maxence Prosper (37509676),Kylor Kelley (37509901),Kevin Porter Jr. (37509656),Giannis Antetokounmpo (37509355),Damian Lillard (37509385),301.95,410.19,49900,100.00%,38918,1248.29%,2,200.07999999999998,$37.45,DAL 4,MIL 2,user43,1,marvalshot,12079,4630248026_43
Cade Cunningham (37509362),Quentin Grimes (37509557),Klay Thompson (37509505),Naji Marshall (37509550),Ivica Zubac (37509426),Kevin Porter Jr. (37509656),Olivier-Maxence Prosper (37509676),Giannis Antetokounmpo (37509355),300.26,407.59,49800,100.00%,21748,277.94%,0,211.19,$8.34,DAL 4,LAC 2,user3,50,marvalshot,12042,4630248027_3
Cade Cunningham (37509362),Quentin Grimes (37509557),Naji Marshall (37509550),Olivier-Maxence Prosper (37509676),Nikola Vucevic (37509400),Jaden Hardy (37509673),Santi Aldama (37509528),Giannis Antetokounmpo (37509355),304.25,414.06,50000,100.00%,48572,2001.19%,54,226.35999999999999,$60.04,DAL 4,DET 1,user4,49,marvalshot,11837,4630248018_4
Cade Cunningham (37509362),Quentin Grimes (37509557),Ausar Thompson (37509531),Naji Marshall (37509550),Nikola Vucevic (37509400),Jaden Hardy (37509673),Giannis Antetokounmpo (37509355),Olivier-Maxence Prosper (37509676),302.18,411.01,50000,100.00%,39727,460.0%,0,212.45,$13.8,DAL 4,DET 2,user4,50,marvalshot,1093,4630248019_4
Josh Giddey (37509444),Desmond Bane (37509420),Quentin Grimes (37509557),Olivier-Maxence Prosper (37509676),Nikola Vucevic (37509400),Klay Thompson (37509505),Giannis Antetokounmpo (37509355),Kylor Kelley (37509901),303.97,409.67,49900,100.00%,47714,5344.74%,14,202.04,$160.34,DAL 4,CHI 2,user16,1,marvalshot,11854,4630248020_16
Josh Giddey (37509444),Luke Kennard (37509544),RJ Barrett (37509428),Giannis Antetokounmpo (37509355),Nikola Vucevic (37509400),Jaden Hardy (37509673),Olivier-Maxence Prosper (37509676),Santi Aldama (37509528),292.84000000000003,398.06000000000006,49700,100.00%,81,113.78%,0,171.86,$3.41,CHI 2,MEM 2,user36,1,marvalshot,11911,4630248021_36
Luke Kennard (37509544),Kelly Oubre Jr. (37509455),RJ Barrett (37509428),Santi Aldama (37509528),Nikola Vucevic (37509400),Quentin Grimes (37509557),Giannis Antetokounmpo (37509355),Kylor Kelley (37509901),297.39,397.22,50000,100.00%,4846,190.52%,0,186.10999999999999,$5.72,MEM 2,DAL 2,user24,1,marvalshot,11948,4630248022_24
Josh Giddey (37509444),Quentin Grimes (37509557),Matas Buzelis (37509624),Giannis Antetokounmpo (37509355),Nikola Vucevic (37509400),Desmond Bane (37509420),Naji Marshall (37509550),Kylor Kelley (37509901),302.69,407.45,49700,100.00%,42032,2255.47%,16,222.56,$67.66,CHI 3,DAL 3,user2,1,marvalshot,11975,4630248023_2
Cade Cunningham (37509362),Coby White (37509464),Naji Marshall (37509550),Olivier-Maxence Prosper (37509676),Nikola Vucevic (37509400),Dante Exum (37509910),Giannis Antetokounmpo (37509355),Kylor Kelley (37509901),304.40999999999997,411.28,49800,100.00%,49442,5869.0%,15,193.48,$176.07,DAL 4,CHI 2,user49,1,marvalshot,12024,4630248024_49
Coby White (37509464),Kelly Oubre Jr. (37509455),Naji Marshall (37509550),Patrick Williams (37509554),Kylor Kelley (37509901),Cade Cunningham (37509362),Giannis Antetokounmpo (37509355),Kevin Porter Jr. (37509656),300.22999999999996,402.9699999999999,49600,100.00%,21765,530.84%,0,182.76,$15.93,CHI 2,DAL 2,user15,1,marvalshot,12038,4630248025_15
Cade Cunningham (37509362),Kelly Oubre Jr. (37509455),Quentin Grimes (37509557),Giannis Antetokounmpo (37509355),Ivica Zubac (37509426),Kevin Porter Jr. (37509656),Olivier-Maxence Prosper (37509676),Kylor Kelley (37509901),301.68,407.69,49800,100.00%,35895,1149.36%,1,191.81,$34.48,DAL 3,LAC 2,user41,1,marvalshot,12077,4630248026_41
Cade Cunningham (37509362),Quentin Grimes (37509557),Klay Thompson (37509505),Naji Marshall (37509550),Ivica Zubac (37509426),Kevin Porter Jr. (37509656),Olivier-Maxence Prosper (37509676),Giannis Antetokounmpo (37509355),300.26,407.59,49800,100.00%,21748,277.94%,0,211.19,$8.34,DAL 4,LAC 2,user4,50,marvalshot,12042,4630248027_4
Cade Cunningham (37509362),Quentin Grimes (37509557),Naji Marshall (37509550),Olivier-Maxence Prosper (37509676),Nikola Vucevic (37509400),Jaden Hardy (37509673),Santi Aldama (37509528),Giannis Antetokounmpo (37509355),304.25,414.06,50000,100.00%,48572,2001.19%,54,226.35999999999999,$60.04,DAL 4,DET 1,user5,49,marvalshot,11837,4630248018_5
Cade Cunningham (37509362),Quentin Grimes (37509557),Ausar Thompson (37509531),Naji Marshall (37509550),Nikola Vucevic (37509400),Jaden Hardy (37509673),Giannis Antetokounmpo (37509355),Olivier-Maxence Prosper (37509676),302.18,411.01,50000,100.00%,39727,460.0%,0,212.45,$13.8,DAL 4,DET 2,user5,50,marvalshot,1093,4630248019_5
Josh Giddey (37509444),Spencer Dinwiddie (37509498),Naji Marshall (37509550),Giannis Antetokounmpo (37509355),Nikola Vucevic (37509400),Darius Garland (37509423),Olivier-Maxence Prosper (37509676),Kylor Kelley (37509901),303.55,410.3,50000,100.00%,46316,4157.19%,77,179.05,$124.72,DAL 4,CHI 2,user34,1,marvalshot,11872,4630248020_34
Josh Giddey (37509444),Quentin Grimes (37509557),Naji Marshall (37509550),Kessler Edwards (37509721),Nikola Vucevic (37509400),Darius Garland (37509423),Giannis Antetokounmpo (37509355),Olivier-Maxence Prosper (37509676),292.10999999999996,395.59999999999997,49300,100.00%,2,104.38%,0,181.07999999999998,$3.13,DAL 4,CHI 2,user24,1,marvalshot,11899,4630248021_24
