PG,SG,SF,PF,C,G,F,UTIL,Fpts Proj,Field Fpts Proj,Ceiling,Salary,Win %,Top 10%,ROI%,Cash %,Own. Sum,Avg. Return,Stack1 Type,Stack2 Type,Lineup Type,Sim Dupes
Jordan Poole (37514515),Keon Ellis (37514889),Josh Hart (37514475),Naz Reid (37514564),Mark Williams (37514441),Jamal Murray (37514488),Aaron Wiggins (37514609),Isaiah Joe (37514786),288.89,281.86,371.75,49200,0.0%,1.02%,-16.4%,30.0%,128.70000000000002,$-0.5,OKC 2,WAS 1,generated,1
Jalen Brunson (37514435),Devin Vassell (37514559),Gary Trent Jr. (37514781),Naz Reid (37514564),Nikola Jokic (37514396),AJ Green (37514934),Keldon Johnson (37514748),Santi Aldama (37514673),285.75999999999993,279.13999999999993,380.13000000000005,49600,0.0%,1.15%,-16.4%,28.51%,117.9,$-0.5,SAS 2,MIL 2,generated,1
Malik Monk (37514495),Andre Jackson Jr. (37514872),Aaron Nesmith (37514809),Naz Reid (37514564),Precious Achiuwa (37514646),Jose Alvarado (37514686),Pascal Siakam (37514472),Shai Gilgeous-Alexander (37514402),285.62,274.77,374.65,49300,0.01%,0.96%,-16.4%,27.43%,102.85,$-0.5,IND 2,SAC 1,generated,1
Luke Kennard (37514694),AJ Green (37514934),Aaron Wiggins (37514609),Naz Reid (37514564),Rudy Gobert (37514542),Chris Paul (37514589),Michael Porter Jr. (37514568),Nikola Jokic (37514396),288.9,280.46999999999997,375.6,49600,0.0%,0.86%,-16.4%,30.2%,122.92,$-0.5,MIN 2,DEN 2,generated,1
Anthony Edwards (37514420),Malcolm Brogdon (37514629),Ausar Thompson (37514714),Pat Connaughton (37514974),Mark Williams (37514441),Ryan Rollins (37515010),Amen Thompson (37514443),Collin Sexton (37514511),280.83000000000004,267.78000000000003,375.54,49200,0.01%,0.94%,-16.4%,23.4%,97.70000000000002,$-0.5,MIL 2,MIN 1,generated,1
Jordan Poole (37514515),Luke Kennard (37514694),Amen Thompson (37514443),Precious Achiuwa (37514646),Jonas Valanciunas (37514579),Malik Monk (37514495),John Collins (37514528),Stephon Castle (37514633),281.52,275.03000000000003,366.66999999999996,49500,0.02%,0.72%,-16.4%,22.09%,89.73,$-0.5,WAS 2,MEM 1,generated,1
Cade Cunningham (37514407),Cam Whitmore (37514855),Aaron Wiggins (37514609),Tari Eason (37514613),Mark Williams (37514441),Collin Sexton (37514511),Devin Vassell (37514559),AJ Green (37514934),281.3,273.21000000000004,376.9200000000001,49400,0.01%,1.08%,-16.4%,24.52%,107.57,$-0.5,HOU 2,DET 1,generated,1
Cade Cunningham (37514407),Isaiah Collier (37514640),Jaylen Wells (37514756),Naz Reid (37514564),Jonas Valanciunas (37514579),AJ Green (37514934),Michael Porter Jr. (37514568),Jaren Jackson Jr. (37514448),283.25,275.92,374.34000000000003,49000,0.01%,0.92%,-16.4%,25.51%,120.18,$-0.5,MEM 2,DET 1,generated,1
Malik Monk (37514495),Jamal Murray (37514488),Cam Whitmore (37514855),Jeremy Sochan (37514745),Mark Williams (37514441),Jose Alvarado (37514686),Pat Connaughton (37514974),Victor Wembanyama (37514405),280.63,282.38,375.26,50000,0.01%,1.0%,-16.5%,23.43%,109.28999999999999,$-0.5,SAS 2,SAC 1,generated,1
Anthony Edwards (37514420),AJ Green (37514934),Jae'Sean Tate (37514993),Jaren Jackson Jr. (37514448),Jonas Valanciunas (37514579),Jaylen Wells (37514756),DeMar DeRozan (37514547),Zion Williamson (37514438),278.4,270.3,372.07000000000005,49200,0.01%,1.03%,-16.5%,22.5%,100.25999999999999,$-0.5,MEM 2,MIN 1,generated,1
Cade Cunningham (37514407),AJ Green (37514934),Isaiah Joe (37514786),Aaron Gordon (37514723),Jaren Jackson Jr. (37514448),Isaiah Collier (37514640),Pascal Siakam (37514472),Michael Porter Jr. (37514568),286.04,273.03999999999996,374.83000000000004,49200,0.0%,1.05%,-16.5%,28.1%,112.56,$-0.5,DEN 2,DET 1,generated,1
Delon Wright (37515257),Keon Ellis (37514889),Andre Jackson Jr. (37514872),Tari Eason (37514613),Nikola Jokic (37514396),Jordan Clarkson (37514626),Jaren Jackson Jr. (37514448),Ja Morant (37514432),276.19,270.54999999999995,375.01,50000,0.01%,1.0%,-16.5%,20.95%,102.29,$-0.5,MIL 2,MEM 2,generated,1
Shai Gilgeous-Alexander (37514402),Devin Vassell (37514559),DeMar DeRozan (37514547),Ausar Thompson (37514714),Jonas Valanciunas (37514579),Gary Trent Jr. (37514781),Precious Achiuwa (37514646),Naz Reid (37514564),285.4,276.71000000000004,379.23,49000,0.0%,1.2%,-16.5%,28.52%,106.6,$-0.5,OKC 1,SAS 1,generated,1
Ryan Rollins (37515010),Malik Monk (37514495),Jaylen Wells (37514756),Tari Eason (37514613),Victor Wembanyama (37514405),Isaiah Collier (37514640),Isaiah Joe (37514786),Anthony Edwards (37514420),287.82,285.59,376.08,49600,0.0%,1.11%,-16.5%,29.59%,124.5,$-0.5,MIL 1,SAC 1,generated,1
Anthony Edwards (37514420),Luke Kennard (37514694),Aaron Wiggins (37514609),Precious Achiuwa (37514646),Victor Wembanyama (37514405),Andre Jackson Jr. (37514872),DeMar DeRozan (37514547),Aaron Gordon (37514723),289.15,281.03,372.83,49900,0.0%,1.14%,-16.5%,30.66%,113.49,$-0.5,MIN 1,MEM 1,generated,1
Cade Cunningham (37514407),Malik Monk (37514495),Isaiah Joe (37514786),Michael Porter Jr. (37514568),Onyeka Okongwu (37514523),Christian Braun (37514621),Aaron Gordon (37514723),Jonas Valanciunas (37514579),287.78000000000003,282.24,377.18,49700,0.0%,1.17%,-16.6%,29.78%,124.34,$-0.5,DEN 3,DET 1,generated,1
Ryan Rollins (37515010),Anthony Edwards (37514420),De'Andre Hunter (37514572),Tari Eason (37514613),Brandon Clarke (37514840),Luke Kennard (37514694),Harrison Barnes (37514703),Nikola Jokic (37514396),284.96999999999997,276.58,380.90999999999997,49600,0.0%,1.0%,-16.6%,28.07%,112.17000000000002,$-0.5,MEM 2,MIL 1,generated,1
Jordan Poole (37514515),Andre Jackson Jr. (37514872),Zaccharie Risacher (37514710),Precious Achiuwa (37514646),Isaiah Hartenstein (37514486),Tyrese Haliburton (37514452),Naz Reid (37514564),Jamal Murray (37514488),280.29,267.80999999999995,365.11,49000,0.01%,0.81%,-16.6%,21.79%,79.55000000000001,$-0.5,WAS 1,MIL 1,generated,1
Jordan Poole (37514515),Luke Kennard (37514694),Pat Connaughton (37514974),Precious Achiuwa (37514646),Mark Williams (37514441),Isaiah Joe (37514786),Naz Reid (37514564),Shai Gilgeous-Alexander (37514402),284.49,277.65,378.31,49400,0.01%,1.07%,-16.6%,27.16%,105.72,$-0.5,OKC 2,WAS 1,generated,1
Mike Conley (37514720),Nick Smith Jr. (37514676),Amen Thompson (37514443),Naz Reid (37514564),Jonas Valanciunas (37514579),Christian Braun (37514621),Andre Jackson Jr. (37514872),Victor Wembanyama (37514405),285.16999999999996,279.1,370.56000000000006,49200,0.0%,0.91%,-16.6%,26.41%,106.66,$-0.5,MIN 2,CHA 1,generated,1
