PG,SG,SF,PF,C,G,F,UTIL,Proj,Ceiling,Salary,Cash %,Top 1%,ROI%,Wins,Own Sum,Avg Return,Stack1,Stack2,Lineup,Dupes,User,Index,Entry ID
James Harden (37509379),Klay Thompson (37509505),Jaylen Brown (37509406),Olivier-Maxence Prosper (37509676),Jalen Duren (37509462),Quentin Grimes (37509557),Jayson Tatum (37509368),Naji Marshall (37509550),281.78000000000003,375.26000000000005,49900,48.73%,0,-35.82%,0,161.24,$-1.07,DAL 4,BOS 2,opp,1,bwinslow99,9271,4630348804
Cade Cunningham (37509362),Desmond Bane (37509420),Naji Marshall (37509550),Patrick Williams (37509554),Giannis Antetokounmpo (37509355),AJ Green (37509695),Dante Exum (37509910),Tobias Harris (37509485),281.73,378.41,50000,47.89%,0,-35.83%,0,171.79999999999998,$-1.07,DET 2,DAL 2,opp,1,laramfan,1194,4630019175
Luke Kennard (37509544),Desmond Bane (37509420),Naji Marshall (37509550),Patrick Williams (37509554),Jalen Duren (37509462),Quentin Grimes (37509557),Jayson Tatum (37509368),Damian Lillard (37509385),281.78,373.12,49800,48.54%,0,-35.84%,0,193.0,$-1.08,MEM 2,DAL 2,opp,1,Supavash,9612,4630099506
Coby White (37509464),Gradey Dick (37509574),Max Strus (37509523),Giannis Antetokounmpo (37509355),Nikola Vucevic (37509400),Jrue Holiday (37509516),Olivier-Maxence Prosper (37509676),Jarrett Allen (37509453),281.69,378.97,49400,47.46%,0,-35.88%,0,133.61999999999998,$-1.08,CHI 2,CLE 2,opp,1,rschindler14,2340,4630335750
Cade Cunningham (37509362),Desmond Bane (37509420),Klay Thompson (37509505),Naji Marshall (37509550),Brandon Clarke (37509622),Quentin Grimes (37509557),Santi Aldama (37509528),James Harden (37509379),281.76000000000005,377.27000000000004,49100,48.25%,0,-35.9%,0,195.32,$-1.08,MEM 3,DAL 3,opp,1,mlief,7225,4630286034
Coby White (37509464),Kelly Oubre Jr. (37509455),Klay Thompson (37509505),Naji Marshall (37509550),Evan Mobley (37509411),Spencer Dinwiddie (37509498),Quentin Grimes (37509557),Tyrese Maxey (37509365),281.77,367.28999999999996,49200,48.21%,0,-36.01%,0,138.32999999999998,$-1.08,DAL 4,PHI 2,opp,1,botobrody,6081,4630279054
Cade Cunningham (37509362),Caris LeVert (37509603),Quentin Grimes (37509557),Giannis Antetokounmpo (37509355),Jalen Duren (37509462),Jrue Holiday (37509516),Klay Thompson (37509505),Jaden Hardy (37509673),281.78000000000003,385.0,49400,48.42%,0,-36.11%,0,163.14,$-1.08,DAL 3,DET 2,opp,1,cjohansen2,4865,4630022958
Damian Lillard (37509385),Jaylen Brown (37509406),Naji Marshall (37509550),Olivier-Maxence Prosper (37509676),Jaren Jackson Jr. (37509402),Quentin Grimes (37509557),Klay Thompson (37509505),Evan Mobley (37509411),281.73,375.73,49800,47.93%,0,-36.17%,0,157.07,$-1.09,DAL 4,MIL 1,opp,1,Basanta1,10015,4630075434
Josh Giddey (37509444),Sam Merrill (37509684),Jaylen Brown (37509406),Naji Marshall (37509550),Jalen Duren (37509462),Quentin Grimes (37509557),Jaren Jackson Jr. (37509402),Nikola Vucevic (37509400),281.75000000000006,376.8500000000001,49100,48.04%,0,-36.21%,0,147.73000000000002,$-1.09,CHI 2,DAL 2,opp,1,jetslifebryan,3531,4630143945
Kevin Porter Jr. (37509656),Luke Kennard (37509544),Matas Buzelis (37509624),Patrick Williams (37509554),Giannis Antetokounmpo (37509355),Kelly Oubre Jr. (37509455),Jayson Tatum (37509368),Tobias Harris (37509485),281.7,376.48,49200,47.37%,0,-36.29%,0,163.10000000000002,$-1.09,CHI 2,LAC 1,opp,1,steveGoogle,3512,4630338239
Scottie Barnes (37509374),Desmond Bane (37509420),Amir Coffey (37509666),Naji Marshall (37509550),Jalen Duren (37509462),Caris LeVert (37509603),Giannis Antetokounmpo (37509355),Olivier-Maxence Prosper (37509676),281.76,381.53999999999996,49900,48.04%,0,-36.3%,0,182.31,$-1.09,DAL 2,TOR 1,opp,1,nyyanksfan21,9142,4630308974
Josh Giddey (37509444),Jaylen Wells (37509577),Jayson Tatum (37509368),Naji Marshall (37509550),Nikola Vucevic (37509400),Klay Thompson (37509505),Amir Coffey (37509666),Jaren Jackson Jr. (37509402),281.71000000000004,370.55000000000007,49600,47.93%,0,-36.45%,0,155.88,$-1.09,CHI 2,MEM 2,opp,1,justajoe2u,4170,4630133222
